"","dataset","nr_fold","algorithm","metric"
"1","HMEQ",1,"RE_RF",0.0381504530941981
"2","HMEQ",1,"SRE_RF",0.0383049545327031
"3","HMEQ",2,"RE_RF",0.0343492798204421
"4","HMEQ",2,"SRE_RF",0.0347863478226274
"5","HMEQ",3,"RE_RF",0.0355372949854637
"6","HMEQ",3,"SRE_RF",0.0368646653543982
"7","HMEQ",4,"RE_RF",0.0358482566060517
"8","HMEQ",4,"SRE_RF",0.0359422791337858
"9","HMEQ",5,"RE_RF",0.0358455118968945
"10","HMEQ",5,"SRE_RF",0.0362064498916638
"11","HMEQ",6,"RE_RF",0.0374682283728496
"12","HMEQ",6,"SRE_RF",0.0355819942792141
