"","dataset","nr_fold","algorithm","metric"
"1","HMEQ",1,"GAM",0.0375211237913434
"2","HMEQ",1,"RE_boosting",0.0373654752987708
"3","HMEQ",1,"RE_RF",0.0375700639407721
"4","HMEQ",1,"RE_bag",0.0362693198706236
"5","HMEQ",1,"SRE_RF",0.038082573402561
"6","HMEQ",1,"SRE_bag",0.035762177246151
"7","HMEQ",1,"SRE_boosting",0.037317539579318
"8","HMEQ",1,"SRE_PLTR",0.0361993080263363
"9","HMEQ",2,"GAM",0.0328435159247849
"10","HMEQ",2,"RE_boosting",0.0346231101677645
"11","HMEQ",2,"RE_RF",0.0341474805480427
"12","HMEQ",2,"RE_bag",0.0330205260077814
"13","HMEQ",2,"SRE_RF",0.0343799267781788
"14","HMEQ",2,"SRE_bag",0.0327428546253926
"15","HMEQ",2,"SRE_boosting",0.034490786086889
"16","HMEQ",2,"SRE_PLTR",0.0331735834877411
"17","HMEQ",3,"GAM",0.0365727530428665
"18","HMEQ",3,"RE_boosting",0.0374081913977936
"19","HMEQ",3,"RE_RF",0.0367468053687383
"20","HMEQ",3,"RE_bag",0.0354045049627121
"21","HMEQ",3,"SRE_RF",0.0364458117238342
"22","HMEQ",3,"SRE_bag",0.0350984513510658
"23","HMEQ",3,"SRE_boosting",0.0374092098981545
"24","HMEQ",3,"SRE_PLTR",0.0355828264622805
"25","HMEQ",4,"GAM",0.034351441676542
"26","HMEQ",4,"RE_boosting",0.0352394160719575
"27","HMEQ",4,"RE_RF",0.0353011935098167
"28","HMEQ",4,"RE_bag",0.0340589947228359
"29","HMEQ",4,"SRE_RF",0.0350791653301469
"30","HMEQ",4,"SRE_bag",0.0337976397852592
"31","HMEQ",4,"SRE_boosting",0.0362376485173651
"32","HMEQ",4,"SRE_PLTR",0.0345897180967551
"33","HMEQ",5,"GAM",0.0348777805844034
"34","HMEQ",5,"RE_boosting",0.0379081825159096
"35","HMEQ",5,"RE_RF",0.036034031519359
"36","HMEQ",5,"RE_bag",0.0344394710438692
"37","HMEQ",5,"SRE_RF",0.0356990265426727
"38","HMEQ",5,"SRE_bag",0.0334158602079037
"39","HMEQ",5,"SRE_boosting",0.0374668498070953
"40","HMEQ",5,"SRE_PLTR",0.0342113310150243
"41","HMEQ",6,"GAM",0.0357947010913805
"42","HMEQ",6,"RE_boosting",0.0385296617703283
"43","HMEQ",6,"RE_RF",0.0367396134858327
"44","HMEQ",6,"RE_bag",0.03596852551593
"45","HMEQ",6,"SRE_RF",0.0377139736885773
"46","HMEQ",6,"SRE_bag",0.0350232812283062
"47","HMEQ",6,"SRE_boosting",0.0380725289329619
"48","HMEQ",6,"SRE_PLTR",0.0360685723928591
