"","dataset","nr_fold","algorithm","metric"
"1","HMEQ",1,"LRR",0.032706675310468
"2","HMEQ",1,"GAM",0.037779085113497
"3","HMEQ",1,"LDA",0.0342806570952538
"4","HMEQ",1,"CTREE",0.0326665521067501
"5","HMEQ",1,"RF",0.0422285803912235
"6","HMEQ",1,"XGB",0.0400687071074682
"7","HMEQ",1,"LGBM",0.0410685016721239
"8","HMEQ",1,"RE_boosting",0.0373654752987708
"9","HMEQ",1,"RE_RF",0.0374205879955157
"10","HMEQ",1,"RE_bag",0.0362693198706236
"11","HMEQ",1,"SRE_RF",0.0343437958888426
"12","HMEQ",1,"SRE_bag",0.0360530804858542
"13","HMEQ",1,"SRE_boosting",0.0371641173296788
"14","HMEQ",1,"RE_bag",0.0362892200700295
"15","HMEQ",1,"PLTR",0.036206400463886
"16","HMEQ",2,"LRR",0.0305022701894007
"17","HMEQ",2,"GAM",0.0327817969645046
"18","HMEQ",2,"LDA",0.031182263464969
"19","HMEQ",2,"CTREE",0.0289957074617768
"20","HMEQ",2,"RF",0.0376196160815586
"21","HMEQ",2,"XGB",0.0373887605541005
"22","HMEQ",2,"LGBM",0.0384985649828906
"23","HMEQ",2,"RE_boosting",0.0346231101677645
"24","HMEQ",2,"RE_RF",0.0344515614370178
"25","HMEQ",2,"RE_bag",0.0330205260077814
"26","HMEQ",2,"SRE_RF",0.0316657538929947
"27","HMEQ",2,"SRE_bag",0.0329210514321836
"28","HMEQ",2,"SRE_boosting",0.0343366943927048
"29","HMEQ",2,"RE_bag",0.0333230521129295
"30","HMEQ",2,"PLTR",0.032977820240762
"31","HMEQ",3,"LRR",0.0330010416869514
"32","HMEQ",3,"GAM",0.036428259571672
"33","HMEQ",3,"LDA",0.0334078275357526
"34","HMEQ",3,"CTREE",0.0310356386662247
"35","HMEQ",3,"RF",0.0410976864836643
"36","HMEQ",3,"XGB",0.0407055554081248
"37","HMEQ",3,"LGBM",0.0410890696980067
"38","HMEQ",3,"RE_boosting",0.0374081913977936
"39","HMEQ",3,"RE_RF",0.0355770434039909
"40","HMEQ",3,"RE_bag",0.0354045049627121
"41","HMEQ",3,"SRE_RF",0.0339549850641227
"42","HMEQ",3,"SRE_bag",0.0358092451915994
"43","HMEQ",3,"SRE_boosting",0.0375897653258228
"44","HMEQ",3,"RE_bag",0.0356525778061685
"45","HMEQ",3,"PLTR",0.0354874712040002
"46","HMEQ",4,"LRR",0.0303602207335734
"47","HMEQ",4,"GAM",0.0346108778113057
"48","HMEQ",4,"LDA",0.0317061591110969
"49","HMEQ",4,"CTREE",0.0301884497214502
"50","HMEQ",4,"RF",0.0379182562776017
"51","HMEQ",4,"XGB",0.036631423522046
"52","HMEQ",4,"LGBM",0.0381118570507042
"53","HMEQ",4,"RE_boosting",0.0352394160719575
"54","HMEQ",4,"RE_RF",0.035298958219376
"55","HMEQ",4,"RE_bag",0.0340589947228359
"56","HMEQ",4,"SRE_RF",0.0320654747506306
"57","HMEQ",4,"SRE_bag",0.0336981291712971
"58","HMEQ",4,"SRE_boosting",0.0353573681000788
"59","HMEQ",4,"RE_bag",0.0343988297892761
"60","HMEQ",4,"PLTR",0.0343412247542843
"61","HMEQ",5,"LRR",0.0308848405315785
"62","HMEQ",5,"GAM",0.0345654793028994
"63","HMEQ",5,"LDA",0.0320459706705645
"64","HMEQ",5,"CTREE",0.0313679610279753
"65","HMEQ",5,"RF",0.0385208967020637
"66","HMEQ",5,"XGB",0.0386343109261833
"67","HMEQ",5,"LGBM",0.0391844036846811
"68","HMEQ",5,"RE_boosting",0.0379081825159096
"69","HMEQ",5,"RE_RF",0.0364865806305209
"70","HMEQ",5,"RE_bag",0.0344394710438692
"71","HMEQ",5,"SRE_RF",0.0323833160589983
"72","HMEQ",5,"SRE_bag",0.0348248637167028
"73","HMEQ",5,"SRE_boosting",0.0376669326461995
"74","HMEQ",5,"RE_bag",0.0350615440523299
"75","HMEQ",5,"PLTR",0.0345241949254395
"76","HMEQ",6,"LRR",0.0323407222468738
"77","HMEQ",6,"GAM",0.0360253198397846
"78","HMEQ",6,"LDA",0.0336119242217756
"79","HMEQ",6,"CTREE",0.0325365897519819
"80","HMEQ",6,"RF",0.0421756448706733
"81","HMEQ",6,"XGB",0.0401063641197743
"82","HMEQ",6,"LGBM",0.0399268532131081
"83","HMEQ",6,"RE_boosting",0.0385296617703283
"84","HMEQ",6,"RE_RF",0.0373283514836137
"85","HMEQ",6,"RE_bag",0.03596852551593
"86","HMEQ",6,"SRE_RF",0.0340073788273308
"87","HMEQ",6,"SRE_bag",0.0351816461142979
"88","HMEQ",6,"SRE_boosting",0.0388376220818329
"89","HMEQ",6,"RE_bag",0.0363678701303501
"90","HMEQ",6,"PLTR",0.0361336837149146
