"","dataset","nr_fold","algorithm","metric"
"1","HMEQ",1,"RE_RF",0.600971202710333
"2","HMEQ",1,"SRE_RF",0.674119971264368
"3","HMEQ",2,"RE_RF",0.615364624086204
"4","HMEQ",2,"SRE_RF",0.647047808041142
"5","HMEQ",3,"RE_RF",0.641512894230095
"6","HMEQ",3,"SRE_RF",0.64617876638947
"7","HMEQ",4,"RE_RF",0.56834456372773
"8","HMEQ",4,"SRE_RF",0.690949913405663
"9","HMEQ",5,"RE_RF",0.610974059953652
"10","HMEQ",5,"SRE_RF",0.656939236537988
"11","HMEQ",6,"RE_RF",0.595493857493858
"12","HMEQ",6,"SRE_RF",0
