"","dataset","nr_fold","algorithm","metric"
"1","HMEQ",1,"GAM",0.649421485615318
"2","HMEQ",1,"RE_boosting",0.64315475471607
"3","HMEQ",1,"RE_RF",0.59605147864184
"4","HMEQ",1,"RE_bag",0.528007680418625
"5","HMEQ",1,"SRE_RF",0.676830399904215
"6","HMEQ",1,"SRE_bag",0.692580369971264
"7","HMEQ",1,"SRE_boosting",0.687271761254789
"8","HMEQ",1,"SRE_PLTR",0.645447198275862
"9","HMEQ",2,"GAM",0.618384097292286
"10","HMEQ",2,"RE_boosting",0.602428539062253
"11","HMEQ",2,"RE_RF",0.592810029536659
"12","HMEQ",2,"RE_bag",0.573495729029129
"13","HMEQ",2,"SRE_RF",0.482631897452825
"14","HMEQ",2,"SRE_bag",0.655400003847116
"15","HMEQ",2,"SRE_boosting",0.646357743281974
"16","HMEQ",2,"SRE_PLTR",0.591300902148614
"17","HMEQ",3,"GAM",0.594901928021759
"18","HMEQ",3,"RE_boosting",0.659549745824256
"19","HMEQ",3,"RE_RF",0.656735159817352
"20","HMEQ",3,"RE_bag",0.620427517687792
"21","HMEQ",3,"SRE_RF",0.672260602213177
"22","HMEQ",3,"SRE_bag",0.600738690255268
"23","HMEQ",3,"SRE_boosting",0.643337524796154
"24","HMEQ",3,"SRE_PLTR",0.569829156460021
"25","HMEQ",4,"GAM",0.574689051836992
"26","HMEQ",4,"RE_boosting",0.533447491789013
"27","HMEQ",4,"RE_RF",0.567487479367011
"28","HMEQ",4,"RE_bag",0.500753035192869
"29","HMEQ",4,"SRE_RF",0.700307626670595
"30","HMEQ",4,"SRE_bag",0.703005594677115
"31","HMEQ",4,"SRE_boosting",0.496254578586585
"32","HMEQ",4,"SRE_PLTR",0.634713855017215
"33","HMEQ",5,"GAM",0.571615697870464
"34","HMEQ",5,"RE_boosting",0.61741384568466
"35","HMEQ",5,"RE_RF",0.585065216867179
"36","HMEQ",5,"RE_bag",0.509620815362497
"37","HMEQ",5,"SRE_RF",0.630994129579543
"38","HMEQ",5,"SRE_bag",0.664606896975658
"39","HMEQ",5,"SRE_boosting",0.697304524219326
"40","HMEQ",5,"SRE_PLTR",0.630292598967298
"41","HMEQ",6,"GAM",0.634738026760035
"42","HMEQ",6,"RE_boosting",0.670754616571763
"43","HMEQ",6,"RE_RF",0.593594268582487
"44","HMEQ",6,"RE_bag",0.609629100769491
"45","HMEQ",6,"SRE_RF",0.61934004931663
"46","HMEQ",6,"SRE_bag",0.228291011907998
"47","HMEQ",6,"SRE_boosting",0.420612483128443
"48","HMEQ",6,"SRE_PLTR",0
