"","dataset","nr_fold","algorithm","metric"
"1","HMEQ",1,"LRR",0.763745276756536
"2","HMEQ",1,"GAM",0.622578315218024
"3","HMEQ",1,"LDA",0.564526206727461
"4","HMEQ",1,"CTREE",0.501120593692022
"5","HMEQ",1,"RF",0.790530241018645
"6","HMEQ",1,"XGB",0.699831147293834
"7","HMEQ",1,"LGBM",0.654165727263229
"8","HMEQ",1,"RE_boosting",0.64315475471607
"9","HMEQ",1,"RE_RF",0.644529999277001
"10","HMEQ",1,"RE_bag",0.528007680418625
"11","HMEQ",1,"SRE_RF",0.606957887039188
"12","HMEQ",1,"SRE_bag",0.692580369971264
"13","HMEQ",1,"SRE_boosting",0.687271761254789
"14","HMEQ",1,"SRE_PLTR",0.645447198275862
"15","HMEQ",1,"PLTR",0.321437448954227
"16","HMEQ",2,"LRR",0.763188844086022
"17","HMEQ",2,"GAM",0.597330201475502
"18","HMEQ",2,"LDA",0.547875275169281
"19","HMEQ",2,"CTREE",0.423596671210932
"20","HMEQ",2,"RF",0.771052579424064
"21","HMEQ",2,"XGB",0.656107036803057
"22","HMEQ",2,"LGBM",0.662970662970663
"23","HMEQ",2,"RE_boosting",0.602428539062253
"24","HMEQ",2,"RE_RF",0.613496393233673
"25","HMEQ",2,"RE_bag",0.573495729029129
"26","HMEQ",2,"SRE_RF",0.514323605917274
"27","HMEQ",2,"SRE_bag",0.655400003847116
"28","HMEQ",2,"SRE_boosting",0.646357743281974
"29","HMEQ",2,"SRE_PLTR",0.591300902148614
"30","HMEQ",2,"PLTR",0.537468726420714
"31","HMEQ",3,"LRR",0.787654050818467
"32","HMEQ",3,"GAM",0.585300111761226
"33","HMEQ",3,"LDA",0.580306585327702
"34","HMEQ",3,"CTREE",0.407146121852004
"35","HMEQ",3,"RF",0.780043416423385
"36","HMEQ",3,"XGB",0.72640209713828
"37","HMEQ",3,"LGBM",0.695751448917379
"38","HMEQ",3,"RE_boosting",0.659549745824256
"39","HMEQ",3,"RE_RF",0.642459171824564
"40","HMEQ",3,"RE_bag",0.620427517687792
"41","HMEQ",3,"SRE_RF",0.148626725162234
"42","HMEQ",3,"SRE_bag",0.600675799086758
"43","HMEQ",3,"SRE_boosting",0.643337524796154
"44","HMEQ",3,"SRE_PLTR",0.573591649144208
"45","HMEQ",3,"PLTR",0.568991831922866
"46","HMEQ",4,"LRR",0.741216825473729
"47","HMEQ",4,"GAM",0.569578673340558
"48","HMEQ",4,"LDA",0.535955832361751
"49","HMEQ",4,"CTREE",0.390970715108646
"50","HMEQ",4,"RF",0.755894554429449
"51","HMEQ",4,"XGB",0.677240223625096
"52","HMEQ",4,"LGBM",0.652728302153861
"53","HMEQ",4,"RE_boosting",0.533447491789013
"54","HMEQ",4,"RE_RF",0.499334217115923
"55","HMEQ",4,"RE_bag",0.500753035192869
"56","HMEQ",4,"SRE_RF",0.331849968213604
"57","HMEQ",4,"SRE_bag",0.703005594677115
"58","HMEQ",4,"SRE_boosting",0.493881447267128
"59","HMEQ",4,"SRE_PLTR",0.634713855017215
"60","HMEQ",4,"PLTR",0
"61","HMEQ",5,"LRR",0.762298784629487
"62","HMEQ",5,"GAM",0.574798611894113
"63","HMEQ",5,"LDA",0.551833726415094
"64","HMEQ",5,"CTREE",0.454781812272875
"65","HMEQ",5,"RF",0.775331908721883
"66","HMEQ",5,"XGB",0.713700548681024
"67","HMEQ",5,"LGBM",0.679162319555362
"68","HMEQ",5,"RE_boosting",0.61741384568466
"69","HMEQ",5,"RE_RF",0.569030351866774
"70","HMEQ",5,"RE_bag",0.509620815362497
"71","HMEQ",5,"SRE_RF",0.327722501952468
"72","HMEQ",5,"SRE_bag",0.664606896975658
"73","HMEQ",5,"SRE_boosting",0.697304524219326
"74","HMEQ",5,"SRE_PLTR",0.630292598967298
"75","HMEQ",5,"PLTR",0.569359474318152
"76","HMEQ",6,"LRR",0.771693989952342
"77","HMEQ",6,"GAM",0.629907566422221
"78","HMEQ",6,"LDA",0.540563064622423
"79","HMEQ",6,"CTREE",0.458256522758077
"80","HMEQ",6,"RF",0.818849197420947
"81","HMEQ",6,"XGB",0.659506114184229
"82","HMEQ",6,"LGBM",0.68632923006346
"83","HMEQ",6,"RE_boosting",0.670754616571763
"84","HMEQ",6,"RE_RF",0.640115745857055
"85","HMEQ",6,"RE_bag",0.609629100769491
"86","HMEQ",6,"SRE_RF",0.246180221366699
"87","HMEQ",6,"SRE_bag",0.228291011907998
"88","HMEQ",6,"SRE_boosting",0.420612483128443
"89","HMEQ",6,"SRE_PLTR",0
"90","HMEQ",6,"PLTR",0.325982041680328
