"","dataset","nr_fold","algorithm","metric"
"1","JC",1,"LRR",0.928693922348745
"2","JC",1,"GAM",0.89148031280011
"3","JC",1,"LDA",0.919536287556592
"4","JC",1,"CTREE",0.91404856633283
"5","JC",1,"RF",0.930357387844697
"6","JC",1,"XGB",0.923823569762656
"7","JC",1,"LGBM",0.902438606118809
"8","JC",1,"RE",0.937560021950885
"9","JC",1,"SRE",0.924235148854438
"10","JC",2,"LRR",0.913707986745114
"11","JC",2,"GAM",0.836122945830797
"12","JC",2,"LDA",0.903699195239061
"13","JC",2,"CTREE",0.898356664637858
"14","JC",2,"RF",0.931662947183337
"15","JC",2,"XGB",0.922414959085683
"16","JC",2,"LGBM",0.925508892946507
"17","JC",2,"RE",0.913420572124163
"18","JC",2,"SRE",0.91751200378711
"19","JC",3,"LRR",0.905127142067441
"20","JC",3,"GAM",0.868850193477059
"21","JC",3,"LDA",0.885399391929243
"22","JC",3,"CTREE",0.892706605859591
"23","JC",3,"RF",0.924336650082919
"24","JC",3,"XGB",0.920121614151465
"25","JC",3,"LGBM",0.925286760641238
"26","JC",3,"RE",0.910154090657822
"27","JC",3,"SRE",0.90633637368712
"28","JC",4,"LRR",0.931874873592665
"29","JC",4,"GAM",0.883233331086092
"30","JC",4,"LDA",0.919335265961033
"31","JC",4,"CTREE",0.911380031011933
"32","JC",4,"RF",0.933172655565294
"33","JC",4,"XGB",0.927088249174139
"34","JC",4,"LGBM",0.925099440436864
"35","JC",4,"RE",0.931925436526663
"36","JC",4,"SRE",0.92715566641947
"37","JC",5,"LRR",0.925891593069507
"38","JC",5,"GAM",0.901537113193555
"39","JC",5,"LDA",0.933492887480618
"40","JC",5,"CTREE",0.914531787231174
"41","JC",5,"RF",0.940032360277759
"42","JC",5,"XGB",0.938279511899144
"43","JC",5,"LGBM",0.94454931571496
"44","JC",5,"RE",0.934706397896582
"45","JC",5,"SRE",0.936105305737208
"46","JC",6,"LRR",0.915768380320619
"47","JC",6,"GAM",0.892032891100055
"48","JC",6,"LDA",0.909894969596462
"49","JC",6,"CTREE",0.895159618573798
"50","JC",6,"RF",0.927480652294085
"51","JC",6,"XGB",0.922678275290216
"52","JC",6,"LGBM",0.928776257600884
"53","JC",6,"RE",0.910655058043118
"54","JC",6,"SRE",0.904747097844113
"55","JC",7,"LRR",0.903427323001297
"56","JC",7,"GAM",0.82629548713047
"57","JC",7,"LDA",0.892025670785827
"58","JC",7,"CTREE",0.901532737079265
"59","JC",7,"RF",0.912951457636376
"60","JC",7,"XGB",0.920444459616304
"61","JC",7,"LGBM",0.921724585239298
"62","JC",7,"RE",0.918003686761794
"63","JC",7,"SRE",0.914231583259371
"64","JC",8,"LRR",0.937695021028354
"65","JC",8,"GAM",0.877696377696378
"66","JC",8,"LDA",0.931081264414598
"67","JC",8,"CTREE",0.911511328177995
"68","JC",8,"RF",0.945224528557862
"69","JC",8,"XGB",0.936575769909103
"70","JC",8,"LGBM",0.944766653099986
"71","JC",8,"RE",0.914546872880206
"72","JC",8,"SRE",0.92999592999593
"73","JC",9,"LRR",0.895015978785612
"74","JC",9,"GAM",0.851941252464813
"75","JC",9,"LDA",0.894438022710274
"76","JC",9,"CTREE",0.888250492962535
"77","JC",9,"RF",0.907289046032502
"78","JC",9,"XGB",0.920123070646631
"79","JC",9,"LGBM",0.920140069354729
"80","JC",9,"RE",0.907391038281091
"81","JC",9,"SRE",0.905351193309308
"82","JC",10,"LRR",0.935900054466231
"83","JC",10,"GAM",0.879901960784314
"84","JC",10,"LDA",0.924870642701525
"85","JC",10,"CTREE",0.890710103485839
"86","JC",10,"RF",0.941312636165577
"87","JC",10,"XGB",0.930249183006536
"88","JC",10,"LGBM",0.929227941176471
"89","JC",10,"RE",0.939576525054466
"90","JC",10,"SRE",0.937925517429194
