"","dataset","nr_fold","algorithm","metric"
"1","JC",1,"LRR",0.0950612621303746
"2","JC",1,"GAM",0.119821849392335
"3","JC",1,"LDA",0.0991597619846659
"4","JC",1,"CTREE",0.0985100027731892
"5","JC",1,"RF",0.10246611848106
"6","JC",1,"XGB",0.0979018468096569
"7","JC",1,"LGBM",0.104017563368872
"8","JC",1,"RE",0.0998149822460967
"9","JC",1,"SRE",0.0969030833964992
"10","JC",2,"LRR",0.116426050854373
"11","JC",2,"GAM",0.147240134509084
"12","JC",2,"LDA",0.139798629367342
"13","JC",2,"CTREE",0.117796262471487
"14","JC",2,"RF",0.101770544522046
"15","JC",2,"XGB",0.106795156312683
"16","JC",2,"LGBM",0.105191050271506
"17","JC",2,"RE",0.116964846268938
"18","JC",2,"SRE",0.110685423112681
"19","JC",3,"LRR",0.105065664848566
"20","JC",3,"GAM",0.133412035128771
"21","JC",3,"LDA",0.127967752935186
"22","JC",3,"CTREE",0.11573026618868
"23","JC",3,"RF",0.102483163213313
"24","JC",3,"XGB",0.117289926901332
"25","JC",3,"LGBM",0.107250393095661
"26","JC",3,"RE",0.114644442370924
"27","JC",3,"SRE",0.106367425477793
"28","JC",4,"LRR",0.103105909246495
"29","JC",4,"GAM",0.144173492998265
"30","JC",4,"LDA",0.104384491693736
"31","JC",4,"CTREE",0.102975734989648
"32","JC",4,"RF",0.0988821237845987
"33","JC",4,"XGB",0.102929555759805
"34","JC",4,"LGBM",0.0983473774957927
"35","JC",4,"RE",0.106533097656802
"36","JC",4,"SRE",0.10413798057098
"37","JC",5,"LRR",0.0966048681530797
"38","JC",5,"GAM",0.114967526703499
"39","JC",5,"LDA",0.0972365243124857
"40","JC",5,"CTREE",0.108557622294191
"41","JC",5,"RF",0.09727328447635
"42","JC",5,"XGB",0.0982878117871326
"43","JC",5,"LGBM",0.0932093239136116
"44","JC",5,"RE",0.108876182062212
"45","JC",5,"SRE",0.0995263831415792
"46","JC",6,"LRR",0.102900103244168
"47","JC",6,"GAM",0.121004839759882
"48","JC",6,"LDA",0.123828960927978
"49","JC",6,"CTREE",0.10972713862403
"50","JC",6,"RF",0.101027841844713
"51","JC",6,"XGB",0.0973330627529709
"52","JC",6,"LGBM",0.101230742514416
"53","JC",6,"RE",0.111995830271649
"54","JC",6,"SRE",0.11086344669204
"55","JC",7,"LRR",0.119533844824958
"56","JC",7,"GAM",0.179606368086542
"57","JC",7,"LDA",0.145163365787785
"58","JC",7,"CTREE",0.121323158188406
"59","JC",7,"RF",0.108967339112893
"60","JC",7,"XGB",0.105550408687637
"61","JC",7,"LGBM",0.110703466576572
"62","JC",7,"RE",0.120425511903997
"63","JC",7,"SRE",0.12039373825107
"64","JC",8,"LRR",0.0973489080419745
"65","JC",8,"GAM",0.127184774151566
"66","JC",8,"LDA",0.0988009759830063
"67","JC",8,"CTREE",0.113117723788593
"68","JC",8,"RF",0.0913906744349701
"69","JC",8,"XGB",0.0926057025672947
"70","JC",8,"LGBM",0.0930291224932718
"71","JC",8,"RE",0.105394096386692
"72","JC",8,"SRE",0.0993702359762997
"73","JC",9,"LRR",0.116344552318288
"74","JC",9,"GAM",0.144788213210722
"75","JC",9,"LDA",0.116699919916896
"76","JC",9,"CTREE",0.118330788838927
"77","JC",9,"RF",0.106078325308012
"78","JC",9,"XGB",0.101391090482885
"79","JC",9,"LGBM",0.111914565081997
"80","JC",9,"RE",0.119929033042787
"81","JC",9,"SRE",0.11758649429174
"82","JC",10,"LRR",0.0957092132534374
"83","JC",10,"GAM",0.129935895751332
"84","JC",10,"LDA",0.114799813807048
"85","JC",10,"CTREE",0.0957943640135609
"86","JC",10,"RF",0.094641772703807
"87","JC",10,"XGB",0.0952468377602518
"88","JC",10,"LGBM",0.0927020514371281
"89","JC",10,"RE",0.0980442195847969
"90","JC",10,"SRE",0.0953487099292243
