"","dataset","nr_fold","algorithm","metric"
"1","JC",1,"LRR",0.282051282051282
"2","JC",1,"GAM",0.205095541401274
"3","JC",1,"LDA",0.289377289377289
"4","JC",1,"CTREE",0
"5","JC",1,"RF",0.442414860681114
"6","JC",1,"XGB",0.56831955922865
"7","JC",1,"LGBM",0.464615384615385
"8","JC",1,"RE",0.560261600747431
"9","JC",1,"SRE",0.483040935672515
"10","JC",2,"LRR",-0.0831168831168831
"11","JC",2,"GAM",0.160833333333333
"12","JC",2,"LDA",0.109352517985612
"13","JC",2,"CTREE",0.0714285714285714
"14","JC",2,"RF",0.419660481642321
"15","JC",2,"XGB",0.338461538461538
"16","JC",2,"LGBM",0.3567977915804
"17","JC",2,"RE",-0.0201298701298702
"18","JC",2,"SRE",-0.115107913669065
"19","JC",3,"LRR",0.123931623931624
"20","JC",3,"GAM",0.150226244343891
"21","JC",3,"LDA",0.0952380952380951
"22","JC",3,"CTREE",-0.167141500474834
"23","JC",3,"RF",0.568228571428571
"24","JC",3,"XGB",0.670833333333333
"25","JC",3,"LGBM",0.560920121334681
"26","JC",3,"RE",0.158398299078667
"27","JC",3,"SRE",-0.0881801125703564
"28","JC",4,"LRR",0
"29","JC",4,"GAM",0.390174775625886
"30","JC",4,"LDA",0.0876712328767124
"31","JC",4,"CTREE",0
"32","JC",4,"RF",0.330561330561331
"33","JC",4,"XGB",0.425
"34","JC",4,"LGBM",0.422029214370312
"35","JC",4,"RE",0.242579908675799
"36","JC",4,"SRE",0.130555555555556
"37","JC",5,"LRR",0
"38","JC",5,"GAM",0.269230769230769
"39","JC",5,"LDA",0.280353200883002
"40","JC",5,"CTREE",0.67438098793082
"41","JC",5,"RF",0.54746835443038
"42","JC",5,"XGB",0.597813578826237
"43","JC",5,"LGBM",0.58040027605245
"44","JC",5,"RE",0.272602739726028
"45","JC",5,"SRE",0.184931506849315
"46","JC",6,"LRR",0.137529137529138
"47","JC",6,"GAM",0.378323108384458
"48","JC",6,"LDA",0.0451686678101773
"49","JC",6,"CTREE",0.432211538461538
"50","JC",6,"RF",0.119191919191919
"51","JC",6,"XGB",0.353714661406969
"52","JC",6,"LGBM",0.372824631860776
"53","JC",6,"RE",-0.162019230769231
"54","JC",6,"SRE",-0.117788461538462
"55","JC",7,"LRR",0.420089955022489
"56","JC",7,"GAM",0.247233400402414
"57","JC",7,"LDA",0.0217687074829931
"58","JC",7,"CTREE",0.247101891397193
"59","JC",7,"RF",0.350537634408602
"60","JC",7,"XGB",0.527058823529412
"61","JC",7,"LGBM",0.380688124306326
"62","JC",7,"RE",0.140689655172414
"63","JC",7,"SRE",0.338682432432432
"64","JC",8,"LRR",0.0743099787685775
"65","JC",8,"GAM",0.234375
"66","JC",8,"LDA",0.423180592991914
"67","JC",8,"CTREE",0.306584362139918
"68","JC",8,"RF",0.559393939393939
"69","JC",8,"XGB",0.477969882877858
"70","JC",8,"LGBM",0.534726143421796
"71","JC",8,"RE",0.364560639070443
"72","JC",8,"SRE",0.608264462809917
"73","JC",9,"LRR",-0.0410714285714285
"74","JC",9,"GAM",0.227455357142857
"75","JC",9,"LDA",0.276688453159041
"76","JC",9,"CTREE",0
"77","JC",9,"RF",0.416780978509373
"78","JC",9,"XGB",0.492303537672158
"79","JC",9,"LGBM",0.480566986739826
"80","JC",9,"RE",0.137383900928793
"81","JC",9,"SRE",0.150219298245614
"82","JC",10,"LRR",0.0150537634408603
"83","JC",10,"GAM",0.300751879699248
"84","JC",10,"LDA",0.473435655253837
"85","JC",10,"CTREE",-0.127598566308244
"86","JC",10,"RF",0.489044697633655
"87","JC",10,"XGB",0.510162601626016
"88","JC",10,"LGBM",0.533907830648183
"89","JC",10,"RE",0.235125448028674
"90","JC",10,"SRE",0.267383512544803
