"","dataset","nr_fold","algorithm","metric"
"1","LC",1,"LRR",0.724480279328326
"2","LC",1,"GAM",0.725309535295063
"3","LC",1,"LDA",0.720294948659638
"4","LC",1,"CTREE",0.662767325936646
"5","LC",1,"RF",0.730576803804011
"6","LC",1,"XGB",0.723002090368226
"7","LC",1,"LGBM",0.723272000551306
"8","LC",1,"RE",0.711735924471091
"9","LC",1,"SRE",0.705966737877013
"10","LC",2,"LRR",0.711095799168561
"11","LC",2,"GAM",0.713982865936287
"12","LC",2,"LDA",0.711116470291003
"13","LC",2,"CTREE",0.658785227037828
"14","LC",2,"RF",0.702549438434507
"15","LC",2,"XGB",0.708119157536921
"16","LC",2,"LGBM",0.711231309860125
"17","LC",2,"RE",0.694258021543903
"18","LC",2,"SRE",0.700560417097315
"19","LC",3,"LRR",0.736047231457068
"20","LC",3,"GAM",0.729143643242004
"21","LC",3,"LDA",0.732557606328098
"22","LC",3,"CTREE",0.693183537773702
"23","LC",3,"RF",0.741662272154075
"24","LC",3,"XGB",0.738171500630517
"25","LC",3,"LGBM",0.741568267797776
"26","LC",3,"RE",0.737175283732661
"27","LC",3,"SRE",0.727307119110398
"28","LC",4,"LRR",0.699661567246313
"29","LC",4,"GAM",0.70376586690146
"30","LC",4,"LDA",0.695064293051581
"31","LC",4,"CTREE",0.661758703866755
"32","LC",4,"RF",0.697143957737178
"33","LC",4,"XGB",0.701383538777607
"34","LC",4,"LGBM",0.699330242497615
"35","LC",4,"RE",0.69715771516619
"36","LC",4,"SRE",0.703476960892215
"37","LC",5,"LRR",0.72290847065944
"38","LC",5,"GAM",0.721202784120609
"39","LC",5,"LDA",0.718188029015012
"40","LC",5,"CTREE",0.664808522930479
"41","LC",5,"RF",0.711606004750245
"42","LC",5,"XGB",0.714762900400745
"43","LC",5,"LGBM",0.713738112923785
"44","LC",5,"RE",0.698829403835044
"45","LC",5,"SRE",0.704473759021339
"46","LC",6,"LRR",0.717625239566808
"47","LC",6,"GAM",0.717166738498501
"48","LC",6,"LDA",0.715921908098046
"49","LC",6,"CTREE",0.688511567981953
"50","LC",6,"RF",0.714042053717985
"51","LC",6,"XGB",0.715207792684157
"52","LC",6,"LGBM",0.707043034910271
"53","LC",6,"RE",0.708711978798911
"54","LC",6,"SRE",0.710047363160356
"55","LC",7,"LRR",0.722776499069243
"56","LC",7,"GAM",0.723340455383261
"57","LC",7,"LDA",0.719842092232075
"58","LC",7,"CTREE",0.673434906603332
"59","LC",7,"RF",0.728374797113277
"60","LC",7,"XGB",0.717462471687559
"61","LC",7,"LGBM",0.715784357777554
"62","LC",7,"RE",0.710586101915617
"63","LC",7,"SRE",0.711986822679297
"64","LC",8,"LRR",0.709884270085376
"65","LC",8,"GAM",0.704457710895302
"66","LC",8,"LDA",0.70770172494429
"67","LC",8,"CTREE",0.67214251652957
"68","LC",8,"RF",0.705943308848478
"69","LC",8,"XGB",0.712011793080048
"70","LC",8,"LGBM",0.708933991765019
"71","LC",8,"RE",0.70065774390859
"72","LC",8,"SRE",0.698715920658065
"73","LC",9,"LRR",0.725997456136726
"74","LC",9,"GAM",0.729399988061291
"75","LC",9,"LDA",0.724507413478802
"76","LC",9,"CTREE",0.683308537554126
"77","LC",9,"RF",0.729269121448808
"78","LC",9,"XGB",0.729381620817434
"79","LC",9,"LGBM",0.733630193912177
"80","LC",9,"RE",0.717493422230794
"81","LC",9,"SRE",0.718668925837661
"82","LC",10,"LRR",0.708535157595097
"83","LC",10,"GAM",0.715245288216524
"84","LC",10,"LDA",0.704653244875003
"85","LC",10,"CTREE",0.678489933656252
"86","LC",10,"RF",0.70960492183375
"87","LC",10,"XGB",0.716238148802828
"88","LC",10,"LGBM",0.712761415027203
"89","LC",10,"RE",0.71380937076743
"90","LC",10,"SRE",0.714483138587268
