"","dataset","nr_fold","algorithm","metric"
"1","LC",1,"LRR",0.21433638629159
"2","LC",1,"GAM",0.214371128328895
"3","LC",1,"LDA",0.215651589898348
"4","LC",1,"CTREE",0.228885391532761
"5","LC",1,"RF",0.215113826705939
"6","LC",1,"XGB",0.21866402923985
"7","LC",1,"LGBM",0.214984746410849
"8","LC",1,"RE",0.2161274855709
"9","LC",1,"SRE",0.216105097869807
"10","LC",2,"LRR",0.218893007653634
"11","LC",2,"GAM",0.218755193197482
"12","LC",2,"LDA",0.218709602458191
"13","LC",2,"CTREE",0.239337374645535
"14","LC",2,"RF",0.223469550262572
"15","LC",2,"XGB",0.218103449396282
"16","LC",2,"LGBM",0.220601569266657
"17","LC",2,"RE",0.22012466032459
"18","LC",2,"SRE",0.217698591776776
"19","LC",3,"LRR",0.209257248595723
"20","LC",3,"GAM",0.211606233672253
"21","LC",3,"LDA",0.209461003203187
"22","LC",3,"CTREE",0.223507043965987
"23","LC",3,"RF",0.210201565262733
"24","LC",3,"XGB",0.207748727133092
"25","LC",3,"LGBM",0.207567171171746
"26","LC",3,"RE",0.21038912460654
"27","LC",3,"SRE",0.211736715151243
"28","LC",4,"LRR",0.22092204094176
"29","LC",4,"GAM",0.220355316048085
"30","LC",4,"LDA",0.222865007293174
"31","LC",4,"CTREE",0.24066072320744
"32","LC",4,"RF",0.220797136952378
"33","LC",4,"XGB",0.220693290091664
"34","LC",4,"LGBM",0.22204940691697
"35","LC",4,"RE",0.222164361074845
"36","LC",4,"SRE",0.225321598993188
"37","LC",5,"LRR",0.213730187074179
"38","LC",5,"GAM",0.214189124288221
"39","LC",5,"LDA",0.214785784840363
"40","LC",5,"CTREE",0.237670474038906
"41","LC",5,"RF",0.218263999767526
"42","LC",5,"XGB",0.218032311066867
"43","LC",5,"LGBM",0.217187761624734
"44","LC",5,"RE",0.217921961822176
"45","LC",5,"SRE",0.214414241123932
"46","LC",6,"LRR",0.214305376742048
"47","LC",6,"GAM",0.214936825773422
"48","LC",6,"LDA",0.214925688613037
"49","LC",6,"CTREE",0.222314387880322
"50","LC",6,"RF",0.216551500916788
"51","LC",6,"XGB",0.216783109270345
"52","LC",6,"LGBM",0.216306226620274
"53","LC",6,"RE",0.216213091545577
"54","LC",6,"SRE",0.215142373652669
"55","LC",7,"LRR",0.213425383138972
"56","LC",7,"GAM",0.213645100509195
"57","LC",7,"LDA",0.214093667199076
"58","LC",7,"CTREE",0.229671957588851
"59","LC",7,"RF",0.214544428726418
"60","LC",7,"XGB",0.213486967217581
"61","LC",7,"LGBM",0.215941018328362
"62","LC",7,"RE",0.220363274880527
"63","LC",7,"SRE",0.219483989838026
"64","LC",8,"LRR",0.216508534330577
"65","LC",8,"GAM",0.21972190081546
"66","LC",8,"LDA",0.21724932491382
"67","LC",8,"CTREE",0.230633871302613
"68","LC",8,"RF",0.218469640680703
"69","LC",8,"XGB",0.216579553063942
"70","LC",8,"LGBM",0.218262846013115
"71","LC",8,"RE",0.221247044519193
"72","LC",8,"SRE",0.222686495416387
"73","LC",9,"LRR",0.213115086470049
"74","LC",9,"GAM",0.212516436315634
"75","LC",9,"LDA",0.213587540190345
"76","LC",9,"CTREE",0.231087384263127
"77","LC",9,"RF",0.213917796293261
"78","LC",9,"XGB",0.210220680512659
"79","LC",9,"LGBM",0.209728728358185
"80","LC",9,"RE",0.216888062281848
"81","LC",9,"SRE",0.215286216016051
"82","LC",10,"LRR",0.218898307995911
"83","LC",10,"GAM",0.217212463714953
"84","LC",10,"LDA",0.220066351089211
"85","LC",10,"CTREE",0.228506051009498
"86","LC",10,"RF",0.217794825113763
"87","LC",10,"XGB",0.217564331463838
"88","LC",10,"LGBM",0.217409611374364
"89","LC",10,"RE",0.217345780918907
"90","LC",10,"SRE",0.212914701764592
