"","dataset","nr_fold","algorithm","metric"
"1","LC",1,"LRR",0
"2","LC",1,"GAM",0.0831005586592179
"3","LC",1,"LDA",0.141015455727286
"4","LC",1,"CTREE",0.0562480665295797
"5","LC",1,"RF",0.0699107142857143
"6","LC",1,"XGB",0.259587301587302
"7","LC",1,"LGBM",0.243692630474692
"8","LC",1,"RE",0.164935231499295
"9","LC",1,"SRE",0.0770779407535231
"10","LC",2,"LRR",0.375
"11","LC",2,"GAM",0.242402999177055
"12","LC",2,"LDA",0.286587098607559
"13","LC",2,"CTREE",0.184276729559748
"14","LC",2,"RF",0.0732235294117647
"15","LC",2,"XGB",0.100346020761246
"16","LC",2,"LGBM",0.232469889457185
"17","LC",2,"RE",0.121052812424836
"18","LC",2,"SRE",0.0480324074074074
"19","LC",3,"LRR",0
"20","LC",3,"GAM",0.214720862878258
"21","LC",3,"LDA",0.286474593405287
"22","LC",3,"CTREE",-0.0107230122875175
"23","LC",3,"RF",0.128943758573388
"24","LC",3,"XGB",0.18766348028725
"25","LC",3,"LGBM",0.23018122634091
"26","LC",3,"RE",0.210298473456368
"27","LC",3,"SRE",0.135348135964912
"28","LC",4,"LRR",0
"29","LC",4,"GAM",-0.0545195545195545
"30","LC",4,"LDA",0.0613410796417333
"31","LC",4,"CTREE",0.0788555052514444
"32","LC",4,"RF",0.157836644591612
"33","LC",4,"XGB",0.0709585399850887
"34","LC",4,"LGBM",0.0899612252091797
"35","LC",4,"RE",0.109024121021298
"36","LC",4,"SRE",0.0155723905723906
"37","LC",5,"LRR",0
"38","LC",5,"GAM",0.133511795214991
"39","LC",5,"LDA",0.264392324093817
"40","LC",5,"CTREE",0.129634844644701
"41","LC",5,"RF",0.11334691798268
"42","LC",5,"XGB",0.172917748917749
"43","LC",5,"LGBM",0.0993072888913817
"44","LC",5,"RE",0.157110016420361
"45","LC",5,"SRE",0.0643382352941175
"46","LC",6,"LRR",-0.333333333333333
"47","LC",6,"GAM",0.134776334776335
"48","LC",6,"LDA",0.0767180658671236
"49","LC",6,"CTREE",0.0446893174165903
"50","LC",6,"RF",0.0714807471564229
"51","LC",6,"XGB",0.173123131922874
"52","LC",6,"LGBM",0.127235847316983
"53","LC",6,"RE",0.159606845282642
"54","LC",6,"SRE",0.109876543209876
"55","LC",7,"LRR",1
"56","LC",7,"GAM",0.0321763085399449
"57","LC",7,"LDA",0.13106824071408
"58","LC",7,"CTREE",0.0470635559131136
"59","LC",7,"RF",-0.0146191646191646
"60","LC",7,"XGB",0.182715874811463
"61","LC",7,"LGBM",0.0595402298850574
"62","LC",7,"RE",0.105640376025068
"63","LC",7,"SRE",0.0419117647058824
"64","LC",8,"LRR",0
"65","LC",8,"GAM",0.2414697257202
"66","LC",8,"LDA",0.229422147900409
"67","LC",8,"CTREE",0.0554130516786118
"68","LC",8,"RF",0.149892053048216
"69","LC",8,"XGB",0.112663957445403
"70","LC",8,"LGBM",0.171797935238795
"71","LC",8,"RE",0.192590828819176
"72","LC",8,"SRE",0.257042253521127
"73","LC",9,"LRR",0.5
"74","LC",9,"GAM",0.13373253493014
"75","LC",9,"LDA",0.124839657384036
"76","LC",9,"CTREE",0.118082457111234
"77","LC",9,"RF",0.127931769722814
"78","LC",9,"XGB",0.198511430090377
"79","LC",9,"LGBM",0.209630770386508
"80","LC",9,"RE",0.133993692095407
"81","LC",9,"SRE",0.14904890850132
"82","LC",10,"LRR",0
"83","LC",10,"GAM",0.172858617131063
"84","LC",10,"LDA",0.230224887556222
"85","LC",10,"CTREE",0
"86","LC",10,"RF",0.132323383830808
"87","LC",10,"XGB",0.112062889671998
"88","LC",10,"LGBM",0.111622996448796
"89","LC",10,"RE",0.130459524825722
"90","LC",10,"SRE",0.0518394648829432
