"","dataset","nr_fold","algorithm","metric"
"1","LC",1,"RE",0.116288060086153
"2","LC",1,"SRE",0.0770779407535231
"3","LC",2,"RE",0.211101295641932
"4","LC",2,"SRE",0.0480324074074074
"5","LC",3,"RE",0.189033981673366
"6","LC",3,"SRE",0.135348135964912
"7","LC",4,"RE",0.14195335950127
"8","LC",4,"SRE",0.0155723905723906
"9","LC",5,"RE",0.15058803330758
"10","LC",5,"SRE",0.0643382352941175
"11","LC",6,"RE",0.117212551534585
"12","LC",6,"SRE",0.109876543209876
"13","LC",7,"RE",0.167380660954712
"14","LC",7,"SRE",0.0419117647058824
"15","LC",8,"RE",0.140154216437868
"16","LC",8,"SRE",0.257042253521127
"17","LC",9,"RE",0.186285909712722
"18","LC",9,"SRE",0.14904890850132
"19","LC",10,"RE",0.219248660425131
"20","LC",10,"SRE",0.0518394648829432
