"","dataset","nr_fold","algorithm","metric"
"1","LC",1,"LRR",0.72365339367899
"2","LC",1,"GAM",0.741276986744994
"3","LC",1,"LDA",0.716402609464163
"4","LC",1,"CTREE",0.757872716696381
"5","LC",1,"RF",0.758687499943808
"6","LC",1,"XGB",0.747096562041755
"7","LC",1,"LGBM",0.759740986586757
"8","LC",1,"RE_boosting",0.762754448379379
"9","LC",1,"RE_RF",0.768572787453282
"10","LC",1,"RE_bag",0.762241865428825
"11","LC",1,"SRE_RF",0.725147874730616
"12","LC",1,"SRE_bag",0.755876778699925
"13","LC",1,"SRE_boosting",0.771701779891194
"14","LC",1,"SRE_PLTR",0.769359699494452
"15","LC",1,"PLTR",0.764749037769081
"16","LC",2,"LRR",0.713694543309148
"17","LC",2,"GAM",0.746365105391475
"18","LC",2,"LDA",0.705181064207433
"19","LC",2,"CTREE",0.747718913033315
"20","LC",2,"RF",0.761953413069032
"21","LC",2,"XGB",0.750431512094798
"22","LC",2,"LGBM",0.756189911362325
"23","LC",2,"RE_boosting",0.755612979750911
"24","LC",2,"RE_RF",0.755638729269561
"25","LC",2,"RE_bag",0.750032691209162
"26","LC",2,"SRE_RF",0.714616779525502
"27","LC",2,"SRE_bag",0.743346003995091
"28","LC",2,"SRE_boosting",0.763567919754532
"29","LC",2,"SRE_PLTR",0.753900933414118
"30","LC",2,"PLTR",0.752273967284109
"31","LC",3,"LRR",0.717103344665552
"32","LC",3,"GAM",0.738790285667881
"33","LC",3,"LDA",0.706041742799243
"34","LC",3,"CTREE",0.755211159466832
"35","LC",3,"RF",0.757460415674636
"36","LC",3,"XGB",0.740756121059101
"37","LC",3,"LGBM",0.753452150906762
"38","LC",3,"RE_boosting",0.756644297531644
"39","LC",3,"RE_RF",0.769335597931409
"40","LC",3,"RE_bag",0.760987314928629
"41","LC",3,"SRE_RF",0.718738349408842
"42","LC",3,"SRE_bag",0.760708392855165
"43","LC",3,"SRE_boosting",0.768949052080219
"44","LC",3,"SRE_PLTR",0.761711381866236
"45","LC",3,"PLTR",0.754992220634973
"46","LC",4,"LRR",0.714834680933336
"47","LC",4,"GAM",0.743289990823623
"48","LC",4,"LDA",0.715724154647921
"49","LC",4,"CTREE",0.739428525258122
"50","LC",4,"RF",0.764284617737533
"51","LC",4,"XGB",0.720321000051942
"52","LC",4,"LGBM",0.761505156662107
"53","LC",4,"RE_boosting",0.755942079170779
"54","LC",4,"RE_RF",0.750434752497533
"55","LC",4,"RE_bag",0.751176827051267
"56","LC",4,"SRE_RF",0.71322136999267
"57","LC",4,"SRE_bag",0.751348581124366
"58","LC",4,"SRE_boosting",0.763587559372313
"59","LC",4,"SRE_PLTR",0.75933156731363
"60","LC",4,"PLTR",0.758239289898483
"61","LC",5,"LRR",0.70810202638291
"62","LC",5,"GAM",0.740986388830277
"63","LC",5,"LDA",0.705942283288555
"64","LC",5,"CTREE",0.750954037358722
"65","LC",5,"RF",0.753228331375658
"66","LC",5,"XGB",0.743511091163977
"67","LC",5,"LGBM",0.758337073420956
"68","LC",5,"RE_boosting",0.760631070196576
"69","LC",5,"RE_RF",0.75521624808614
"70","LC",5,"RE_bag",0.756764518355754
"71","LC",5,"SRE_RF",0.709030576161357
"72","LC",5,"SRE_bag",0.757452854849548
"73","LC",5,"SRE_boosting",0.763122781864573
"74","LC",5,"SRE_PLTR",0.763291171720768
"75","LC",5,"PLTR",0.765351942818012
"76","LC",6,"LRR",0.720566011591227
"77","LC",6,"GAM",0.744135800746957
"78","LC",6,"LDA",0.719002488617088
"79","LC",6,"CTREE",0.761497531842395
"80","LC",6,"RF",0.766983114416868
"81","LC",6,"XGB",0.753670965947981
"82","LC",6,"LGBM",0.766162177670148
"83","LC",6,"RE_boosting",0.766812463730917
"84","LC",6,"RE_RF",0.75909052019165
"85","LC",6,"RE_bag",0.754454819882153
"86","LC",6,"SRE_RF",0.717633911964705
"87","LC",6,"SRE_bag",0.749792963983871
"88","LC",6,"SRE_boosting",0.767762783456834
"89","LC",6,"SRE_PLTR",0.762185481951016
"90","LC",6,"PLTR",0.757261256435437
