"","dataset","nr_fold","algorithm","metric"
"1","LC",1,"LRR",0.147682553492458
"2","LC",1,"GAM",0.148513509884193
"3","LC",1,"LDA",0.14931791013915
"4","LC",1,"CTREE",0.141762301236084
"5","LC",1,"RF",0.142088980612288
"6","LC",1,"XGB",0.145319212041674
"7","LC",1,"LGBM",0.143149777489299
"8","LC",1,"RE_boosting",0.14091371384312
"9","LC",1,"RE_RF",0.139937303875399
"10","LC",1,"RE_bag",0.141132396905098
"11","LC",1,"SRE_RF",0.149184174893015
"12","LC",1,"SRE_bag",0.142227659938352
"13","LC",1,"SRE_boosting",0.138656370986949
"14","LC",1,"SRE_PLTR",0.140435905146612
"15","LC",1,"PLTR",0.14079120517783
"16","LC",2,"LRR",0.142935392450394
"17","LC",2,"GAM",0.141829147060859
"18","LC",2,"LDA",0.143588719862864
"19","LC",2,"CTREE",0.137471624044909
"20","LC",2,"RF",0.136048968070069
"21","LC",2,"XGB",0.138691663538344
"22","LC",2,"LGBM",0.138849692204802
"23","LC",2,"RE_boosting",0.136406477294398
"24","LC",2,"RE_RF",0.134069293546592
"25","LC",2,"RE_bag",0.136708048172262
"26","LC",2,"SRE_RF",0.144016143170322
"27","LC",2,"SRE_bag",0.137637987358751
"28","LC",2,"SRE_boosting",0.133652697434051
"29","LC",2,"SRE_PLTR",0.135749462465324
"30","LC",2,"PLTR",0.135964278215079
"31","LC",3,"LRR",0.145993441659584
"32","LC",3,"GAM",0.145356433202232
"33","LC",3,"LDA",0.147301946340865
"34","LC",3,"CTREE",0.140565135252814
"35","LC",3,"RF",0.140779922965208
"36","LC",3,"XGB",0.142511679493647
"37","LC",3,"LGBM",0.141669962220778
"38","LC",3,"RE_boosting",0.139451054208843
"39","LC",3,"RE_RF",0.137782566774885
"40","LC",3,"RE_bag",0.139205121790478
"41","LC",3,"SRE_RF",0.147060783786279
"42","LC",3,"SRE_bag",0.140973264991195
"43","LC",3,"SRE_boosting",0.137077565161708
"44","LC",3,"SRE_PLTR",0.139942543754039
"45","LC",3,"PLTR",0.140244531058096
"46","LC",4,"LRR",0.144217946874243
"47","LC",4,"GAM",0.146257284723593
"48","LC",4,"LDA",0.145484034352118
"49","LC",4,"CTREE",0.138848279720116
"50","LC",4,"RF",0.140178278881561
"51","LC",4,"XGB",0.14146796281457
"52","LC",4,"LGBM",0.143522180349838
"53","LC",4,"RE_boosting",0.13855433971541
"54","LC",4,"RE_RF",0.138987254846685
"55","LC",4,"RE_bag",0.138139566872707
"56","LC",4,"SRE_RF",0.145719504815606
"57","LC",4,"SRE_bag",0.138860917290897
"58","LC",4,"SRE_boosting",0.136831911732909
"59","LC",4,"SRE_PLTR",0.138449286324478
"60","LC",4,"PLTR",0.138785063385708
"61","LC",5,"LRR",0.147228364226627
"62","LC",5,"GAM",0.147455439846933
"63","LC",5,"LDA",0.148794463907026
"64","LC",5,"CTREE",0.142999442064188
"65","LC",5,"RF",0.142166629066031
"66","LC",5,"XGB",0.144616125984572
"67","LC",5,"LGBM",0.142946662951018
"68","LC",5,"RE_boosting",0.141301933702087
"69","LC",5,"RE_RF",0.139945406008399
"70","LC",5,"RE_bag",0.141019873700388
"71","LC",5,"SRE_RF",0.148744860309099
"72","LC",5,"SRE_bag",0.141690070139822
"73","LC",5,"SRE_boosting",0.14136371022515
"74","LC",5,"SRE_PLTR",0.1400788789819
"75","LC",5,"PLTR",0.140348317418392
"76","LC",6,"LRR",0.142489995594776
"77","LC",6,"GAM",0.142981354860737
"78","LC",6,"LDA",0.14353668086585
"79","LC",6,"CTREE",0.134760191984702
"80","LC",6,"RF",0.137839358618388
"81","LC",6,"XGB",0.139785911903809
"82","LC",6,"LGBM",0.13638101910529
"83","LC",6,"RE_boosting",0.136641651143996
"84","LC",6,"RE_RF",0.136185630631207
"85","LC",6,"RE_bag",0.135765359031803
"86","LC",6,"SRE_RF",0.143769287873862
"87","LC",6,"SRE_bag",0.136615997476876
"88","LC",6,"SRE_boosting",0.134783178863939
"89","LC",6,"SRE_PLTR",0.136286500473619
"90","LC",6,"PLTR",0.13663040477653
