"","dataset","nr_fold","algorithm","metric"
"1","LC",1,"LRR",0.0229212382374062
"2","LC",1,"GAM",0.0224945501273072
"3","LC",1,"LDA",0.0227497486911484
"4","LC",1,"CTREE",0.023520490340791
"5","LC",1,"RF",0.0235273466205586
"6","LC",1,"XGB",0.0226892492061533
"7","LC",1,"LGBM",0.023283895657888
"8","LC",1,"RE_boosting",0.0248305580671424
"9","LC",1,"RE_RF",0.0250392753987394
"10","LC",1,"RE_bag",0.0241078841798544
"11","LC",1,"SRE_RF",0.0233135150417111
"12","LC",1,"SRE_bag",0.0239512296278865
"13","LC",1,"SRE_boosting",0.0252256979284074
"14","LC",1,"SRE_PLTR",0.0247368881825484
"15","LC",1,"PLTR",0.0244123195841737
"16","LC",2,"LRR",0.0195135735029812
"17","LC",2,"GAM",0.0197838478481756
"18","LC",2,"LDA",0.019449455839827
"19","LC",2,"CTREE",0.0203612503456285
"20","LC",2,"RF",0.02129177860924
"21","LC",2,"XGB",0.0209705956019514
"22","LC",2,"LGBM",0.0202248059517229
"23","LC",2,"RE_boosting",0.0209659125443993
"24","LC",2,"RE_RF",0.0220900014226624
"25","LC",2,"RE_bag",0.021444479658331
"26","LC",2,"SRE_RF",0.0199349449741051
"27","LC",2,"SRE_bag",0.0207653683794548
"28","LC",2,"SRE_boosting",0.0214144939284153
"29","LC",2,"SRE_PLTR",0.0212183342937873
"30","LC",2,"PLTR",0.0209986773493969
"31","LC",3,"LRR",0.0209300963911235
"32","LC",3,"GAM",0.0211367214210212
"33","LC",3,"LDA",0.0206636109404678
"34","LC",3,"CTREE",0.0212330335008891
"35","LC",3,"RF",0.0216742652834443
"36","LC",3,"XGB",0.0221481570511925
"37","LC",3,"LGBM",0.0214685108745185
"38","LC",3,"RE_boosting",0.0225434199713832
"39","LC",3,"RE_RF",0.0232582024427772
"40","LC",3,"RE_bag",0.0225386067636609
"41","LC",3,"SRE_RF",0.021004278434449
"42","LC",3,"SRE_bag",0.0227219040332635
"43","LC",3,"SRE_boosting",0.0227772734480752
"44","LC",3,"SRE_PLTR",0.0227739867849668
"45","LC",3,"PLTR",0.0220525369183973
"46","LC",4,"LRR",0.0215795508790095
"47","LC",4,"GAM",0.0211031588481099
"48","LC",4,"LDA",0.0216533963046587
"49","LC",4,"CTREE",0.0217266043117638
"50","LC",4,"RF",0.0230088436150732
"51","LC",4,"XGB",0.0218526652779428
"52","LC",4,"LGBM",0.0220717229450761
"53","LC",4,"RE_boosting",0.0224596106876217
"54","LC",4,"RE_RF",0.0218520735372235
"55","LC",4,"RE_bag",0.0221375223131922
"56","LC",4,"SRE_RF",0.0221848489786491
"57","LC",4,"SRE_bag",0.0225432985553362
"58","LC",4,"SRE_boosting",0.0227689826995659
"59","LC",4,"SRE_PLTR",0.023196927054805
"60","LC",4,"PLTR",0.0232182434539061
"61","LC",5,"LRR",0.0207081070782695
"62","LC",5,"GAM",0.0210601410007673
"63","LC",5,"LDA",0.0202133633512662
"64","LC",5,"CTREE",0.0214824795822217
"65","LC",5,"RF",0.0220471553382157
"66","LC",5,"XGB",0.0213154626850684
"67","LC",5,"LGBM",0.0222601426106237
"68","LC",5,"RE_boosting",0.0232084395542213
"69","LC",5,"RE_RF",0.0225686775464887
"70","LC",5,"RE_bag",0.0228078309729414
"71","LC",5,"SRE_RF",0.0214706261154542
"72","LC",5,"SRE_bag",0.0228200274933614
"73","LC",5,"SRE_boosting",0.0231113688396715
"74","LC",5,"SRE_PLTR",0.0235129759121817
"75","LC",5,"PLTR",0.0218390709697389
"76","LC",6,"LRR",0.0219881981510681
"77","LC",6,"GAM",0.0210762081431776
"78","LC",6,"LDA",0.0217166925943532
"79","LC",6,"CTREE",0.0228005184971406
"80","LC",6,"RF",0.0219960737046405
"81","LC",6,"XGB",0.0210154403875765
"82","LC",6,"LGBM",0.0212855708443909
"83","LC",6,"RE_boosting",0.0227384940506978
"84","LC",6,"RE_RF",0.0224148528248968
"85","LC",6,"RE_bag",0.0227359369688343
"86","LC",6,"SRE_RF",0.0220941310974197
"87","LC",6,"SRE_bag",0.0225950870443631
"88","LC",6,"SRE_boosting",0.0232679469725196
"89","LC",6,"SRE_PLTR",0.0231009404638007
"90","LC",6,"PLTR",0.0232271621795658
