"","dataset","nr_fold","algorithm","metric"
"1","LC",1,"LRR",0.168533333333333
"2","LC",1,"GAM",-0.068006068006068
"3","LC",1,"LDA",0.141015455727286
"4","LC",1,"CTREE",0.0737702296424232
"5","LC",1,"RF",0.125630114566285
"6","LC",1,"XGB",0.121145256626281
"7","LC",1,"LGBM",0.0462714704650189
"8","LC",1,"RE_boosting",0.196389132340053
"9","LC",1,"RE_RF",0.181047891329788
"10","LC",1,"RE_bag",0.140187155821984
"11","LC",1,"SRE_RF",0.0816505392691695
"12","LC",1,"SRE_bag",0
"13","LC",1,"SRE_boosting",0
"14","LC",2,"LRR",0.0718954248366013
"15","LC",2,"GAM",0.236083765885091
"16","LC",2,"LDA",0.286587098607559
"17","LC",2,"CTREE",0.0781509665004809
"18","LC",2,"RF",0.212448708316477
"19","LC",2,"XGB",0.228258671250885
"20","LC",2,"LGBM",0.14771588564692
"21","LC",2,"RE_boosting",0.142566369108197
"22","LC",2,"RE_RF",0.110825529315961
"23","LC",2,"RE_bag",0.0964091202806241
"24","LC",2,"SRE_RF",0.160201852828199
"25","LC",2,"SRE_bag",0.150252525252525
"26","LC",2,"SRE_boosting",0
"27","LC",3,"LRR",0.325396825396825
"28","LC",3,"GAM",0.197361830021706
"29","LC",3,"LDA",0.286474593405287
"30","LC",3,"CTREE",-0.00769165391806892
"31","LC",3,"RF",0.170162601626016
"32","LC",3,"XGB",0.107692307692308
"33","LC",3,"LGBM",-0.0320370549068802
"34","LC",3,"RE_boosting",0.201907467532467
"35","LC",3,"RE_RF",0.174946294307196
"36","LC",3,"RE_bag",0.175968507413267
"37","LC",3,"SRE_RF",-0.13219094247246
"38","LC",3,"SRE_bag",0.310714285714286
"39","LC",3,"SRE_boosting",0.0344937719578409
"40","LC",4,"LRR",0
"41","LC",4,"GAM",0.0805318343962815
"42","LC",4,"LDA",0.0613410796417333
"43","LC",4,"CTREE",0.0788555052514444
"44","LC",4,"RF",0.126160761814633
"45","LC",4,"XGB",0.107154929577465
"46","LC",4,"LGBM",0.0972340684781285
"47","LC",4,"RE_boosting",0.183893684688778
"48","LC",4,"RE_RF",0.156471577935344
"49","LC",4,"RE_bag",0.171263227513228
"50","LC",4,"SRE_RF",0.171472084732269
"51","LC",4,"SRE_bag",-0.255555555555556
"52","LC",4,"SRE_boosting",0
"53","LC",5,"LRR",0.327603640040445
"54","LC",5,"GAM",0.155802069051477
"55","LC",5,"LDA",0.264392324093817
"56","LC",5,"CTREE",0
"57","LC",5,"RF",0.111108737449263
"58","LC",5,"XGB",0.0601370964921484
"59","LC",5,"LGBM",0.111352785145889
"60","LC",5,"RE_boosting",0.0982718548508021
"61","LC",5,"RE_RF",0.0673367566189591
"62","LC",5,"RE_bag",0.148525541534517
"63","LC",5,"SRE_RF",0.186540759121404
"64","LC",5,"SRE_bag",0.146390013495277
"65","LC",5,"SRE_boosting",0.0287254021392995
"66","LC",6,"LRR",0.282258064516129
"67","LC",6,"GAM",0.134824434824435
"68","LC",6,"LDA",0.0767180658671236
"69","LC",6,"CTREE",0.0446893174165903
"70","LC",6,"RF",0.0821279331404694
"71","LC",6,"XGB",0.114237555392437
"72","LC",6,"LGBM",0.147288111422731
"73","LC",6,"RE_boosting",0.0902112783097735
"74","LC",6,"RE_RF",0.0967274022801303
"75","LC",6,"RE_bag",0.109140979804812
"76","LC",6,"SRE_RF",0.607142857142857
"77","LC",6,"SRE_bag",0.240384615384615
"78","LC",6,"SRE_boosting",0.142857142857143
"79","LC",7,"LRR",0.0729166666666665
"80","LC",7,"GAM",0.0402540092562695
"81","LC",7,"LDA",0.13106824071408
"82","LC",7,"CTREE",0.0537410071942446
"83","LC",7,"RF",0.131351183063512
"84","LC",7,"XGB",0.230606024384413
"85","LC",7,"LGBM",-0.0212101947639138
"86","LC",7,"RE_boosting",0.216705084745763
"87","LC",7,"RE_RF",0.109723850911683
"88","LC",7,"RE_bag",0.198111060537096
"89","LC",7,"SRE_RF",0.170570321151716
"90","LC",7,"SRE_bag",0.127854635556473
"91","LC",7,"SRE_boosting",0.243827160493827
"92","LC",8,"LRR",-0.0347222222222222
"93","LC",8,"GAM",0.230581148121899
"94","LC",8,"LDA",0.229422147900409
"95","LC",8,"CTREE",0
"96","LC",8,"RF",0.106876693766938
"97","LC",8,"XGB",0.100777279994934
"98","LC",8,"LGBM",0.22309682187731
"99","LC",8,"RE_boosting",0.18332628909552
"100","LC",8,"RE_RF",0.187336625036306
"101","LC",8,"RE_bag",0.177404371584699
"102","LC",8,"SRE_RF",0.333333333333333
"103","LC",8,"SRE_bag",0.194112339273629
"104","LC",8,"SRE_boosting",0
"105","LC",9,"LRR",0
"106","LC",9,"GAM",0.141027137924708
"107","LC",9,"LDA",0.124839657384036
"108","LC",9,"CTREE",0.154320987654321
"109","LC",9,"RF",0.113062019097061
"110","LC",9,"XGB",0.131792394291286
"111","LC",9,"LGBM",0.175540893048949
"112","LC",9,"RE_boosting",0.162647252136104
"113","LC",9,"RE_RF",0.141541125541126
"114","LC",9,"RE_bag",0.13660276560744
"115","LC",9,"SRE_RF",0.158946655256026
"116","LC",9,"SRE_bag",0.136120845099173
"117","LC",9,"SRE_boosting",0
"118","LC",10,"LRR",0.114492753623188
"119","LC",10,"GAM",0.171711959637656
"120","LC",10,"LDA",0.230224887556222
"121","LC",10,"CTREE",0.121585634938751
"122","LC",10,"RF",0.0774644089732528
"123","LC",10,"XGB",0.170600080547725
"124","LC",10,"LGBM",0.0920278463956883
"125","LC",10,"RE_boosting",0.221171171171171
"126","LC",10,"RE_RF",0.103872770827788
"127","LC",10,"RE_bag",0.158051071864422
"128","LC",10,"SRE_RF",0.44672131147541
"129","LC",10,"SRE_bag",0
"130","LC",10,"SRE_boosting",0.230443974630021
