"","dataset","nr_fold","algorithm","metric"
"1","LC",1,"GAM",0.716107320883008
"2","LC",1,"RE_boosting",0.697221647945237
"3","LC",1,"RE_RF",0.71408931155675
"4","LC",1,"RE_bag",0.702276433969632
"5","LC",1,"SRE_RF",0.717238646544001
"6","LC",1,"SRE_bag",0.720659040268302
"7","LC",1,"SRE_boosting",0.713544896974709
"8","LC",1,"SRE_PLTR",0.715188477706567
"9","LC",2,"GAM",0.707051149544087
"10","LC",2,"RE_boosting",0.664232067801282
"11","LC",2,"RE_RF",0.681526906911045
"12","LC",2,"RE_bag",0.686556880038586
"13","LC",2,"SRE_RF",0.689136176761065
"14","LC",2,"SRE_bag",0.687485932152783
"15","LC",2,"SRE_boosting",0.695615425250924
"16","LC",2,"SRE_PLTR",0.690234043041871
"17","LC",3,"GAM",0.729751232374183
"18","LC",3,"RE_boosting",0.709067981199129
"19","LC",3,"RE_RF",0.712359280064198
"20","LC",3,"RE_bag",0.725064771294279
"21","LC",3,"SRE_RF",0.736586036913906
"22","LC",3,"SRE_bag",0.737560472314571
"23","LC",3,"SRE_boosting",0.716936833658145
"24","LC",3,"SRE_PLTR",0.732836180213229
"25","LC",4,"GAM",0.700363196125908
"26","LC",4,"RE_boosting",0.673454811431506
"27","LC",4,"RE_RF",0.684844816200748
"28","LC",4,"RE_bag",0.674085360261208
"29","LC",4,"SRE_RF",0.686035980262675
"30","LC",4,"SRE_bag",0.696460672096265
"31","LC",4,"SRE_boosting",0.679681194511703
"32","LC",4,"SRE_PLTR",0.688641866607968
"33","LC",5,"GAM",0.723497666143956
"34","LC",5,"RE_boosting",0.692646290131778
"35","LC",5,"RE_RF",0.693015397030638
"36","LC",5,"RE_bag",0.690307848909186
"37","LC",5,"SRE_RF",0.721849294340972
"38","LC",5,"SRE_bag",0.711689684264583
"39","LC",5,"SRE_boosting",0.705473328014526
"40","LC",5,"SRE_PLTR",0.701935862517997
"41","LC",6,"GAM",0.708455218200658
"42","LC",6,"RE_boosting",0.665512008142979
"43","LC",6,"RE_RF",0.695800588715372
"44","LC",6,"RE_bag",0.710915076432128
"45","LC",6,"SRE_RF",0.7023284976754
"46","LC",6,"SRE_bag",0.724626550879863
"47","LC",6,"SRE_boosting",0.7087555364004
"48","LC",6,"SRE_PLTR",0.695520903063704
