"","dataset","nr_fold","algorithm","metric"
"1","LC",1,"GAM",0.21732112488433
"2","LC",1,"RE_boosting",0.232683786420219
"3","LC",1,"RE_RF",0.219376048119898
"4","LC",1,"RE_bag",0.228746071119893
"5","LC",1,"SRE_RF",0.216710565141877
"6","LC",1,"SRE_bag",0.215337298347753
"7","LC",1,"SRE_boosting",0.215020539802299
"8","LC",1,"SRE_PLTR",0.217267753057912
"9","LC",2,"GAM",0.222128797546747
"10","LC",2,"RE_boosting",0.231196832216352
"11","LC",2,"RE_RF",0.242213211499039
"12","LC",2,"RE_bag",0.234774772951466
"13","LC",2,"SRE_RF",0.221765707200756
"14","LC",2,"SRE_bag",0.223998098516174
"15","LC",2,"SRE_boosting",0.215594841296629
"16","LC",2,"SRE_PLTR",0.22680425573792
"17","LC",3,"GAM",0.210812519250602
"18","LC",3,"RE_boosting",0.218256431663608
"19","LC",3,"RE_RF",0.21888039845978
"20","LC",3,"RE_bag",0.214835522620972
"21","LC",3,"SRE_RF",0.211833346955618
"22","LC",3,"SRE_bag",0.213866471701955
"23","LC",3,"SRE_boosting",0.208479228716569
"24","LC",3,"SRE_PLTR",0.211396015127636
"25","LC",4,"GAM",0.221663448272079
"26","LC",4,"RE_boosting",0.240275346574121
"27","LC",4,"RE_RF",0.231438594899254
"28","LC",4,"RE_bag",0.243654197818097
"29","LC",4,"SRE_RF",0.221224682802044
"30","LC",4,"SRE_bag",0.222717616953325
"31","LC",4,"SRE_boosting",0.223705321614885
"32","LC",4,"SRE_PLTR",0.222980894720478
"33","LC",5,"GAM",0.213420819369407
"34","LC",5,"RE_boosting",0.237200295471957
"35","LC",5,"RE_RF",0.227953141351008
"36","LC",5,"RE_bag",0.231434679446005
"37","LC",5,"SRE_RF",0.215537605004025
"38","LC",5,"SRE_bag",0.221895798923411
"39","LC",5,"SRE_boosting",0.217458853797727
"40","LC",5,"SRE_PLTR",0.220579857464173
"41","LC",6,"GAM",0.218193498753265
"42","LC",6,"RE_boosting",0.231670664186799
"43","LC",6,"RE_RF",0.228589283280747
"44","LC",6,"RE_bag",0.218596765574603
"45","LC",6,"SRE_RF",0.220960657117448
"46","LC",6,"SRE_bag",0.212480265594541
"47","LC",6,"SRE_boosting",0.220475827747555
"48","LC",6,"SRE_PLTR",0.21851545219241
