"","dataset","nr_fold","algorithm","metric"
"1","LC",1,"LRR",0.0960881593619757
"2","LC",1,"GAM",0.097519378856535
"3","LC",1,"LDA",0.0975648876034844
"4","LC",1,"CTREE",0.0947772449760483
"5","LC",1,"RF",0.0962261202291528
"6","LC",1,"XGB",0.0966962272449865
"7","LC",1,"LGBM",0.0962006595824599
"8","LC",1,"RE_boosting",0.096172435867527
"9","LC",1,"RE_RF",0.0954684361792831
"10","LC",1,"RE_bag",0.095765586555324
"11","LC",1,"SRE_RF",0.0964402050467376
"12","LC",1,"SRE_bag",0.0957748214528432
"13","LC",1,"SRE_boosting",0.0965334589549287
"14","LC",1,"SRE_PLTR",0.0964034171805535
"15","LC",1,"PLTR",0.096437948412152
"16","LC",2,"LRR",0.0813106982355956
"17","LC",2,"GAM",0.0827708363859269
"18","LC",2,"LDA",0.0827145613031024
"19","LC",2,"CTREE",0.0799048071150293
"20","LC",2,"RF",0.0803401126866359
"21","LC",2,"XGB",0.0798685567149779
"22","LC",2,"LGBM",0.0805791243613223
"23","LC",2,"RE_boosting",0.0796723417680312
"24","LC",2,"RE_RF",0.0806949218059651
"25","LC",2,"RE_bag",0.0804487240799668
"26","LC",2,"SRE_RF",0.0824918411353024
"27","LC",2,"SRE_bag",0.0800492518477732
"28","LC",2,"SRE_boosting",0.0802990622732444
"29","LC",2,"SRE_PLTR",0.0808016585048813
"30","LC",2,"PLTR",0.0807018514565234
"31","LC",3,"LRR",0.0867672712186455
"32","LC",3,"GAM",0.0883080739916329
"33","LC",3,"LDA",0.0888341689107984
"34","LC",3,"CTREE",0.08478185847097
"35","LC",3,"RF",0.0872724019296482
"36","LC",3,"XGB",0.0865105562340442
"37","LC",3,"LGBM",0.08590140944438
"38","LC",3,"RE_boosting",0.0868589280524724
"39","LC",3,"RE_RF",0.0873766113338529
"40","LC",3,"RE_bag",0.087763493538367
"41","LC",3,"SRE_RF",0.0886668874125898
"42","LC",3,"SRE_bag",0.0875046053692451
"43","LC",3,"SRE_boosting",0.0874543317730073
"44","LC",3,"SRE_PLTR",0.0877093106138681
"45","LC",3,"PLTR",0.0875553201837879
"46","LC",4,"LRR",0.0900472842020732
"47","LC",4,"GAM",0.0911557553396885
"48","LC",4,"LDA",0.0913302875631313
"49","LC",4,"CTREE",0.0894537602677213
"50","LC",4,"RF",0.0909911872915428
"51","LC",4,"XGB",0.0898044187561416
"52","LC",4,"LGBM",0.0902060224489891
"53","LC",4,"RE_boosting",0.0902348696114127
"54","LC",4,"RE_RF",0.0907646078313014
"55","LC",4,"RE_bag",0.0900664809069441
"56","LC",4,"SRE_RF",0.0914417308702699
"57","LC",4,"SRE_bag",0.0906188516493683
"58","LC",4,"SRE_boosting",0.0899301925383259
"59","LC",4,"SRE_PLTR",0.0907433631819761
"60","LC",4,"PLTR",0.0907680597829528
"61","LC",5,"LRR",0.092086452309825
"62","LC",5,"GAM",0.09223510207516
"63","LC",5,"LDA",0.0930740167594836
"64","LC",5,"CTREE",0.0885489493760796
"65","LC",5,"RF",0.0902351289578028
"66","LC",5,"XGB",0.0910444305059432
"67","LC",5,"LGBM",0.0900848239817776
"68","LC",5,"RE_boosting",0.0911821873414721
"69","LC",5,"RE_RF",0.0903844649380128
"70","LC",5,"RE_bag",0.0896667993392354
"71","LC",5,"SRE_RF",0.0924777647105957
"72","LC",5,"SRE_bag",0.0916414057901467
"73","LC",5,"SRE_boosting",0.0902752894495626
"74","LC",5,"SRE_PLTR",0.089640215884621
"75","LC",5,"PLTR",0.0898224222763267
"76","LC",6,"LRR",0.0855295960091146
"77","LC",6,"GAM",0.0868630493178136
"78","LC",6,"LDA",0.087045326295083
"79","LC",6,"CTREE",0.0850552602880211
"80","LC",6,"RF",0.0861833716344705
"81","LC",6,"XGB",0.0860812891595673
"82","LC",6,"LGBM",0.0860652531303045
"83","LC",6,"RE_boosting",0.0853222167840195
"84","LC",6,"RE_RF",0.0859734532697904
"85","LC",6,"RE_bag",0.086692330729508
"86","LC",6,"SRE_RF",0.0867812851559954
"87","LC",6,"SRE_bag",0.0877213612992067
"88","LC",6,"SRE_boosting",0.0853932141919143
"89","LC",6,"SRE_PLTR",0.0867113161270234
"90","LC",6,"PLTR",0.0866482704204559
