"","dataset","nr_fold","algorithm","metric"
"1","LC",1,"RE_RF",0.0957692876634328
"2","LC",1,"SRE_RF",0.0971317794881521
"3","LC",2,"RE_RF",0.0809146327208091
"4","LC",2,"SRE_RF",0.080492709819909
"5","LC",3,"RE_RF",0.0867498188696938
"6","LC",3,"SRE_RF",0.0882103455814202
"7","LC",4,"RE_RF",0.0915001616314806
"8","LC",4,"SRE_RF",0.0907925296901497
"9","LC",5,"RE_RF",0.0904057026207556
"10","LC",5,"SRE_RF",0.0909578063849732
"11","LC",6,"RE_RF",0.0860815884280501
"12","LC",6,"SRE_RF",0.0864703177371646
