"","dataset","nr_fold","algorithm","metric"
"1","LC",1,"GAM",0.0967698319191688
"2","LC",1,"RE_boosting",0.096172435867527
"3","LC",1,"RE_RF",0.0961198466721291
"4","LC",1,"RE_bag",0.095765586555324
"5","LC",1,"SRE_RF",0.0959488371368694
"6","LC",1,"SRE_bag",0.0957887787834657
"7","LC",1,"SRE_boosting",0.0965331992904803
"8","LC",1,"SRE_PLTR",0.0963966828076975
"9","LC",2,"GAM",0.081963805885468
"10","LC",2,"RE_boosting",0.0796723417680312
"11","LC",2,"RE_RF",0.0811664352050135
"12","LC",2,"RE_bag",0.0804487240799668
"13","LC",2,"SRE_RF",0.0798448619175142
"14","LC",2,"SRE_bag",0.0800492518477732
"15","LC",2,"SRE_boosting",0.0802524429234564
"16","LC",2,"SRE_PLTR",0.0810511575599282
"17","LC",3,"GAM",0.0880594273411109
"18","LC",3,"RE_boosting",0.0868589280524724
"19","LC",3,"RE_RF",0.0876725774533621
"20","LC",3,"RE_bag",0.087763493538367
"21","LC",3,"SRE_RF",0.0868404660894272
"22","LC",3,"SRE_bag",0.0875036598316597
"23","LC",3,"SRE_boosting",0.0874762873092741
"24","LC",3,"SRE_PLTR",0.0877168395446706
"25","LC",4,"GAM",0.0911424427985265
"26","LC",4,"RE_boosting",0.0902348696114127
"27","LC",4,"RE_RF",0.0905180553205094
"28","LC",4,"RE_bag",0.0900664809069441
"29","LC",4,"SRE_RF",0.0913079359758868
"30","LC",4,"SRE_bag",0.0905866530031158
"31","LC",4,"SRE_boosting",0.0898772752475928
"32","LC",4,"SRE_PLTR",0.0908399678204004
"33","LC",5,"GAM",0.0921322034127147
"34","LC",5,"RE_boosting",0.0911821873414721
"35","LC",5,"RE_RF",0.0898223246627208
"36","LC",5,"RE_bag",0.0896667993392354
"37","LC",5,"SRE_RF",0.091695676284295
"38","LC",5,"SRE_bag",0.091643511966397
"39","LC",5,"SRE_boosting",0.0902757039353741
"40","LC",5,"SRE_PLTR",0.0905742702717909
"41","LC",6,"GAM",0.0863347136091236
"42","LC",6,"RE_boosting",0.0861889982007502
"43","LC",6,"RE_RF",0.0864987303805571
"44","LC",6,"RE_bag",0.086692330729508
"45","LC",6,"SRE_RF",0.0861978483703617
"46","LC",6,"SRE_bag",0.0877182822348809
"47","LC",6,"SRE_boosting",0.0869807817856985
"48","LC",6,"SRE_PLTR",0.0862593972152179
