"","dataset","nr_fold","algorithm","metric"
"1","LC",1,"LRR",0.240808823529412
"2","LC",1,"GAM",0.133982433943928
"3","LC",1,"LDA",0.141015455727286
"4","LC",1,"CTREE",0.0737702296424232
"5","LC",1,"RF",0.122129713103887
"6","LC",1,"XGB",0.136689896379819
"7","LC",1,"LGBM",0.187609248810709
"8","LC",1,"RE_boosting",0.182316746923489
"9","LC",1,"RE_RF",0.148571428571429
"10","LC",1,"RE_bag",0.141145360943268
"11","LC",1,"SRE_RF",0.269700332963374
"12","LC",1,"SRE_bag",0.01620029455081
"13","LC",1,"SRE_boosting",0.167955326460481
"14","LC",1,"SRE_PLTR",0.167955326460481
"15","LC",1,"PLTR",0.167955326460481
"16","LC",2,"LRR",0.136363636363636
"17","LC",2,"GAM",0.211414693381907
"18","LC",2,"LDA",0.286587098607559
"19","LC",2,"CTREE",0.0781509665004809
"20","LC",2,"RF",0.145954627584822
"21","LC",2,"XGB",0.158055969531379
"22","LC",2,"LGBM",0.11535752025361
"23","LC",2,"RE_boosting",0.0679487179487179
"24","LC",2,"RE_RF",0.145645263827082
"25","LC",2,"RE_bag",0.156932773109244
"26","LC",2,"SRE_RF",0.0979166666666667
"27","LC",2,"SRE_bag",0.0351213282247764
"28","LC",2,"SRE_boosting",0.0673076923076923
"29","LC",2,"SRE_PLTR",0.00327988338192409
"30","LC",2,"PLTR",0.00327988338192409
"31","LC",3,"LRR",0.157894736842105
"32","LC",3,"GAM",0.270544629767931
"33","LC",3,"LDA",0.286474593405287
"34","LC",3,"CTREE",-0.00769165391806892
"35","LC",3,"RF",0.193595784567057
"36","LC",3,"XGB",0.20636364817968
"37","LC",3,"LGBM",0.149358597728163
"38","LC",3,"RE_boosting",0.251943005181347
"39","LC",3,"RE_RF",0.136451881297957
"40","LC",3,"RE_bag",0.248129154795822
"41","LC",3,"SRE_RF",0.165714285714286
"42","LC",3,"SRE_bag",0.0177095631641087
"43","LC",3,"SRE_boosting",0.0887254338581771
"44","LC",3,"SRE_PLTR",0.0814814814814815
"45","LC",3,"PLTR",0.438461538461538
"46","LC",4,"LRR",0
"47","LC",4,"GAM",0.0603628117913833
"48","LC",4,"LDA",0.0613410796417333
"49","LC",4,"CTREE",0.0788555052514444
"50","LC",4,"RF",0.181034482758621
"51","LC",4,"XGB",0.0555046805046806
"52","LC",4,"LGBM",0.151492440883835
"53","LC",4,"RE_boosting",0.163031161473088
"54","LC",4,"RE_RF",0.0608465247142058
"55","LC",4,"RE_bag",0.155368657134847
"56","LC",4,"SRE_RF",0
"57","LC",4,"SRE_bag",0.150329566854991
"58","LC",4,"SRE_boosting",0.0919421487603305
"59","LC",4,"SRE_PLTR",0.326923076923077
"60","LC",4,"PLTR",0.326923076923077
"61","LC",5,"LRR",0.251127819548872
"62","LC",5,"GAM",0.139817629179331
"63","LC",5,"LDA",0.264392324093817
"64","LC",5,"CTREE",0
"65","LC",5,"RF",0.115377604957774
"66","LC",5,"XGB",0.158476968625921
"67","LC",5,"LGBM",0.158950911284689
"68","LC",5,"RE_boosting",0.0876373626373625
"69","LC",5,"RE_RF",0.0565807962529274
"70","LC",5,"RE_bag",0.128586252348768
"71","LC",5,"SRE_RF",0.275356874530428
"72","LC",5,"SRE_bag",0.16405529953917
"73","LC",5,"SRE_boosting",0.100928792569659
"74","LC",5,"SRE_PLTR",0.158825206729398
"75","LC",5,"PLTR",0.253284072249589
"76","LC",6,"LRR",0.461382113821138
"77","LC",6,"GAM",0.11820058572183
"78","LC",6,"LDA",0.0767180658671236
"79","LC",6,"CTREE",0.0446893174165903
"80","LC",6,"RF",0.0178819002348414
"81","LC",6,"XGB",0.166416345308166
"82","LC",6,"LGBM",0.197321709432436
"83","LC",6,"RE_boosting",0.0741845125146834
"84","LC",6,"RE_RF",0.049411561093804
"85","LC",6,"RE_bag",0.18282274895647
"86","LC",6,"SRE_RF",0.609756097560976
"87","LC",6,"SRE_bag",0.714285714285714
"88","LC",6,"SRE_boosting",-0.0152380952380953
"89","LC",6,"SRE_PLTR",0.45
"90","LC",6,"PLTR",0.45
