"","dataset","nr_fold","algorithm","metric"
"1","LC",1,"GAM",0.126667698498684
"2","LC",1,"RE_boosting",0.183307493540052
"3","LC",1,"RE_RF",0.130833500602168
"4","LC",1,"RE_bag",0.141145360943268
"5","LC",1,"SRE_RF",0.138546798029557
"6","LC",1,"SRE_bag",0.01620029455081
"7","LC",1,"SRE_boosting",0.167955326460481
"8","LC",1,"SRE_PLTR",0.167955326460481
"9","LC",2,"GAM",0.150621305344432
"10","LC",2,"RE_boosting",0.0891554387117977
"11","LC",2,"RE_RF",0.105438887353781
"12","LC",2,"RE_bag",0.156932773109244
"13","LC",2,"SRE_RF",0.305238095238095
"14","LC",2,"SRE_bag",0.0351213282247764
"15","LC",2,"SRE_boosting",0.0673076923076923
"16","LC",2,"SRE_PLTR",0.0169552669552668
"17","LC",3,"GAM",0.248228784196101
"18","LC",3,"RE_boosting",0.207378363927998
"19","LC",3,"RE_RF",0.244225543478261
"20","LC",3,"RE_bag",0.248129154795822
"21","LC",3,"SRE_RF",0.0646929824561404
"22","LC",3,"SRE_bag",0.0177095631641087
"23","LC",3,"SRE_boosting",0.188631790744467
"24","LC",3,"SRE_PLTR",0.309433962264151
"25","LC",4,"GAM",0.152768310232523
"26","LC",4,"RE_boosting",0.161330732985038
"27","LC",4,"RE_RF",0.169180256891326
"28","LC",4,"RE_bag",0.155368657134847
"29","LC",4,"SRE_RF",0.54320987654321
"30","LC",4,"SRE_bag",0.231292517006803
"31","LC",4,"SRE_boosting",0.0857142857142856
"32","LC",4,"SRE_PLTR",0.261363636363636
"33","LC",5,"GAM",0.180623281761082
"34","LC",5,"RE_boosting",0.115103184130795
"35","LC",5,"RE_RF",-0.0232192050373868
"36","LC",5,"RE_bag",0.128586252348768
"37","LC",5,"SRE_RF",0.267920094007051
"38","LC",5,"SRE_bag",0.16405529953917
"39","LC",5,"SRE_boosting",0.100663423264042
"40","LC",5,"SRE_PLTR",0.22372475179733
"41","LC",6,"GAM",0.0874300582560041
"42","LC",6,"RE_boosting",0.0921287376007993
"43","LC",6,"RE_RF",0.142018642018642
"44","LC",6,"RE_bag",0.18282274895647
"45","LC",6,"SRE_RF",0.297554347826087
"46","LC",6,"SRE_bag",0.714285714285714
"47","LC",6,"SRE_boosting",0.0778186274509804
"48","LC",6,"SRE_PLTR",0.0651173109989462
