"","dataset","nr_fold","algorithm","metric"
"1","PAKDD",1,"LRR",0.0152812226736688
"2","PAKDD",1,"GAM",0.0151327423319028
"3","PAKDD",1,"LDA",0.0150352953890271
"4","PAKDD",1,"CTREE",0.014629392064232
"5","PAKDD",1,"RF",0.0143716206768041
"6","PAKDD",1,"XGB",0.0139819922485683
"7","PAKDD",1,"LGBM",0.0150699486129822
"8","PAKDD",1,"RE_RF",0.01500093007496
"9","PAKDD",1,"RE_boosting",0.0148372725246085
"10","PAKDD",1,"RE_bag",0.0150010706619335
"11","PAKDD",1,"PLTR",0.0152884401369019
"12","PAKDD",1,"SRE_RF",0.0152883934987178
"13","PAKDD",1,"SRE_bag",0.0152883934987178
"14","PAKDD",1,"SRE_PLTR",0.0152883934987178
"15","PAKDD",2,"LRR",0.0142260772554603
"16","PAKDD",2,"GAM",0.0141780424057949
"17","PAKDD",2,"LDA",0.0141467815353669
"18","PAKDD",2,"CTREE",0.0136596943940654
"19","PAKDD",2,"RF",0.013704170756836
"20","PAKDD",2,"XGB",0.0142107405770556
"21","PAKDD",2,"LGBM",0.0142888878665862
"22","PAKDD",2,"RE_RF",0.013595604414777
"23","PAKDD",2,"RE_boosting",0.0140016684599207
"24","PAKDD",2,"RE_bag",0.0135989139483099
"25","PAKDD",2,"PLTR",0.0141933223826194
"26","PAKDD",2,"SRE_RF",0.0141897924505281
"27","PAKDD",2,"SRE_bag",0.0141897924505281
"28","PAKDD",2,"SRE_PLTR",0.0141897924505281
"29","PAKDD",3,"LRR",0.0151986581024519
"30","PAKDD",3,"GAM",0.0150022042261888
"31","PAKDD",3,"LDA",0.0150733985941459
"32","PAKDD",3,"CTREE",0.0141727988163373
"33","PAKDD",3,"RF",0.0136163384050301
"34","PAKDD",3,"XGB",0.0142577615335
"35","PAKDD",3,"LGBM",0.0150101938876548
"36","PAKDD",3,"RE_RF",0.0151128263314754
"37","PAKDD",3,"RE_boosting",0.014856005921795
"38","PAKDD",3,"RE_bag",0.0148137042293746
"39","PAKDD",3,"PLTR",0.0151047557829692
"40","PAKDD",3,"SRE_RF",0.0151047557829692
"41","PAKDD",3,"SRE_bag",0.0151047557829692
"42","PAKDD",3,"SRE_PLTR",0.0151047557829692
"43","PAKDD",4,"LRR",0.0148760258255877
"44","PAKDD",4,"GAM",0.0146295678644991
"45","PAKDD",4,"LDA",0.0146477863975725
"46","PAKDD",4,"CTREE",0.0139893473298043
"47","PAKDD",4,"RF",0.0134528240719427
"48","PAKDD",4,"XGB",0.0140442182885821
"49","PAKDD",4,"LGBM",0.0147586449898846
"50","PAKDD",4,"RE_RF",0.0140383462183636
"51","PAKDD",4,"RE_boosting",0.0141183103339201
"52","PAKDD",4,"RE_bag",0.0141866621823328
"53","PAKDD",4,"PLTR",0.0147577392639645
"54","PAKDD",4,"SRE_RF",0.0147546575675689
"55","PAKDD",4,"SRE_bag",0.0147546575675689
"56","PAKDD",4,"SRE_PLTR",0.0147546575675689
"57","PAKDD",5,"LRR",0.0148721094359048
"58","PAKDD",5,"GAM",0.014656574492773
"59","PAKDD",5,"LDA",0.0146545816768475
"60","PAKDD",5,"CTREE",0.0138895450858877
"61","PAKDD",5,"RF",0.0132229868613743
"62","PAKDD",5,"XGB",0.0138172190578053
"63","PAKDD",5,"LGBM",0.0150072412270734
"64","PAKDD",5,"RE_RF",0.014854521118766
"65","PAKDD",5,"RE_boosting",0.014461872467229
"66","PAKDD",5,"RE_bag",0.0144198283061137
"67","PAKDD",5,"PLTR",0.014843133483507
"68","PAKDD",5,"SRE_RF",0.0148426523654326
"69","PAKDD",5,"SRE_bag",0.0148426523654326
"70","PAKDD",5,"SRE_PLTR",0.0148426523654326
"71","PAKDD",6,"LRR",0.01471048649965
"72","PAKDD",6,"GAM",0.014701121150111
"73","PAKDD",6,"LDA",0.0147318220913358
"74","PAKDD",6,"CTREE",0.0140034140140998
"75","PAKDD",6,"RF",0.0133867576429283
"76","PAKDD",6,"XGB",0.0145247594027804
"77","PAKDD",6,"LGBM",0.0149826227134108
"78","PAKDD",6,"RE_RF",0.0147595681538554
"79","PAKDD",6,"RE_boosting",0.0143997550428805
"80","PAKDD",6,"RE_bag",0.0147016013092691
"81","PAKDD",6,"PLTR",0.014608118078711
"82","PAKDD",6,"SRE_RF",0.014608118078711
"83","PAKDD",6,"SRE_bag",0.014608118078711
"84","PAKDD",6,"SRE_PLTR",0.014608118078711
