"","dataset","nr_fold","algorithm","metric"
"1","PAKDD",1,"LRR",0.620489727411756
"2","PAKDD",1,"GAM",0.615865829598385
"3","PAKDD",1,"LDA",0.615572294661276
"4","PAKDD",1,"CTREE",0.60877221354311
"5","PAKDD",1,"RF",0.608352552577163
"6","PAKDD",1,"XGB",0.612022998066885
"7","PAKDD",1,"LGBM",0.61802387659306
"8","PAKDD",1,"RE_RF",0.612865069430267
"9","PAKDD",1,"RE_boosting",0.610374776000007
"10","PAKDD",1,"RE_bag",0.612043092932871
"11","PAKDD",1,"PLTR",0.618159261249622
"12","PAKDD",1,"SRE_RF",0.618162010681111
"13","PAKDD",1,"SRE_bag",0.618162010681111
"14","PAKDD",1,"SRE_boosting",0.618680502115091
"15","PAKDD",1,"SRE_PLTR",0.618162010681111
"16","PAKDD",2,"LRR",0.610260055974484
"17","PAKDD",2,"GAM",0.609555960757464
"18","PAKDD",2,"LDA",0.609551735803587
"19","PAKDD",2,"CTREE",0.601552775341845
"20","PAKDD",2,"RF",0.60502223594057
"21","PAKDD",2,"XGB",0.612892967388787
"22","PAKDD",2,"LGBM",0.612736980927302
"23","PAKDD",2,"RE_RF",0.600114881319673
"24","PAKDD",2,"RE_boosting",0.600579135552647
"25","PAKDD",2,"RE_bag",0.600095195363323
"26","PAKDD",2,"PLTR",0.610057000366415
"27","PAKDD",2,"SRE_RF",0.610062722351193
"28","PAKDD",2,"SRE_bag",0.610062722351193
"29","PAKDD",2,"SRE_boosting",0.609978639115576
"30","PAKDD",2,"SRE_PLTR",0.610062722351193
"31","PAKDD",3,"LRR",0.615491274393449
"32","PAKDD",3,"GAM",0.614956753336054
"33","PAKDD",3,"LDA",0.614653745823716
"34","PAKDD",3,"CTREE",0.603483887232993
"35","PAKDD",3,"RF",0.598136634684317
"36","PAKDD",3,"XGB",0.60934425116889
"37","PAKDD",3,"LGBM",0.617975578959688
"38","PAKDD",3,"RE_RF",0.614149154400038
"39","PAKDD",3,"RE_boosting",0.611232932829328
"40","PAKDD",3,"RE_bag",0.60945561127574
"41","PAKDD",3,"PLTR",0.613679988959917
"42","PAKDD",3,"SRE_RF",0.613679988959917
"43","PAKDD",3,"SRE_bag",0.613679988959917
"44","PAKDD",3,"SRE_boosting",0.612613929039464
"45","PAKDD",3,"SRE_PLTR",0.613679988959917
"46","PAKDD",4,"LRR",0.614862817063133
"47","PAKDD",4,"GAM",0.612780247194913
"48","PAKDD",4,"LDA",0.61315354484439
"49","PAKDD",4,"CTREE",0.600906229971772
"50","PAKDD",4,"RF",0.604850893953835
"51","PAKDD",4,"XGB",0.607157685190737
"52","PAKDD",4,"LGBM",0.616579035920616
"53","PAKDD",4,"RE_RF",0.602423245337255
"54","PAKDD",4,"RE_boosting",0.604566302095758
"55","PAKDD",4,"RE_bag",0.604879852832029
"56","PAKDD",4,"PLTR",0.61435586625059
"57","PAKDD",4,"SRE_RF",0.61435921693331
"58","PAKDD",4,"SRE_bag",0.61435921693331
"59","PAKDD",4,"SRE_boosting",0.61400175811902
"60","PAKDD",4,"SRE_PLTR",0.61435921693331
"61","PAKDD",5,"LRR",0.616011539253721
"62","PAKDD",5,"GAM",0.612589083051342
"63","PAKDD",5,"LDA",0.613060760975599
"64","PAKDD",5,"CTREE",0.602528196496403
"65","PAKDD",5,"RF",0.594866951977259
"66","PAKDD",5,"XGB",0.603723146832298
"67","PAKDD",5,"LGBM",0.617406060959638
"68","PAKDD",5,"RE_RF",0.612354979023236
"69","PAKDD",5,"RE_boosting",0.60896363956817
"70","PAKDD",5,"RE_bag",0.607750082272398
"71","PAKDD",5,"PLTR",0.61555972175842
"72","PAKDD",5,"SRE_RF",0.615558003426636
"73","PAKDD",5,"SRE_bag",0.615558003426636
"74","PAKDD",5,"SRE_boosting",0.615254846534045
"75","PAKDD",5,"SRE_PLTR",0.615558003426636
"76","PAKDD",6,"LRR",0.612831751555653
"77","PAKDD",6,"GAM",0.612621094838949
"78","PAKDD",6,"LDA",0.612582372733478
"79","PAKDD",6,"CTREE",0.603080389538573
"80","PAKDD",6,"RF",0.598206374153062
"81","PAKDD",6,"XGB",0.610426753694246
"82","PAKDD",6,"LGBM",0.617943048735317
"83","PAKDD",6,"RE_RF",0.611741687364989
"84","PAKDD",6,"RE_boosting",0.611100557325347
"85","PAKDD",6,"RE_bag",0.611301838430484
"86","PAKDD",6,"PLTR",0.610820886151111
"87","PAKDD",6,"SRE_RF",0.610820886151111
"88","PAKDD",6,"SRE_bag",0.610820886151111
"89","PAKDD",6,"SRE_boosting",0.611568263442007
"90","PAKDD",6,"SRE_PLTR",0.610820886151111
