"","dataset","nr_fold","algorithm","metric"
"1","PAKDD",1,"RE_RF",0.612822064015444
"2","PAKDD",1,"SRE_RF",0.618806860023693
"3","PAKDD",2,"RE_RF",0.597155030831809
"4","PAKDD",2,"SRE_RF",0.610209805637234
"5","PAKDD",3,"RE_RF",0.614149154400038
"6","PAKDD",3,"SRE_RF",0.614726776449469
"7","PAKDD",4,"RE_RF",0.604525545156078
"8","PAKDD",4,"SRE_RF",0.61477931605432
"9","PAKDD",5,"RE_RF",0.608936254174177
"10","PAKDD",5,"SRE_RF",0.616233042182074
"11","PAKDD",6,"RE_RF",0.607876877743129
"12","PAKDD",6,"SRE_RF",0.611474714751374
