"","dataset","nr_fold","algorithm","metric"
"1","PAKDD",1,"GAM",0.620187248540888
"2","PAKDD",1,"RE_boosting",0.612290806772307
"3","PAKDD",1,"RE_RF",0.612865069430267
"4","PAKDD",1,"RE_bag",0.612043092932871
"5","PAKDD",1,"SRE_RF",0.61875592928979
"6","PAKDD",1,"SRE_bag",0.61875592928979
"7","PAKDD",1,"SRE_boosting",0.619089612551771
"8","PAKDD",1,"SRE_PLTR",0.61875592928979
"9","PAKDD",2,"GAM",0.613164582853712
"10","PAKDD",2,"RE_boosting",0.596741313867008
"11","PAKDD",2,"RE_RF",0.600114881319673
"12","PAKDD",2,"RE_bag",0.600095195363323
"13","PAKDD",2,"SRE_RF",0.610569933054192
"14","PAKDD",2,"SRE_bag",0.610569933054192
"15","PAKDD",2,"SRE_boosting",0.610467802279378
"16","PAKDD",2,"SRE_PLTR",0.610569933054192
"17","PAKDD",3,"GAM",0.618937436039698
"18","PAKDD",3,"RE_boosting",0.614379562048028
"19","PAKDD",3,"RE_RF",0.614149154400038
"20","PAKDD",3,"RE_bag",0.60945561127574
"21","PAKDD",3,"SRE_RF",0.614726776449469
"22","PAKDD",3,"SRE_bag",0.614726776449469
"23","PAKDD",3,"SRE_boosting",0.613514725690434
"24","PAKDD",3,"SRE_PLTR",0.614726776449469
"25","PAKDD",4,"GAM",0.616126789368502
"26","PAKDD",4,"RE_boosting",0.608227679572565
"27","PAKDD",4,"RE_RF",0.602423245337255
"28","PAKDD",4,"RE_bag",0.604879852832029
"29","PAKDD",4,"SRE_RF",0.614850054537142
"30","PAKDD",4,"SRE_bag",0.614850054537142
"31","PAKDD",4,"SRE_boosting",0.614513473053643
"32","PAKDD",4,"SRE_PLTR",0.614850054537142
"33","PAKDD",5,"GAM",0.617387669828873
"34","PAKDD",5,"RE_boosting",0.611705599028889
"35","PAKDD",5,"RE_RF",0.612354979023236
"36","PAKDD",5,"RE_bag",0.607750082272398
"37","PAKDD",5,"SRE_RF",0.616334656188706
"38","PAKDD",5,"SRE_bag",0.616334656188706
"39","PAKDD",5,"SRE_boosting",0.615846741274253
"40","PAKDD",5,"SRE_PLTR",0.616334656188706
"41","PAKDD",6,"GAM",0.617068080157098
"42","PAKDD",6,"RE_boosting",0.611837733453039
"43","PAKDD",6,"RE_RF",0.611741687364989
"44","PAKDD",6,"RE_bag",0.611301838430484
"45","PAKDD",6,"SRE_RF",0.611474714751374
"46","PAKDD",6,"SRE_bag",0.611474714751374
"47","PAKDD",6,"SRE_boosting",0.610865855898626
"48","PAKDD",6,"SRE_PLTR",0.611474714751374
