"","dataset","nr_fold","algorithm","metric"
"1","PAKDD",3,"LRR",0.615491274393449
"2","PAKDD",3,"GAM",0.615390281553855
"3","PAKDD",3,"LDA",0.614653745823716
"4","PAKDD",3,"CTREE",0.603483887232993
"5","PAKDD",3,"RF",0.598136825213399
"6","PAKDD",3,"XGB",0.60934425116889
"7","PAKDD",3,"LGBM",0.617975578959688
"8","PAKDD",3,"RE_boosting",0.614379562048028
"9","PAKDD",3,"RE_RF",0.614149154400038
"10","PAKDD",3,"RE_bag",0.60945561127574
"11","PAKDD",3,"SRE_RF",0.614726776449469
"12","PAKDD",3,"SRE_bag",0.614726776449469
"13","PAKDD",3,"SRE_boosting",0.613514725690434
"14","PAKDD",3,"SRE_PLTR",0.614726776449469
"15","PAKDD",3,"PLTR",0.613679988959917
"16","PAKDD",4,"LRR",0.614862817063133
"17","PAKDD",4,"GAM",0.612824230102075
"18","PAKDD",4,"LDA",0.61315354484439
"19","PAKDD",4,"CTREE",0.600906229971772
"20","PAKDD",4,"RF",0.604850893953835
"21","PAKDD",4,"XGB",0.607157685190737
"22","PAKDD",4,"LGBM",0.616579035920616
"23","PAKDD",4,"RE_boosting",0.608227679572565
"24","PAKDD",4,"RE_RF",0.602423245337255
"25","PAKDD",4,"RE_bag",0.604879852832029
"26","PAKDD",4,"SRE_RF",0.61477931605432
"27","PAKDD",4,"SRE_bag",0.61477931605432
"28","PAKDD",4,"SRE_boosting",0.614405319999512
"29","PAKDD",4,"SRE_PLTR",0.61477931605432
"30","PAKDD",4,"PLTR",0.61435586625059
"31","PAKDD",5,"LRR",0.616011539253721
"32","PAKDD",5,"GAM",0.613304448646434
"33","PAKDD",5,"LDA",0.613060760975599
"34","PAKDD",5,"CTREE",0.602528196496403
"35","PAKDD",5,"RF",0.594866989332297
"36","PAKDD",5,"XGB",0.603723146832298
"37","PAKDD",5,"LGBM",0.617406060959638
"38","PAKDD",5,"RE_boosting",0.611705599028889
"39","PAKDD",5,"RE_RF",0.612354979023236
"40","PAKDD",5,"RE_bag",0.607750082272398
"41","PAKDD",5,"SRE_RF",0.616233042182074
"42","PAKDD",5,"SRE_bag",0.616233042182074
"43","PAKDD",5,"SRE_boosting",0.615711798271899
"44","PAKDD",5,"SRE_PLTR",0.616233042182074
"45","PAKDD",5,"PLTR",0.61555972175842
"46","PAKDD",6,"LRR",0.612831751555653
"47","PAKDD",6,"GAM",0.612751125444679
"48","PAKDD",6,"LDA",0.612582372733478
"49","PAKDD",6,"CTREE",0.603080389538573
"50","PAKDD",6,"RF",0.598206374153062
"51","PAKDD",6,"XGB",0.610426753694246
"52","PAKDD",6,"LGBM",0.617943048735317
"53","PAKDD",6,"RE_boosting",0.611837733453039
"54","PAKDD",6,"RE_RF",0.611741687364989
"55","PAKDD",6,"RE_bag",0.611301838430484
"56","PAKDD",6,"SRE_RF",0.611474714751374
"57","PAKDD",6,"SRE_bag",0.611474714751374
"58","PAKDD",6,"SRE_boosting",0.610865855898626
"59","PAKDD",6,"SRE_PLTR",0.611474714751374
"60","PAKDD",6,"PLTR",0.610820886151111
