"","dataset","nr_fold","algorithm","metric"
"1","PAKDD",1,"RE_RF",0.18808232705789
"2","PAKDD",1,"SRE_RF",0.187306164925517
"3","PAKDD",2,"RE_RF",0.188293692630387
"4","PAKDD",2,"SRE_RF",0.187466652862096
"5","PAKDD",3,"RE_RF",0.187730991824569
"6","PAKDD",3,"SRE_RF",0.187717877860552
"7","PAKDD",4,"RE_RF",0.187844714631041
"8","PAKDD",4,"SRE_RF",0.18708630415287
"9","PAKDD",5,"RE_RF",0.187689915162479
"10","PAKDD",5,"SRE_RF",0.187349740696284
"11","PAKDD",6,"RE_RF",0.188022837566862
"12","PAKDD",6,"SRE_RF",0.187700909045096
