"","dataset","nr_fold","algorithm","metric"
"1","PAKDD",1,"GAM",0.187269477999728
"2","PAKDD",1,"RE_boosting",0.187665153277823
"3","PAKDD",1,"RE_RF",0.188077225615913
"4","PAKDD",1,"RE_bag",0.188180632698539
"5","PAKDD",1,"SRE_RF",0.187315385556116
"6","PAKDD",1,"SRE_bag",0.187315385556116
"7","PAKDD",1,"SRE_boosting",0.186795843935241
"8","PAKDD",1,"SRE_PLTR",0.187315385556116
"9","PAKDD",2,"GAM",0.187483577602513
"10","PAKDD",2,"RE_boosting",0.187714282586911
"11","PAKDD",2,"RE_RF",0.188103713556299
"12","PAKDD",2,"RE_bag",0.188103411935346
"13","PAKDD",2,"SRE_RF",0.18743624156059
"14","PAKDD",2,"SRE_bag",0.18743624156059
"15","PAKDD",2,"SRE_boosting",0.187151646171906
"16","PAKDD",2,"SRE_PLTR",0.18743624156059
"17","PAKDD",3,"GAM",0.187469896959683
"18","PAKDD",3,"RE_boosting",0.187507414779477
"19","PAKDD",3,"RE_RF",0.187730991824569
"20","PAKDD",3,"RE_bag",0.188231399548395
"21","PAKDD",3,"SRE_RF",0.187717877860552
"22","PAKDD",3,"SRE_bag",0.187717877860552
"23","PAKDD",3,"SRE_boosting",0.187577984183751
"24","PAKDD",3,"SRE_PLTR",0.187717877860552
"25","PAKDD",4,"GAM",0.187218054098062
"26","PAKDD",4,"RE_boosting",0.187701473796843
"27","PAKDD",4,"RE_RF",0.187991305839106
"28","PAKDD",4,"RE_bag",0.187815692221123
"29","PAKDD",4,"SRE_RF",0.187088197254463
"30","PAKDD",4,"SRE_bag",0.187088197254463
"31","PAKDD",4,"SRE_boosting",0.187096840572869
"32","PAKDD",4,"SRE_PLTR",0.187088197254463
"33","PAKDD",5,"GAM",0.18756823533789
"34","PAKDD",5,"RE_boosting",0.187051048292352
"35","PAKDD",5,"RE_RF",0.187395772259433
"36","PAKDD",5,"RE_bag",0.187818495129268
"37","PAKDD",5,"SRE_RF",0.187350265785804
"38","PAKDD",5,"SRE_bag",0.187350265785804
"39","PAKDD",5,"SRE_boosting",0.187266629940198
"40","PAKDD",5,"SRE_PLTR",0.187350265785804
"41","PAKDD",6,"GAM",0.187309767910915
"42","PAKDD",6,"RE_boosting",0.187298911108287
"43","PAKDD",6,"RE_RF",0.18766577186893
"44","PAKDD",6,"RE_bag",0.187708945631272
"45","PAKDD",6,"SRE_RF",0.187700909045096
"46","PAKDD",6,"SRE_bag",0.187700909045096
"47","PAKDD",6,"SRE_boosting",0.187337640990308
"48","PAKDD",6,"SRE_PLTR",0.187700909045096
