"","dataset","nr_fold","algorithm","metric"
"1","PAKDD",3,"LRR",0.187404050016755
"2","PAKDD",3,"GAM",0.18789036786472
"3","PAKDD",3,"LDA",0.18781803065452
"4","PAKDD",3,"CTREE",0.18845234396817
"5","PAKDD",3,"RF",0.188384563034926
"6","PAKDD",3,"XGB",0.190063601492911
"7","PAKDD",3,"LGBM",0.187183659872262
"8","PAKDD",3,"RE_boosting",0.187507414779477
"9","PAKDD",3,"RE_RF",0.187730991824569
"10","PAKDD",3,"RE_bag",0.188231399548395
"11","PAKDD",3,"SRE_RF",0.187717877860552
"12","PAKDD",3,"SRE_bag",0.187717877860552
"13","PAKDD",3,"SRE_boosting",0.187577984183751
"14","PAKDD",3,"SRE_PLTR",0.187717877860552
"15","PAKDD",3,"PLTR",0.187829031872572
"16","PAKDD",4,"LRR",0.186961180048471
"17","PAKDD",4,"GAM",0.187603300517289
"18","PAKDD",4,"LDA",0.187432641537178
"19","PAKDD",4,"CTREE",0.187793311660722
"20","PAKDD",4,"RF",0.187774208233601
"21","PAKDD",4,"XGB",0.189553765448404
"22","PAKDD",4,"LGBM",0.18663613455971
"23","PAKDD",4,"RE_boosting",0.187701473796843
"24","PAKDD",4,"RE_RF",0.187991305839106
"25","PAKDD",4,"RE_bag",0.187815692221123
"26","PAKDD",4,"SRE_RF",0.18708630415287
"27","PAKDD",4,"SRE_bag",0.18708630415287
"28","PAKDD",4,"SRE_boosting",0.187096253068345
"29","PAKDD",4,"SRE_PLTR",0.18708630415287
"30","PAKDD",4,"PLTR",0.187159559318797
"31","PAKDD",5,"LRR",0.187155896453059
"32","PAKDD",5,"GAM",0.188079687573133
"33","PAKDD",5,"LDA",0.187944834105886
"34","PAKDD",5,"CTREE",0.188078273127769
"35","PAKDD",5,"RF",0.188165762423726
"36","PAKDD",5,"XGB",0.189941781025969
"37","PAKDD",5,"LGBM",0.186860847080907
"38","PAKDD",5,"RE_boosting",0.187051048292352
"39","PAKDD",5,"RE_RF",0.187395772259433
"40","PAKDD",5,"RE_bag",0.187818495129268
"41","PAKDD",5,"SRE_RF",0.187349740696284
"42","PAKDD",5,"SRE_bag",0.187349740696284
"43","PAKDD",5,"SRE_boosting",0.187268071661781
"44","PAKDD",5,"SRE_PLTR",0.187349740696284
"45","PAKDD",5,"PLTR",0.187445949150296
"46","PAKDD",6,"LRR",0.187367333857188
"47","PAKDD",6,"GAM",0.187807405724764
"48","PAKDD",6,"LDA",0.187759963552413
"49","PAKDD",6,"CTREE",0.188281954175524
"50","PAKDD",6,"RF",0.188482825166531
"51","PAKDD",6,"XGB",0.189427062027486
"52","PAKDD",6,"LGBM",0.186875175905248
"53","PAKDD",6,"RE_boosting",0.187298911108287
"54","PAKDD",6,"RE_RF",0.18766577186893
"55","PAKDD",6,"RE_bag",0.187708945631272
"56","PAKDD",6,"SRE_RF",0.187700909045096
"57","PAKDD",6,"SRE_bag",0.187700909045096
"58","PAKDD",6,"SRE_boosting",0.187337640990308
"59","PAKDD",6,"SRE_PLTR",0.187700909045096
"60","PAKDD",6,"PLTR",0.187784544496069
