"","dataset","nr_fold","algorithm","metric"
"1","PAKDD",1,"RE_RF",0.0150000456713288
"2","PAKDD",1,"SRE_RF",0.0152790315293811
"3","PAKDD",2,"RE_RF",0.0134723366969042
"4","PAKDD",2,"SRE_RF",0.0142304191593081
"5","PAKDD",3,"RE_RF",0.0149010555396022
"6","PAKDD",3,"SRE_RF",0.0152066382347103
"7","PAKDD",4,"RE_RF",0.0140993601195994
"8","PAKDD",4,"SRE_RF",0.0148452127024896
"9","PAKDD",5,"RE_RF",0.0145661863082303
"10","PAKDD",5,"SRE_RF",0.014869833536256
"11","PAKDD",6,"RE_RF",0.0144493145212623
"12","PAKDD",6,"SRE_RF",0.0147054473336073
