"","dataset","nr_fold","algorithm","metric"
"1","PAKDD",1,"GAM",0.0153119685019908
"2","PAKDD",1,"RE_boosting",0.0148372725246085
"3","PAKDD",1,"RE_RF",0.01500093007496
"4","PAKDD",1,"RE_bag",0.0150010706619335
"5","PAKDD",1,"SRE_RF",0.0152705406049581
"6","PAKDD",1,"SRE_bag",0.0152705406049581
"7","PAKDD",1,"SRE_boosting",0.0153021078689776
"8","PAKDD",1,"SRE_PLTR",0.0152705406049581
"9","PAKDD",2,"GAM",0.014365900043558
"10","PAKDD",2,"RE_boosting",0.0140016684599207
"11","PAKDD",2,"RE_RF",0.013595604414777
"12","PAKDD",2,"RE_bag",0.0135989139483099
"13","PAKDD",2,"SRE_RF",0.0142599101036936
"14","PAKDD",2,"SRE_bag",0.0142599101036936
"15","PAKDD",2,"SRE_boosting",0.0143470097869501
"16","PAKDD",2,"SRE_PLTR",0.0142599101036936
"17","PAKDD",3,"GAM",0.0152288356394533
"18","PAKDD",3,"RE_boosting",0.014856005921795
"19","PAKDD",3,"RE_RF",0.0151128263314754
"20","PAKDD",3,"RE_bag",0.0148137042293746
"21","PAKDD",3,"SRE_RF",0.0152066382347103
"22","PAKDD",3,"SRE_bag",0.0152066382347103
"23","PAKDD",3,"SRE_boosting",0.0148911294816139
"24","PAKDD",3,"SRE_PLTR",0.0152066382347103
"25","PAKDD",4,"GAM",0.014771328155155
"26","PAKDD",4,"RE_boosting",0.0141183103339201
"27","PAKDD",4,"RE_RF",0.0140383462183636
"28","PAKDD",4,"RE_bag",0.0141866621823328
"29","PAKDD",4,"SRE_RF",0.0148391183056879
"30","PAKDD",4,"SRE_bag",0.0148391183056879
"31","PAKDD",4,"SRE_boosting",0.0148894266342448
"32","PAKDD",4,"SRE_PLTR",0.0148391183056879
"33","PAKDD",5,"GAM",0.0149162006157124
"34","PAKDD",5,"RE_boosting",0.0145898711809422
"35","PAKDD",5,"RE_RF",0.014854521118766
"36","PAKDD",5,"RE_bag",0.0144198283061137
"37","PAKDD",5,"SRE_RF",0.0148734983203123
"38","PAKDD",5,"SRE_bag",0.0148734983203123
"39","PAKDD",5,"SRE_boosting",0.0146780541901276
"40","PAKDD",5,"SRE_PLTR",0.0148734983203123
"41","PAKDD",6,"GAM",0.0149896083927667
"42","PAKDD",6,"RE_boosting",0.0143997550428805
"43","PAKDD",6,"RE_RF",0.0147595681538554
"44","PAKDD",6,"RE_bag",0.0147016013092691
"45","PAKDD",6,"SRE_RF",0.0147054473336073
"46","PAKDD",6,"SRE_bag",0.0147054473336073
"47","PAKDD",6,"SRE_boosting",0.0145351422363316
"48","PAKDD",6,"SRE_PLTR",0.0147054473336073
