"","dataset","nr_fold","algorithm","metric"
"1","PAKDD",3,"LRR",0.0151416237172299
"2","PAKDD",3,"GAM",0.0150120728288799
"3","PAKDD",3,"LDA",0.0150733985941459
"4","PAKDD",3,"CTREE",0.0141727988163373
"5","PAKDD",3,"RF",0.0136165668978294
"6","PAKDD",3,"XGB",0.0142577615335
"7","PAKDD",3,"LGBM",0.0150101938876548
"8","PAKDD",3,"RE_boosting",0.014856005921795
"9","PAKDD",3,"RE_RF",0.0151128263314754
"10","PAKDD",3,"RE_bag",0.0148137042293746
"11","PAKDD",3,"SRE_RF",0.0152066382347103
"12","PAKDD",3,"SRE_bag",0.0152066382347103
"13","PAKDD",3,"SRE_boosting",0.0148911294816139
"14","PAKDD",3,"SRE_PLTR",0.0152066382347103
"15","PAKDD",3,"PLTR",0.0151047557829692
"16","PAKDD",4,"LRR",0.0149367938866947
"17","PAKDD",4,"GAM",0.0145889808604117
"18","PAKDD",4,"LDA",0.0146477863975725
"19","PAKDD",4,"CTREE",0.0139893473298043
"20","PAKDD",4,"RF",0.0134528240719427
"21","PAKDD",4,"XGB",0.0140442182885821
"22","PAKDD",4,"LGBM",0.0147586449898846
"23","PAKDD",4,"RE_boosting",0.0141183103339201
"24","PAKDD",4,"RE_RF",0.0140383462183636
"25","PAKDD",4,"RE_bag",0.0141866621823328
"26","PAKDD",4,"SRE_RF",0.0148452127024896
"27","PAKDD",4,"SRE_bag",0.0148452127024896
"28","PAKDD",4,"SRE_boosting",0.0148995302963934
"29","PAKDD",4,"SRE_PLTR",0.0148452127024896
"30","PAKDD",4,"PLTR",0.0147577392639645
"31","PAKDD",5,"LRR",0.0147893365625841
"32","PAKDD",5,"GAM",0.0147052901190065
"33","PAKDD",5,"LDA",0.0146545816768475
"34","PAKDD",5,"CTREE",0.0138895450858877
"35","PAKDD",5,"RF",0.0132229868613743
"36","PAKDD",5,"XGB",0.0138172190578053
"37","PAKDD",5,"LGBM",0.0150072412270734
"38","PAKDD",5,"RE_boosting",0.0145898711809422
"39","PAKDD",5,"RE_RF",0.014854521118766
"40","PAKDD",5,"RE_bag",0.0144198283061137
"41","PAKDD",5,"SRE_RF",0.014869833536256
"42","PAKDD",5,"SRE_bag",0.014869833536256
"43","PAKDD",5,"SRE_boosting",0.0146780541901276
"44","PAKDD",5,"SRE_PLTR",0.014869833536256
"45","PAKDD",5,"PLTR",0.014843133483507
"46","PAKDD",6,"LRR",0.0146652817281252
"47","PAKDD",6,"GAM",0.0147269259872886
"48","PAKDD",6,"LDA",0.0147318220913358
"49","PAKDD",6,"CTREE",0.0140034140140998
"50","PAKDD",6,"RF",0.0133867576429283
"51","PAKDD",6,"XGB",0.0145247594027804
"52","PAKDD",6,"LGBM",0.0149826227134108
"53","PAKDD",6,"RE_boosting",0.0143997550428805
"54","PAKDD",6,"RE_RF",0.0147595681538554
"55","PAKDD",6,"RE_bag",0.0147016013092691
"56","PAKDD",6,"SRE_RF",0.0147054473336073
"57","PAKDD",6,"SRE_bag",0.0147054473336073
"58","PAKDD",6,"SRE_boosting",0.0145351422363316
"59","PAKDD",6,"SRE_PLTR",0.0147054473336073
"60","PAKDD",6,"PLTR",0.014608118078711
