"","dataset","nr_fold","algorithm","metric"
"1","PAKDD",1,"RE_RF",0.228283700743694
"2","PAKDD",1,"SRE_RF",0.23747748759803
"3","PAKDD",2,"RE_RF",0.19468435322239
"4","PAKDD",2,"SRE_RF",0.210215672164711
"5","PAKDD",3,"RE_RF",0.228669170247481
"6","PAKDD",3,"SRE_RF",0.225485114197103
"7","PAKDD",4,"RE_RF",0.206026570742476
"8","PAKDD",4,"SRE_RF",0.222733819364273
"9","PAKDD",5,"RE_RF",0.213845998175089
"10","PAKDD",5,"SRE_RF",0.223402269009404
"11","PAKDD",6,"RE_RF",0.218139484917572
"12","PAKDD",6,"SRE_RF",0.223648756712623
