"","dataset","nr_fold","algorithm","metric"
"1","PAKDD",1,"GAM",0.231097821062437
"2","PAKDD",1,"RE_boosting",0.220929115183961
"3","PAKDD",1,"RE_RF",0.228252443866213
"4","PAKDD",1,"RE_bag",0.227422467145199
"5","PAKDD",1,"SRE_RF",0.232746162311628
"6","PAKDD",1,"SRE_bag",0.232746162311628
"7","PAKDD",1,"SRE_boosting",0.233395343274265
"8","PAKDD",1,"SRE_PLTR",0.232746162311628
"9","PAKDD",2,"GAM",0.213874468887036
"10","PAKDD",2,"RE_boosting",0.200821844047682
"11","PAKDD",2,"RE_RF",0.199897796846534
"12","PAKDD",2,"RE_bag",0.200048601590441
"13","PAKDD",2,"SRE_RF",0.205220815608129
"14","PAKDD",2,"SRE_bag",0.205220815608129
"15","PAKDD",2,"SRE_boosting",0.213481755623894
"16","PAKDD",2,"SRE_PLTR",0.205220815608129
"17","PAKDD",3,"GAM",0.225928925756536
"18","PAKDD",3,"RE_boosting",0.218512707211513
"19","PAKDD",3,"RE_RF",0.228669170247481
"20","PAKDD",3,"RE_bag",0.219401381852301
"21","PAKDD",3,"SRE_RF",0.225485114197103
"22","PAKDD",3,"SRE_bag",0.225485114197103
"23","PAKDD",3,"SRE_boosting",0.219739921198606
"24","PAKDD",3,"SRE_PLTR",0.225485114197103
"25","PAKDD",4,"GAM",0.215179253878575
"26","PAKDD",4,"RE_boosting",0.22491145020365
"27","PAKDD",4,"RE_RF",0.210809632667446
"28","PAKDD",4,"RE_bag",0.211693270834375
"29","PAKDD",4,"SRE_RF",0.223105586940406
"30","PAKDD",4,"SRE_bag",0.223105586940406
"31","PAKDD",4,"SRE_boosting",0.224678111726503
"32","PAKDD",4,"SRE_PLTR",0.223105586940406
"33","PAKDD",5,"GAM",0.225266678387344
"34","PAKDD",5,"RE_boosting",0.206494716522024
"35","PAKDD",5,"RE_RF",0.220438621501239
"36","PAKDD",5,"RE_bag",0.21514945644069
"37","PAKDD",5,"SRE_RF",0.223402269009404
"38","PAKDD",5,"SRE_bag",0.223402269009404
"39","PAKDD",5,"SRE_boosting",0.223323667563908
"40","PAKDD",5,"SRE_PLTR",0.223402269009404
"41","PAKDD",6,"GAM",0.221953469021016
"42","PAKDD",6,"RE_boosting",0.219941167509738
"43","PAKDD",6,"RE_RF",0.223352950046982
"44","PAKDD",6,"RE_bag",0.223452630218884
"45","PAKDD",6,"SRE_RF",0.223648756712623
"46","PAKDD",6,"SRE_bag",0.223648756712623
"47","PAKDD",6,"SRE_boosting",0.223030751610384
"48","PAKDD",6,"SRE_PLTR",0.223648756712623
