"","dataset","nr_fold","algorithm","metric"
"1","PAKDD",3,"LRR",0.225811103265592
"2","PAKDD",3,"GAM",0.220570415116442
"3","PAKDD",3,"LDA",0.217007510786555
"4","PAKDD",3,"CTREE",0.207039165161907
"5","PAKDD",3,"RF",0.192150174951572
"6","PAKDD",3,"XGB",0.204207206383505
"7","PAKDD",3,"LGBM",0.213349726500196
"8","PAKDD",3,"RE_boosting",0.218512707211513
"9","PAKDD",3,"RE_RF",0.228669170247481
"10","PAKDD",3,"RE_bag",0.219401381852301
"11","PAKDD",3,"SRE_RF",0.225485114197103
"12","PAKDD",3,"SRE_bag",0.225485114197103
"13","PAKDD",3,"SRE_boosting",0.219739921198606
"14","PAKDD",3,"SRE_PLTR",0.225485114197103
"15","PAKDD",3,"PLTR",0.223736549002213
"16","PAKDD",4,"LRR",0.223970907415651
"17","PAKDD",4,"GAM",0.216471615724951
"18","PAKDD",4,"LDA",0.218012882983112
"19","PAKDD",4,"CTREE",0.203210651650534
"20","PAKDD",4,"RF",0.203228848444672
"21","PAKDD",4,"XGB",0.190855088581922
"22","PAKDD",4,"LGBM",0.213419638093831
"23","PAKDD",4,"RE_boosting",0.22491145020365
"24","PAKDD",4,"RE_RF",0.210809632667446
"25","PAKDD",4,"RE_bag",0.211693270834375
"26","PAKDD",4,"SRE_RF",0.222733819364273
"27","PAKDD",4,"SRE_bag",0.222733819364273
"28","PAKDD",4,"SRE_boosting",0.224434646570611
"29","PAKDD",4,"SRE_PLTR",0.222733819364273
"30","PAKDD",4,"PLTR",0.22066687238121
"31","PAKDD",5,"LRR",0.228499365776846
"32","PAKDD",5,"GAM",0.217245567192952
"33","PAKDD",5,"LDA",0.216092797465247
"34","PAKDD",5,"CTREE",0.202984946820397
"35","PAKDD",5,"RF",0.187053244702494
"36","PAKDD",5,"XGB",0.178838428117674
"37","PAKDD",5,"LGBM",0.218721396085472
"38","PAKDD",5,"RE_boosting",0.206494716522024
"39","PAKDD",5,"RE_RF",0.220438621501239
"40","PAKDD",5,"RE_bag",0.21514945644069
"41","PAKDD",5,"SRE_RF",0.223402269009404
"42","PAKDD",5,"SRE_bag",0.223402269009404
"43","PAKDD",5,"SRE_boosting",0.223323667563908
"44","PAKDD",5,"SRE_PLTR",0.223402269009404
"45","PAKDD",5,"PLTR",0.222275910748988
"46","PAKDD",6,"LRR",0.22222840698335
"47","PAKDD",6,"GAM",0.215476346003372
"48","PAKDD",6,"LDA",0.217263160470083
"49","PAKDD",6,"CTREE",0.201086755118134
"50","PAKDD",6,"RF",0.192681297860574
"51","PAKDD",6,"XGB",0.194304015621727
"52","PAKDD",6,"LGBM",0.215533008888715
"53","PAKDD",6,"RE_boosting",0.219941167509738
"54","PAKDD",6,"RE_RF",0.223352950046982
"55","PAKDD",6,"RE_bag",0.223452630218884
"56","PAKDD",6,"SRE_RF",0.223648756712623
"57","PAKDD",6,"SRE_bag",0.223648756712623
"58","PAKDD",6,"SRE_boosting",0.223030751610384
"59","PAKDD",6,"SRE_PLTR",0.223648756712623
"60","PAKDD",6,"PLTR",0.222054527646172
