"","dataset","nr_fold","algorithm","metric"
"1","PAKDD",1,"LRR",0.240136690982986
"2","PAKDD",1,"GAM",0.220669518465906
"3","PAKDD",1,"LDA",0.222572598472022
"4","PAKDD",1,"CTREE",0.218838040034751
"5","PAKDD",1,"RF",0.18322470506447
"6","PAKDD",1,"XGB",0.193772704530106
"7","PAKDD",1,"LGBM",0.213004170033438
"8","PAKDD",1,"RE_boosting",0.220929115183961
"9","PAKDD",1,"RE_RF",0.228252443866213
"10","PAKDD",1,"RE_bag",0.227422467145199
"11","PAKDD",1,"SRE_RF",0.229398705471098
"12","PAKDD",1,"SRE_bag",0.235915236215951
"13","PAKDD",1,"SRE_boosting",0.232139225419664
"14","PAKDD",1,"SRE_PLTR",0.238042721049441
"15","PAKDD",1,"PLTR",0.235006516993482
"16","PAKDD",2,"LRR",0.211106075226853
"17","PAKDD",2,"GAM",0.206878344193783
"18","PAKDD",2,"LDA",0.208525057837043
"19","PAKDD",2,"CTREE",0.19419922096749
"20","PAKDD",2,"RF",0.193331872491777
"21","PAKDD",2,"XGB",0.197178854033898
"22","PAKDD",2,"LGBM",0.20799134705343
"23","PAKDD",2,"RE_boosting",0.200821844047682
"24","PAKDD",2,"RE_RF",0.199897796846534
"25","PAKDD",2,"RE_bag",0.200048601590441
"26","PAKDD",2,"SRE_RF",0.214361768539838
"27","PAKDD",2,"SRE_bag",0.214539490552374
"28","PAKDD",2,"SRE_boosting",0.214437612067087
"29","PAKDD",2,"SRE_PLTR",0.214068935050353
"30","PAKDD",2,"PLTR",0.2100079402966
"31","PAKDD",3,"LRR",0.225811103265592
"32","PAKDD",3,"GAM",0.220570415116442
"33","PAKDD",3,"LDA",0.217007510786555
"34","PAKDD",3,"CTREE",0.207039165161907
"35","PAKDD",3,"RF",0.192150174951572
"36","PAKDD",3,"XGB",0.204207206383505
"37","PAKDD",3,"LGBM",0.213349726500196
"38","PAKDD",3,"RE_boosting",0.218512707211513
"39","PAKDD",3,"RE_RF",0.228669170247481
"40","PAKDD",3,"RE_bag",0.219401381852301
"41","PAKDD",3,"SRE_RF",0.219994470460356
"42","PAKDD",3,"SRE_bag",0.219755322638424
"43","PAKDD",3,"SRE_boosting",0.213030142905669
"44","PAKDD",3,"SRE_PLTR",0.220689511043523
"45","PAKDD",3,"PLTR",0.223736549002213
"46","PAKDD",4,"LRR",0.223970907415651
"47","PAKDD",4,"GAM",0.216471615724951
"48","PAKDD",4,"LDA",0.218012882983112
"49","PAKDD",4,"CTREE",0.203210651650534
"50","PAKDD",4,"RF",0.203228848444672
"51","PAKDD",4,"XGB",0.190855088581922
"52","PAKDD",4,"LGBM",0.213419638093831
"53","PAKDD",4,"RE_boosting",0.22491145020365
"54","PAKDD",4,"RE_RF",0.210809632667446
"55","PAKDD",4,"RE_bag",0.211693270834375
"56","PAKDD",4,"SRE_RF",0.223196949989364
"57","PAKDD",4,"SRE_bag",0.220336862868341
"58","PAKDD",4,"SRE_boosting",0.227461852458513
"59","PAKDD",4,"SRE_PLTR",0.223016996311675
"60","PAKDD",4,"PLTR",0.22066687238121
"61","PAKDD",5,"LRR",0.228499365776846
"62","PAKDD",5,"GAM",0.217245567192952
"63","PAKDD",5,"LDA",0.216092797465247
"64","PAKDD",5,"CTREE",0.202984946820397
"65","PAKDD",5,"RF",0.187053244702494
"66","PAKDD",5,"XGB",0.178838428117674
"67","PAKDD",5,"LGBM",0.218721396085472
"68","PAKDD",5,"RE_boosting",0.206494716522024
"69","PAKDD",5,"RE_RF",0.220438621501239
"70","PAKDD",5,"RE_bag",0.21514945644069
"71","PAKDD",5,"SRE_RF",0.225479471745182
"72","PAKDD",5,"SRE_bag",0.23036062565507
"73","PAKDD",5,"SRE_boosting",0.228171916919259
"74","PAKDD",5,"SRE_PLTR",0.230150401071014
"75","PAKDD",5,"PLTR",0.222275910748988
"76","PAKDD",6,"LRR",0.22222840698335
"77","PAKDD",6,"GAM",0.215476346003372
"78","PAKDD",6,"LDA",0.217263160470083
"79","PAKDD",6,"CTREE",0.201086755118134
"80","PAKDD",6,"RF",0.192681297860574
"81","PAKDD",6,"XGB",0.194304015621727
"82","PAKDD",6,"LGBM",0.215533008888715
"83","PAKDD",6,"RE_boosting",0.219941167509738
"84","PAKDD",6,"RE_RF",0.223352950046982
"85","PAKDD",6,"RE_bag",0.223452630218884
"86","PAKDD",6,"SRE_RF",0.221375841424251
"87","PAKDD",6,"SRE_bag",0.220957073683274
"88","PAKDD",6,"SRE_boosting",0.217447111406754
"89","PAKDD",6,"SRE_PLTR",0.22153236170337
"90","PAKDD",6,"PLTR",0.222054527646172
