"","dataset","nr_fold","algorithm","metric"
"1","TC",1,"LRR",0.711116190186249
"2","TC",1,"GAM",0.755755223831326
"3","TC",1,"LDA",0.697288293501056
"4","TC",1,"CTREE",0.727743067368099
"5","TC",1,"RF",0.757509873630369
"6","TC",1,"XGB",0.760469899526011
"7","TC",1,"LGBM",0.763340863304207
"8","TC",1,"RE",0.766617592714008
"9","TC",1,"SRE",0.769607420605191
"10","TC",2,"LRR",0.727875801210883
"11","TC",2,"GAM",0.770652690810315
"12","TC",2,"LDA",0.720324897489416
"13","TC",2,"CTREE",0.759715144551026
"14","TC",2,"RF",0.770246765550523
"15","TC",2,"XGB",0.76800053013145
"16","TC",2,"LGBM",0.768248479919768
"17","TC",2,"RE",0.772685439611274
"18","TC",2,"SRE",0.766489470460669
"19","TC",3,"LRR",0.712644842485519
"20","TC",3,"GAM",0.752042514407163
"21","TC",3,"LDA",0.703305422936423
"22","TC",3,"CTREE",0.741621311978585
"23","TC",3,"RF",0.758282081422012
"24","TC",3,"XGB",0.753036483763643
"25","TC",3,"LGBM",0.755830454480119
"26","TC",3,"RE",0.752757801862209
"27","TC",3,"SRE",0.75555951048592
"28","TC",4,"LRR",0.723003011048355
"29","TC",4,"GAM",0.774445279903951
"30","TC",4,"LDA",0.716591267891888
"31","TC",4,"CTREE",0.746215937897326
"32","TC",4,"RF",0.775986555613658
"33","TC",4,"XGB",0.779992424295565
"34","TC",4,"LGBM",0.776838030398306
"35","TC",4,"RE",0.774772926858022
"36","TC",4,"SRE",0.780844238493494
"37","TC",5,"LRR",0.718864228135899
"38","TC",5,"GAM",0.761451007989132
"39","TC",5,"LDA",0.708210885475575
"40","TC",5,"CTREE",0.738141266593876
"41","TC",5,"RF",0.768036426580618
"42","TC",5,"XGB",0.766471768630288
"43","TC",5,"LGBM",0.761344878089401
"44","TC",5,"RE",0.766367038245717
"45","TC",5,"SRE",0.769122566972049
"46","TC",6,"LRR",0.719753533625351
"47","TC",6,"GAM",0.751763145968589
"48","TC",6,"LDA",0.707751520745375
"49","TC",6,"CTREE",0.709194440976706
"50","TC",6,"RF",0.76535645280158
"51","TC",6,"XGB",0.764585023145164
"52","TC",6,"LGBM",0.765298808757984
"53","TC",6,"RE",0.757029674062159
"54","TC",6,"SRE",0.761341380305384
"55","TC",7,"LRR",0.712706433165689
"56","TC",7,"GAM",0.760455291794602
"57","TC",7,"LDA",0.701167289288714
"58","TC",7,"CTREE",0.723361886475503
"59","TC",7,"RF",0.764014309065087
"60","TC",7,"XGB",0.769109129952294
"61","TC",7,"LGBM",0.764761478621872
"62","TC",7,"RE",0.759047808687633
"63","TC",7,"SRE",0.769416590975661
"64","TC",8,"LRR",0.727039790443242
"65","TC",8,"GAM",0.77019051908083
"66","TC",8,"LDA",0.718196475068769
"67","TC",8,"CTREE",0.736705990693711
"68","TC",8,"RF",0.778136694835267
"69","TC",8,"XGB",0.772532470096111
"70","TC",8,"LGBM",0.771660694152169
"71","TC",8,"RE",0.776228106901123
"72","TC",8,"SRE",0.778093197852282
"73","TC",9,"LRR",0.720797447921456
"74","TC",9,"GAM",0.767417253418112
"75","TC",9,"LDA",0.713610961733682
"76","TC",9,"CTREE",0.745243992937621
"77","TC",9,"RF",0.768946475822683
"78","TC",9,"XGB",0.769328897520273
"79","TC",9,"LGBM",0.768310615580515
"80","TC",9,"RE",0.773079857637892
"81","TC",9,"SRE",0.771923072636439
"82","TC",10,"LRR",0.71893373553411
"83","TC",10,"GAM",0.768823471375168
"84","TC",10,"LDA",0.705350780710441
"85","TC",10,"CTREE",0.734728825079204
"86","TC",10,"RF",0.767231629643976
"87","TC",10,"XGB",0.768898267381907
"88","TC",10,"LGBM",0.765161550239165
"89","TC",10,"RE",0.76926562425775
"90","TC",10,"SRE",0.768257762340999
