"","dataset","nr_fold","algorithm","metric"
"1","TC",1,"LRR",0.147828780234932
"2","TC",1,"GAM",0.14065275509062
"3","TC",1,"LDA",0.1488597051943
"4","TC",1,"CTREE",0.145150703591933
"5","TC",1,"RF",0.140361855503094
"6","TC",1,"XGB",0.140167204244462
"7","TC",1,"LGBM",0.140857241124762
"8","TC",1,"RE",0.150180483918415
"9","TC",1,"SRE",0.140898426772315
"10","TC",2,"LRR",0.14406615591306
"11","TC",2,"GAM",0.136659182266888
"12","TC",2,"LDA",0.144202900078498
"13","TC",2,"CTREE",0.137955613656538
"14","TC",2,"RF",0.138038179392529
"15","TC",2,"XGB",0.134963304447996
"16","TC",2,"LGBM",0.135660688524671
"17","TC",2,"RE",0.148315606758784
"18","TC",2,"SRE",0.135615883139294
"19","TC",3,"LRR",0.145741238133024
"20","TC",3,"GAM",0.140119101737297
"21","TC",3,"LDA",0.145336334637841
"22","TC",3,"CTREE",0.141758118910942
"23","TC",3,"RF",0.140318671841113
"24","TC",3,"XGB",0.139014454089766
"25","TC",3,"LGBM",0.138996895366752
"26","TC",3,"RE",0.146994979692373
"27","TC",3,"SRE",0.139855563080574
"28","TC",4,"LRR",0.147612733071379
"29","TC",4,"GAM",0.138224752221946
"30","TC",4,"LDA",0.147459202005573
"31","TC",4,"CTREE",0.140585871953628
"32","TC",4,"RF",0.140217051196388
"33","TC",4,"XGB",0.136495921175086
"34","TC",4,"LGBM",0.136742985760826
"35","TC",4,"RE",0.15458929985304
"36","TC",4,"SRE",0.139068442999601
"37","TC",5,"LRR",0.144409288503947
"38","TC",5,"GAM",0.136306291795404
"39","TC",5,"LDA",0.144384623401474
"40","TC",5,"CTREE",0.139625320745691
"41","TC",5,"RF",0.137375645393718
"42","TC",5,"XGB",0.135088888230195
"43","TC",5,"LGBM",0.135766978352933
"44","TC",5,"RE",0.148433090646635
"45","TC",5,"SRE",0.137097821146029
"46","TC",6,"LRR",0.148315976170024
"47","TC",6,"GAM",0.145616813770167
"48","TC",6,"LDA",0.149190430726735
"49","TC",6,"CTREE",0.147179583026607
"50","TC",6,"RF",0.142598170877646
"51","TC",6,"XGB",0.141119321041225
"52","TC",6,"LGBM",0.139759251670017
"53","TC",6,"RE",0.151391237118274
"54","TC",6,"SRE",0.147445161820986
"55","TC",7,"LRR",0.14673254132506
"56","TC",7,"GAM",0.13927523129648
"57","TC",7,"LDA",0.146379734745171
"58","TC",7,"CTREE",0.144108788322655
"59","TC",7,"RF",0.140344522995428
"60","TC",7,"XGB",0.137908834137879
"61","TC",7,"LGBM",0.137923900313226
"62","TC",7,"RE",0.15060261925146
"63","TC",7,"SRE",0.140442214905016
"64","TC",8,"LRR",0.145890134237494
"65","TC",8,"GAM",0.139379438796055
"66","TC",8,"LDA",0.146077364226404
"67","TC",8,"CTREE",0.140751788971273
"68","TC",8,"RF",0.139749368032026
"69","TC",8,"XGB",0.136704338859875
"70","TC",8,"LGBM",0.13749228271194
"71","TC",8,"RE",0.149455475392392
"72","TC",8,"SRE",0.138117762091138
"73","TC",9,"LRR",0.145492277456393
"74","TC",9,"GAM",0.13857044927871
"75","TC",9,"LDA",0.145056410522865
"76","TC",9,"CTREE",0.142720942706243
"77","TC",9,"RF",0.139151259407699
"78","TC",9,"XGB",0.136860300272489
"79","TC",9,"LGBM",0.136562167746283
"80","TC",9,"RE",0.146629202524739
"81","TC",9,"SRE",0.13886988633258
"82","TC",10,"LRR",0.146762094387806
"83","TC",10,"GAM",0.138290862811631
"84","TC",10,"LDA",0.147509091421629
"85","TC",10,"CTREE",0.14382577046816
"86","TC",10,"RF",0.140720558119907
"87","TC",10,"XGB",0.138598078650799
"88","TC",10,"LGBM",0.138211853740412
"89","TC",10,"RE",0.152108777425737
"90","TC",10,"SRE",0.139631250129945
