"","dataset","nr_fold","algorithm","metric"
"1","TC",1,"LRR",0.384813453262677
"2","TC",1,"GAM",0.315171940286173
"3","TC",1,"LDA",0.116638672937262
"4","TC",1,"CTREE",0.255194799900768
"5","TC",1,"RF",0.381665357685945
"6","TC",1,"XGB",0.322773470910812
"7","TC",1,"LGBM",0.335312248019352
"8","TC",1,"RE",0.34205265627241
"9","TC",1,"SRE",0.437945826390997
"10","TC",2,"LRR",0.421724038853668
"11","TC",2,"GAM",0.335203859368988
"12","TC",2,"LDA",0.191820216316678
"13","TC",2,"CTREE",0.292222334065476
"14","TC",2,"RF",0.352758332115673
"15","TC",2,"XGB",0.319349357359493
"16","TC",2,"LGBM",0.339369552561885
"17","TC",2,"RE",0.323893295281543
"18","TC",2,"SRE",0
"19","TC",3,"LRR",0.393473948769357
"20","TC",3,"GAM",0.312903287384749
"21","TC",3,"LDA",0.146694539316139
"22","TC",3,"CTREE",0.275593515831863
"23","TC",3,"RF",0.326682440510773
"24","TC",3,"XGB",0.314068203692711
"25","TC",3,"LGBM",0.296563728261455
"26","TC",3,"RE",0.306605816871336
"27","TC",3,"SRE",0.420635451010958
"28","TC",4,"LRR",0.409963499495745
"29","TC",4,"GAM",0.352489490447913
"30","TC",4,"LDA",0.169493222382597
"31","TC",4,"CTREE",0.278860033346516
"32","TC",4,"RF",0.386678411836127
"33","TC",4,"XGB",0.356853028264015
"34","TC",4,"LGBM",0.367037632048231
"35","TC",4,"RE",0.353563406551085
"36","TC",4,"SRE",0.465594920205069
"37","TC",5,"LRR",0.416343864607171
"38","TC",5,"GAM",0.312706603856832
"39","TC",5,"LDA",0.156498948772185
"40","TC",5,"CTREE",0.235133172799909
"41","TC",5,"RF",0.361319574734209
"42","TC",5,"XGB",0.323894552234417
"43","TC",5,"LGBM",0.312784669879447
"44","TC",5,"RE",0.325724765616139
"45","TC",5,"SRE",0.455038126291782
"46","TC",6,"LRR",0.400414628207064
"47","TC",6,"GAM",0.348210218645612
"48","TC",6,"LDA",0.154473995720815
"49","TC",6,"CTREE",0.172091946667393
"50","TC",6,"RF",0.376723185368642
"51","TC",6,"XGB",0.312348105616824
"52","TC",6,"LGBM",0.334700035044317
"53","TC",6,"RE",0.316269656173365
"54","TC",6,"SRE",0.361000655118302
"55","TC",7,"LRR",0.408753145065239
"56","TC",7,"GAM",0.314695909862073
"57","TC",7,"LDA",0.13239853079724
"58","TC",7,"CTREE",0.208174088944937
"59","TC",7,"RF",0.349468064847846
"60","TC",7,"XGB",0.360187195230612
"61","TC",7,"LGBM",0.344670875867237
"62","TC",7,"RE",0.319393487638361
"63","TC",7,"SRE",0
"64","TC",8,"LRR",0.400482178155041
"65","TC",8,"GAM",0.338081041867885
"66","TC",8,"LDA",0.174021879807086
"67","TC",8,"CTREE",0.233181272528697
"68","TC",8,"RF",0.39326430264591
"69","TC",8,"XGB",0.337624449648391
"70","TC",8,"LGBM",0.344837006886055
"71","TC",8,"RE",0.324231688892987
"72","TC",8,"SRE",0.449911445192424
"73","TC",9,"LRR",0.385817511407603
"74","TC",9,"GAM",0.352216973767693
"75","TC",9,"LDA",0.178573245006167
"76","TC",9,"CTREE",0.283909870536819
"77","TC",9,"RF",0.378213768658579
"78","TC",9,"XGB",0.351200665979937
"79","TC",9,"LGBM",0.347650978407557
"80","TC",9,"RE",0.327248881255331
"81","TC",9,"SRE",0
"82","TC",10,"LRR",0.385485372413314
"83","TC",10,"GAM",0.335358328985183
"84","TC",10,"LDA",0.130424331087096
"85","TC",10,"CTREE",0.23701196029048
"86","TC",10,"RF",0.387306613248036
"87","TC",10,"XGB",0.33507423843849
"88","TC",10,"LGBM",0.351156544225851
"89","TC",10,"RE",0.331509942991076
"90","TC",10,"SRE",0.423400210479389
