"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"RE",0.331606992569405
"2","GC",1,"SRE",0.437945826390997
"3","GC",2,"RE",0.345474738958428
"4","GC",2,"SRE",0.457647308079462
"5","GC",3,"RE",0.305679754190408
"6","GC",3,"SRE",0.427837566789277
"7","GC",4,"RE",0.35947691429387
"8","GC",4,"SRE",0.465094398753131
"9","GC",5,"RE",0.321590200020799
"10","GC",5,"SRE",0.46970737770745
"11","GC",6,"RE",0.323114356374389
"12","GC",6,"SRE",0.419081292654602
"13","GC",7,"RE",0.31735526661845
"14","GC",7,"SRE",0.410280286181302
"15","GC",8,"RE",0.340186192007566
"16","GC",8,"SRE",0.472162160425136
"17","GC",9,"RE",0.336300193677733
"18","GC",9,"SRE",0.455529952419032
"19","GC",10,"RE",0.336559592060636
"20","GC",10,"SRE",0.4433653772368
