"","dataset","nr_fold","algorithm","metric"
"1","TC",5,"LRR",0.701335503386011
"2","TC",5,"GAM",0.740986388830277
"3","TC",5,"LDA",0.705942283288555
"4","TC",5,"CTREE",0.750954037358722
"5","TC",5,"RF",0.753228331375658
"6","TC",5,"XGB",0.743511091163977
"7","TC",5,"LGBM",0.758337073420956
"8","TC",5,"RE_boosting",0.760631070196576
"9","TC",5,"RE_RF",0.764562572410502
"10","TC",5,"RE_bag",0.756764518355754
"11","TC",5,"SRE_RF",0.709030576161357
"12","TC",5,"SRE_bag",0.757452854849548
"13","TC",5,"SRE_boosting",0.763122781864573
"14","TC",5,"SRE_PLTR",0.763291171720768
"15","TC",5,"PLTR",0.765351942818012
"16","TC",6,"LRR",0.722234156920513
"17","TC",6,"GAM",0.744135800746957
"18","TC",6,"LDA",0.719002488617088
"19","TC",6,"CTREE",0.761497531842395
"20","TC",6,"RF",0.766983114416868
"21","TC",6,"XGB",0.753670965947981
"22","TC",6,"LGBM",0.766162177670148
"23","TC",6,"RE_boosting",0.766812463730917
"24","TC",6,"RE_RF",0.762306378894742
"25","TC",6,"RE_bag",0.754454819882153
"26","TC",6,"SRE_RF",0.717633911964705
"27","TC",6,"SRE_bag",0.717633911964705
"28","TC",6,"SRE_boosting",0.767762783456834
"29","TC",6,"SRE_PLTR",0.762185481951016
"30","TC",6,"PLTR",0.757261256435437
"31","TC",1,"LRR",0.724117314402491
"32","TC",1,"GAM",0.741276986744994
"33","TC",1,"LDA",0.716402609464163
"34","TC",1,"CTREE",0.757872716696381
"35","TC",1,"RF",0.758687499943808
"36","TC",1,"XGB",0.747096562041755
"37","TC",1,"LGBM",0.759740986586757
"38","TC",1,"RE_boosting",0.762754448379379
"39","TC",1,"RE_RF",0.763254444333559
"40","TC",1,"RE_bag",0.762241865428825
"41","TC",1,"SRE_RF",0.725147874730616
"42","TC",1,"SRE_bag",0.755876778699925
"43","TC",1,"SRE_boosting",0.771701779891194
"44","TC",1,"SRE_PLTR",0.769359699494452
"45","TC",1,"PLTR",0.764749037769081
"46","TC",2,"LRR",0.714091346951388
"47","TC",2,"GAM",0.746365105391475
"48","TC",2,"LDA",0.705181064207433
"49","TC",2,"CTREE",0.747718913033315
"50","TC",2,"RF",0.761953413069032
"51","TC",2,"XGB",0.750431512094798
"52","TC",2,"LGBM",0.756189911362325
"53","TC",2,"RE_boosting",0.755612979750911
"54","TC",2,"RE_RF",0.758966587566993
"55","TC",2,"RE_bag",0.750032691209162
"56","TC",2,"SRE_RF",0.714616779525502
"57","TC",2,"SRE_bag",0.743346003995091
"58","TC",2,"SRE_boosting",0.763567919754532
"59","TC",2,"SRE_PLTR",0.753900933414118
"60","TC",2,"PLTR",0.752273967284109
"61","TC",3,"LRR",0.716927547626694
"62","TC",3,"GAM",0.738790285667881
"63","TC",3,"LDA",0.706041742799243
"64","TC",3,"CTREE",0.755211159466832
"65","TC",3,"RF",0.757460415674636
"66","TC",3,"XGB",0.740756121059101
"67","TC",3,"LGBM",0.753452150906762
"68","TC",3,"RE_boosting",0.756644297531644
"69","TC",3,"RE_RF",0.768193032531219
"70","TC",3,"RE_bag",0.760987314928629
"71","TC",3,"SRE_RF",0.718738349408842
"72","TC",3,"SRE_bag",0.760708392855165
"73","TC",3,"SRE_boosting",0.768949052080219
"74","TC",3,"SRE_PLTR",0.761711381866236
"75","TC",3,"PLTR",0.754992220634973
"76","TC",4,"LRR",0.716959214178945
"77","TC",4,"GAM",0.743289990823623
"78","TC",4,"LDA",0.715724154647921
"79","TC",4,"CTREE",0.739428525258122
"80","TC",4,"RF",0.764284617737533
"81","TC",4,"XGB",0.720321000051942
"82","TC",4,"LGBM",0.761505156662107
"83","TC",4,"RE_boosting",0.755942079170779
"84","TC",4,"RE_RF",0.760145321490613
"85","TC",4,"RE_bag",0.751176827051267
"86","TC",4,"SRE_RF",0.71322136999267
"87","TC",4,"SRE_bag",0.751348581124366
"88","TC",4,"SRE_boosting",0.763587559372313
"89","TC",4,"SRE_PLTR",0.75933156731363
"90","TC",4,"PLTR",0.758239289898483
