"","dataset","nr_fold","algorithm","metric"
"1","TC",1,"LRR",0.0504909507736963
"2","TC",1,"GAM",0.0579750999223549
"3","TC",1,"LDA",0.0613908433167109
"4","TC",1,"CTREE",0.0527739119473258
"5","TC",1,"RF",0.0510573677509463
"6","TC",1,"XGB",0.0514435168382121
"7","TC",1,"LGBM",0.0528661566395336
"8","TC",1,"RE_boosting",0.0505720813878247
"9","TC",1,"RE_RF",0.0502389528029818
"10","TC",1,"RE_bag",0.0503809587474343
"11","TC",1,"SRE_RF",0.055604873425901
"12","TC",1,"SRE_bag",0.0505494333488183
"13","TC",1,"SRE_boosting",0.050173603103085
"14","TC",1,"SRE_PLTR",0.0505486118726156
"15","TC",1,"PLTR",0.0538323816062451
"16","TC",2,"LRR",0.0512419182825274
"17","TC",2,"GAM",0.0556129888646671
"18","TC",2,"LDA",0.0618310997348957
"19","TC",2,"CTREE",0.0532206739327851
"20","TC",2,"RF",0.0514706288057079
"21","TC",2,"XGB",0.0519389344348348
"22","TC",2,"LGBM",0.0534193420827803
"23","TC",2,"RE_boosting",0.0509893798467385
"24","TC",2,"RE_RF",0.0510577733203203
"25","TC",2,"RE_bag",0.0517360597676707
"26","TC",2,"SRE_RF",0.0559824894335939
"27","TC",2,"SRE_bag",0.0521384829099805
"28","TC",2,"SRE_boosting",0.0505316387172251
"29","TC",2,"SRE_PLTR",0.0523675457134064
"30","TC",2,"PLTR",0.0555517739763481
"31","TC",3,"LRR",0.052491504935016
"32","TC",3,"GAM",0.0570936970528634
"33","TC",3,"LDA",0.0633757024300064
"34","TC",3,"CTREE",0.0538064162873936
"35","TC",3,"RF",0.0528568017232921
"36","TC",3,"XGB",0.0534948174751407
"37","TC",3,"LGBM",0.0536777038482648
"38","TC",3,"RE_boosting",0.0521085111867259
"39","TC",3,"RE_RF",0.0526546811778024
"40","TC",3,"RE_bag",0.0528905200628501
"41","TC",3,"SRE_RF",0.057753200766456
"42","TC",3,"SRE_bag",0.0531123588565315
"43","TC",3,"SRE_boosting",0.0522932383445661
"44","TC",3,"SRE_PLTR",0.057753200766456
"45","TC",3,"PLTR",0.0637874466286107
"46","TC",4,"LRR",0.0491988506455368
"47","TC",4,"GAM",0.0569932902716474
"48","TC",4,"LDA",0.0598943099067369
"49","TC",4,"CTREE",0.0510677724396261
"50","TC",4,"RF",0.0499988284313123
"51","TC",4,"XGB",0.0507956933573707
"52","TC",4,"LGBM",0.0515640924220817
"53","TC",4,"RE_boosting",0.0498531541834631
"54","TC",4,"RE_RF",0.0489345033211609
"55","TC",4,"RE_bag",0.0490247956188584
"56","TC",4,"SRE_RF",0.0537376221723674
"57","TC",4,"SRE_bag",0.0496679410404813
"58","TC",4,"SRE_boosting",0.0487111534747042
"59","TC",4,"SRE_PLTR",0.0491817234735383
"60","TC",4,"PLTR",0.0513305339505693
"61","TC",5,"LRR",0.0504351320570751
"62","TC",5,"GAM",0.0550099862617135
"63","TC",5,"LDA",0.0620490246549149
"64","TC",5,"CTREE",0.0534783434219237
"65","TC",5,"RF",0.0511567779697255
"66","TC",5,"XGB",0.052429533034128
"67","TC",5,"LGBM",0.0530053778604488
"68","TC",5,"RE_boosting",0.0514077847497882
"69","TC",5,"RE_RF",0.0509291457056581
"70","TC",5,"RE_bag",0.0511034272138697
"71","TC",5,"SRE_RF",0.0564039917573124
"72","TC",5,"SRE_bag",0.0521639569543001
"73","TC",5,"SRE_boosting",0.0499675724762125
"74","TC",5,"SRE_PLTR",0.0564039917573124
"75","TC",5,"PLTR",0.0603970249093574
"76","TC",6,"LRR",0.0510980359496115
"77","TC",6,"GAM",0.0582059362856911
"78","TC",6,"LDA",0.0611987176541905
"79","TC",6,"CTREE",0.0531914278761625
"80","TC",6,"RF",0.0516457832801351
"81","TC",6,"XGB",0.0520064923129245
"82","TC",6,"LGBM",0.0525534597371719
"83","TC",6,"RE_boosting",0.051482505003615
"84","TC",6,"RE_RF",0.0508119703900562
"85","TC",6,"RE_bag",0.050307783915292
"86","TC",6,"SRE_RF",0.0550406635698358
"87","TC",6,"SRE_bag",0.0507648533658258
"88","TC",6,"SRE_boosting",0.0504329142639908
"89","TC",6,"SRE_PLTR",0.0517365459586217
"90","TC",6,"PLTR",0.0547613535591868
