"","dataset","nr_fold","algorithm","metric"
"1","TC",5,"LRR",0.0210284965809532
"2","TC",5,"GAM",0.0210601410007673
"3","TC",5,"LDA",0.0202133633512662
"4","TC",5,"CTREE",0.0214824795822217
"5","TC",5,"RF",0.0220471553382157
"6","TC",5,"XGB",0.0213154626850684
"7","TC",5,"LGBM",0.0222601426106237
"8","TC",5,"RE_boosting",0.0232084395542213
"9","TC",5,"RE_RF",0.0232251911445338
"10","TC",5,"RE_bag",0.0228078309729414
"11","TC",5,"SRE_RF",0.0214706261154542
"12","TC",5,"SRE_bag",0.0228200274933614
"13","TC",5,"SRE_boosting",0.0231113688396715
"14","TC",5,"SRE_PLTR",0.0235129759121817
"15","TC",5,"PLTR",0.0218390709697389
"16","TC",6,"LRR",0.022256645775073
"17","TC",6,"GAM",0.0210762081431776
"18","TC",6,"LDA",0.0217166925943532
"19","TC",6,"CTREE",0.0228005184971406
"20","TC",6,"RF",0.0219960737046405
"21","TC",6,"XGB",0.0210154403875765
"22","TC",6,"LGBM",0.0212855708443909
"23","TC",6,"RE_boosting",0.0227384940506978
"24","TC",6,"RE_RF",0.0229527454703816
"25","TC",6,"RE_bag",0.0227359369688343
"26","TC",6,"SRE_RF",0.0220941310974197
"27","TC",6,"SRE_bag",0.0225950870443631
"28","TC",6,"SRE_boosting",0.0232679469725196
"29","TC",6,"SRE_PLTR",0.0231009404638007
"30","TC",6,"PLTR",0.0232271621795658
"31","TC",1,"LRR",0.0225040393051075
"32","TC",1,"GAM",0.0224945501273072
"33","TC",1,"LDA",0.0227497486911484
"34","TC",1,"CTREE",0.023520490340791
"35","TC",1,"RF",0.0235273466205586
"36","TC",1,"XGB",0.0226892492061533
"37","TC",1,"LGBM",0.023283895657888
"38","TC",1,"RE_boosting",0.0248305580671424
"39","TC",1,"RE_RF",0.0246920392223795
"40","TC",1,"RE_bag",0.0241078841798544
"41","TC",1,"SRE_RF",0.0233135150417111
"42","TC",1,"SRE_bag",0.0239512296278865
"43","TC",1,"SRE_boosting",0.0252256979284074
"44","TC",1,"SRE_PLTR",0.0247368881825484
"45","TC",1,"PLTR",0.0244123195841737
"46","TC",2,"LRR",0.0200157460726557
"47","TC",2,"GAM",0.0197838478481756
"48","TC",2,"LDA",0.019449455839827
"49","TC",2,"CTREE",0.0203612503456285
"50","TC",2,"RF",0.02129177860924
"51","TC",2,"XGB",0.0209705956019514
"52","TC",2,"LGBM",0.0202248059517229
"53","TC",2,"RE_boosting",0.0209659125443993
"54","TC",2,"RE_RF",0.0210596779155227
"55","TC",2,"RE_bag",0.021444479658331
"56","TC",2,"SRE_RF",0.0199349449741051
"57","TC",2,"SRE_bag",0.0207653683794548
"58","TC",2,"SRE_boosting",0.0214144939284153
"59","TC",2,"SRE_PLTR",0.0212183342937873
"60","TC",2,"PLTR",0.0209986773493969
"61","TC",3,"LRR",0.0213927488699132
"62","TC",3,"GAM",0.0211367214210212
"63","TC",3,"LDA",0.0206636109404678
"64","TC",3,"CTREE",0.0212330335008891
"65","TC",3,"RF",0.0216742652834443
"66","TC",3,"XGB",0.0221481570511925
"67","TC",3,"LGBM",0.0214685108745185
"68","TC",3,"RE_boosting",0.0225434199713832
"69","TC",3,"RE_RF",0.0230110367522549
"70","TC",3,"RE_bag",0.0225386067636609
"71","TC",3,"SRE_RF",0.021004278434449
"72","TC",3,"SRE_bag",0.0227219040332635
"73","TC",3,"SRE_boosting",0.0227772734480752
"74","TC",3,"SRE_PLTR",0.0227739867849668
"75","TC",3,"PLTR",0.0220525369183973
"76","TC",4,"LRR",0.0220685116893403
"77","TC",4,"GAM",0.0211031588481099
"78","TC",4,"LDA",0.0216533963046587
"79","TC",4,"CTREE",0.0217266043117638
"80","TC",4,"RF",0.0230088436150732
"81","TC",4,"XGB",0.0218526652779428
"82","TC",4,"LGBM",0.0220717229450761
"83","TC",4,"RE_boosting",0.0224596106876217
"84","TC",4,"RE_RF",0.0229403881765038
"85","TC",4,"RE_bag",0.0221375223131922
"86","TC",4,"SRE_RF",0.0221848489786491
"87","TC",4,"SRE_bag",0.0225432985553362
"88","TC",4,"SRE_boosting",0.0227689826995659
"89","TC",4,"SRE_PLTR",0.023196927054805
"90","TC",4,"PLTR",0.0232182434539061
