"","dataset","nr_fold","algorithm","metric"
"1","TC",1,"LRR",0.705527528282285
"2","TC",1,"GAM",0.43395321888036
"3","TC",1,"LDA",0.399011442240202
"4","TC",1,"CTREE",0.51490333483517
"5","TC",1,"RF",0.638830811269588
"6","TC",1,"XGB",0.669272524730986
"7","TC",1,"LGBM",0.656124161350411
"8","TC",1,"RE_boosting",0.666317471807081
"9","TC",1,"RE_RF",0.661878837389487
"10","TC",1,"RE_bag",0.656797131940414
"11","TC",1,"SRE_RF",0.612489284372211
"12","TC",1,"SRE_bag",0.688185753846925
"13","TC",1,"SRE_boosting",0.70417331414097
"14","TC",1,"SRE_PLTR",0.669861782838745
"15","TC",1,"PLTR",0.484245218477153
"16","TC",2,"LRR",0.681247090950656
"17","TC",2,"GAM",0.574979607330054
"18","TC",2,"LDA",0.376791409188875
"19","TC",2,"CTREE",0.50356554979692
"20","TC",2,"RF",0.638826183075981
"21","TC",2,"XGB",0.653588809655125
"22","TC",2,"LGBM",0.622579508458534
"23","TC",2,"RE_boosting",0.638711344401953
"24","TC",2,"RE_RF",0.649565962786832
"25","TC",2,"RE_bag",0.631417821167012
"26","TC",2,"SRE_RF",0.589101530725851
"27","TC",2,"SRE_bag",0.659403738673826
"28","TC",2,"SRE_boosting",0.680996189290395
"29","TC",2,"SRE_PLTR",0.625231185698099
"30","TC",2,"PLTR",0.413752801297357
"31","TC",3,"LRR",0.685437966769461
"32","TC",3,"GAM",0.567413624205728
"33","TC",3,"LDA",0.398341445040955
"34","TC",3,"CTREE",0.52194873947926
"35","TC",3,"RF",0.607301839342096
"36","TC",3,"XGB",0.647430423484663
"37","TC",3,"LGBM",0.599271493478627
"38","TC",3,"RE_boosting",0.624175535147184
"39","TC",3,"RE_RF",0.625374676562856
"40","TC",3,"RE_bag",0.601686862959348
"41","TC",3,"SRE_RF",0.573691642984835
"42","TC",3,"SRE_bag",0.652886402440832
"43","TC",3,"SRE_boosting",0.681686047805051
"44","TC",3,"SRE_PLTR",0.545803824560157
"45","TC",3,"PLTR",0.356289305528432
"46","TC",4,"LRR",0.711067116917165
"47","TC",4,"GAM",0.396063250707848
"48","TC",4,"LDA",0.376211013503241
"49","TC",4,"CTREE",0.545783255885621
"50","TC",4,"RF",0.640118917884867
"51","TC",4,"XGB",0.66613191323841
"52","TC",4,"LGBM",0.651790268840641
"53","TC",4,"RE_boosting",0.695584867496315
"54","TC",4,"RE_RF",0.685516148180561
"55","TC",4,"RE_bag",0.684127968716863
"56","TC",4,"SRE_RF",0.627553041184947
"57","TC",4,"SRE_bag",0.689575841717316
"58","TC",4,"SRE_boosting",0.715600244470634
"59","TC",4,"SRE_PLTR",0.659663147797932
"60","TC",4,"PLTR",0.320505553901978
"61","TC",5,"LRR",0.697552836243819
"62","TC",5,"GAM",0.588400339375095
"63","TC",5,"LDA",0.37531514478549
"64","TC",5,"CTREE",0.531351414092913
"65","TC",5,"RF",0.621465332816534
"66","TC",5,"XGB",0.657827469214095
"67","TC",5,"LGBM",0.606585067916884
"68","TC",5,"RE_boosting",0.646883769826468
"69","TC",5,"RE_RF",0.644089180964142
"70","TC",5,"RE_bag",0.635760822046222
"71","TC",5,"SRE_RF",0.605370434196353
"72","TC",5,"SRE_bag",0.662049739444168
"73","TC",5,"SRE_boosting",0.698097160178875
"74","TC",5,"SRE_PLTR",0.605370434196353
"75","TC",5,"PLTR",0.394107810870449
"76","TC",6,"LRR",0.693468854275981
"77","TC",6,"GAM",0.392236864038072
"78","TC",6,"LDA",0.406449170886864
"79","TC",6,"CTREE",0.608281276547742
"80","TC",6,"RF",0.614137770937543
"81","TC",6,"XGB",0.654502157863459
"82","TC",6,"LGBM",0.638100257608111
"83","TC",6,"RE_boosting",0.66811464512036
"84","TC",6,"RE_RF",0.664531735896177
"85","TC",6,"RE_bag",0.64972750758632
"86","TC",6,"SRE_RF",0.605120174241497
"87","TC",6,"SRE_bag",0.68451426938468
"88","TC",6,"SRE_boosting",0.696415039462324
"89","TC",6,"SRE_PLTR",0.636394350387834
"90","TC",6,"PLTR",0.423109138062802
