"","dataset","nr_fold","algorithm","metric"
"1","TC",1,"LRR",0.724117314402491
"2","TC",1,"GAM",0.741276986744994
"3","TC",1,"LDA",0.716402609464163
"4","TC",1,"CTREE",0.757872716696381
"5","TC",1,"RF",0.758687499943808
"6","TC",1,"XGB",0.747096562041755
"7","TC",1,"LGBM",0.759740986586757
"8","TC",1,"RE_boosting",0.762754448379379
"9","TC",1,"RE_RF",0.763211513685212
"10","TC",1,"RE_bag",0.762241865428825
"11","TC",1,"SRE_RF",0.725147874730616
"12","TC",1,"SRE_bag",0.755876778699925
"13","TC",1,"SRE_boosting",0.771701779891194
"14","TC",1,"SRE_PLTR",0.769359699494452
"15","TC",1,"PLTR",0.764749037769081
"16","TC",2,"LRR",0.714091346951388
"17","TC",2,"GAM",0.746365105391475
"18","TC",2,"LDA",0.705181064207433
"19","TC",2,"CTREE",0.747718913033315
"20","TC",2,"RF",0.761953413069032
"21","TC",2,"XGB",0.750431512094798
"22","TC",2,"LGBM",0.756189911362325
"23","TC",2,"RE_boosting",0.755612979750911
"24","TC",2,"RE_RF",0.752194226839257
"25","TC",2,"RE_bag",0.750032691209162
"26","TC",2,"SRE_RF",0.714616779525502
"27","TC",2,"SRE_bag",0.743346003995091
"28","TC",2,"SRE_boosting",0.763567919754532
"29","TC",2,"SRE_PLTR",0.753900933414118
"30","TC",2,"PLTR",0.752273967284109
"31","TC",3,"LRR",0.716927547626694
"32","TC",3,"GAM",0.738790285667881
"33","TC",3,"LDA",0.706041742799243
"34","TC",3,"CTREE",0.755211159466832
"35","TC",3,"RF",0.757460415674636
"36","TC",3,"XGB",0.740756121059101
"37","TC",3,"LGBM",0.753452150906762
"38","TC",3,"RE_boosting",0.756644297531644
"39","TC",3,"RE_RF",0.768827701368356
"40","TC",3,"RE_bag",0.760987314928629
"41","TC",3,"SRE_RF",0.718738349408842
"42","TC",3,"SRE_bag",0.760708392855165
"43","TC",3,"SRE_boosting",0.768949052080219
"44","TC",3,"SRE_PLTR",0.761711381866236
"45","TC",3,"PLTR",0.754992220634973
"46","TC",4,"LRR",0.716959214178945
"47","TC",4,"GAM",0.743289990823623
"48","TC",4,"LDA",0.715724154647921
"49","TC",4,"CTREE",0.739428525258122
"50","TC",4,"RF",0.764284617737533
"51","TC",4,"XGB",0.720321000051942
"52","TC",4,"LGBM",0.761505156662107
"53","TC",4,"RE_boosting",0.755942079170779
"54","TC",4,"RE_RF",0.764165497977157
"55","TC",4,"RE_bag",0.751176827051267
"56","TC",4,"SRE_RF",0.71322136999267
"57","TC",4,"SRE_bag",0.751348581124366
"58","TC",4,"SRE_boosting",0.763587559372313
"59","TC",4,"SRE_PLTR",0.75933156731363
"60","TC",4,"PLTR",0.758239289898483
"61","TC",5,"LRR",0.701335503386011
"62","TC",5,"GAM",0.740986388830277
"63","TC",5,"LDA",0.705942283288555
"64","TC",5,"CTREE",0.750954037358722
"65","TC",5,"RF",0.753228331375658
"66","TC",5,"XGB",0.743511091163977
"67","TC",5,"LGBM",0.758337073420956
"68","TC",5,"RE_boosting",0.760631070196576
"69","TC",5,"RE_RF",0.7618390096752
"70","TC",5,"RE_bag",0.756764518355754
"71","TC",5,"SRE_RF",0.709030576161357
"72","TC",5,"SRE_bag",0.757452854849548
"73","TC",5,"SRE_boosting",0.763122781864573
"74","TC",5,"SRE_PLTR",0.763291171720768
"75","TC",5,"PLTR",0.765351942818012
"76","TC",6,"LRR",0.722234156920513
"77","TC",6,"GAM",0.744135800746957
"78","TC",6,"LDA",0.719002488617088
"79","TC",6,"CTREE",0.761497531842395
"80","TC",6,"RF",0.766983114416868
"81","TC",6,"XGB",0.753670965947981
"82","TC",6,"LGBM",0.766162177670148
"83","TC",6,"RE_boosting",0.766812463730917
"84","TC",6,"RE_RF",0.76088490982948
"85","TC",6,"RE_bag",0.754454819882153
"86","TC",6,"SRE_RF",0.717633911964705
"87","TC",6,"SRE_bag",0.749792963983871
"88","TC",6,"SRE_boosting",0.767762783456834
"89","TC",6,"SRE_PLTR",0.762185481951016
"90","TC",6,"PLTR",0.757261256435437
