"","dataset","nr_fold","algorithm","metric"
"1","TC",1,"GAM",0.746158943195784
"2","TC",1,"RE_boosting",0.771090411495884
"3","TC",1,"RE_RF",0.764604399694675
"4","TC",1,"RE_bag",0.762241865428825
"5","TC",1,"SRE_RF",0.76852468714571
"6","TC",1,"SRE_bag",0.750963129990407
"7","TC",1,"SRE_boosting",0.771309110557883
"8","TC",1,"SRE_PLTR",0.761849083711618
"9","TC",2,"GAM",0.747520867196324
"10","TC",2,"RE_boosting",0.755374351723236
"11","TC",2,"RE_RF",0.758561714951167
"12","TC",2,"RE_bag",0.750032691209162
"13","TC",2,"SRE_RF",0.760280406325031
"14","TC",2,"SRE_bag",0.743346003995091
"15","TC",2,"SRE_boosting",0.764793929094132
"16","TC",2,"SRE_PLTR",0.753900933414118
"17","TC",3,"GAM",0.741478227006116
"18","TC",3,"RE_boosting",0.754111966564418
"19","TC",3,"RE_RF",0.760909682771706
"20","TC",3,"RE_bag",0.760987314928629
"21","TC",3,"SRE_RF",0.761322644319679
"22","TC",3,"SRE_bag",0.757136390817581
"23","TC",3,"SRE_boosting",0.767446702582786
"24","TC",3,"SRE_PLTR",0.761698231694037
"25","TC",4,"GAM",0.742275856894691
"26","TC",4,"RE_boosting",0.760996242879651
"27","TC",4,"RE_RF",0.76380259824206
"28","TC",4,"RE_bag",0.751176827051267
"29","TC",4,"SRE_RF",0.763339046926491
"30","TC",4,"SRE_bag",0.752041253296859
"31","TC",4,"SRE_boosting",0.765735524121174
"32","TC",4,"SRE_PLTR",0.757064944508891
"33","TC",5,"GAM",0.743885443578974
"34","TC",5,"RE_boosting",0.757781615997357
"35","TC",5,"RE_RF",0.755721532205648
"36","TC",5,"RE_bag",0.756764518355754
"37","TC",5,"SRE_RF",0.755057022303752
"38","TC",5,"SRE_bag",0.754371778684868
"39","TC",5,"SRE_boosting",0.757815866723209
"40","TC",5,"SRE_PLTR",0.763353143769885
"41","TC",6,"GAM",0.748940756777669
"42","TC",6,"RE_boosting",0.766348870450555
"43","TC",6,"RE_RF",0.762023549794661
"44","TC",6,"RE_bag",0.754454819882153
"45","TC",6,"SRE_RF",0.760776567568372
"46","TC",6,"SRE_bag",0.745052292578044
"47","TC",6,"SRE_boosting",0.767486115451001
"48","TC",6,"SRE_PLTR",0.753941937847811
