"","dataset","nr_fold","algorithm","metric"
"1","TC",1,"LRR",0.147920947440392
"2","TC",1,"GAM",0.148513509884193
"3","TC",1,"LDA",0.14931791013915
"4","TC",1,"CTREE",0.141762301236084
"5","TC",1,"RF",0.142088980612288
"6","TC",1,"XGB",0.145319212041674
"7","TC",1,"LGBM",0.143149777489299
"8","TC",1,"RE_boosting",0.14091371384312
"9","TC",1,"RE_RF",0.140470549863884
"10","TC",1,"RE_bag",0.141132396905098
"11","TC",1,"SRE_RF",0.149184174893015
"12","TC",1,"SRE_bag",0.142227659938352
"13","TC",1,"SRE_boosting",0.138656370986949
"14","TC",1,"SRE_PLTR",0.140435905146612
"15","TC",1,"PLTR",0.14079120517783
"16","TC",2,"LRR",0.143045053183901
"17","TC",2,"GAM",0.141829147060859
"18","TC",2,"LDA",0.143588719862864
"19","TC",2,"CTREE",0.137471624044909
"20","TC",2,"RF",0.136048968070069
"21","TC",2,"XGB",0.138691663538344
"22","TC",2,"LGBM",0.138849692204802
"23","TC",2,"RE_boosting",0.136406477294398
"24","TC",2,"RE_RF",0.13595254827711
"25","TC",2,"RE_bag",0.136708048172262
"26","TC",2,"SRE_RF",0.144016143170322
"27","TC",2,"SRE_bag",0.137637987358751
"28","TC",2,"SRE_boosting",0.133652697434051
"29","TC",2,"SRE_PLTR",0.135749462465324
"30","TC",2,"PLTR",0.135964278215079
"31","TC",3,"LRR",0.14616274811151
"32","TC",3,"GAM",0.145356433202232
"33","TC",3,"LDA",0.147301946340865
"34","TC",3,"CTREE",0.140565135252814
"35","TC",3,"RF",0.140779922965208
"36","TC",3,"XGB",0.142511679493647
"37","TC",3,"LGBM",0.141669962220778
"38","TC",3,"RE_boosting",0.139451054208843
"39","TC",3,"RE_RF",0.138083956775537
"40","TC",3,"RE_bag",0.139205121790478
"41","TC",3,"SRE_RF",0.147060783786279
"42","TC",3,"SRE_bag",0.140973264991195
"43","TC",3,"SRE_boosting",0.137077565161708
"44","TC",3,"SRE_PLTR",0.139942543754039
"45","TC",3,"PLTR",0.140244531058096
"46","TC",4,"LRR",0.144250536169818
"47","TC",4,"GAM",0.146257284723593
"48","TC",4,"LDA",0.145484034352118
"49","TC",4,"CTREE",0.138848279720116
"50","TC",4,"RF",0.140178278881561
"51","TC",4,"XGB",0.14146796281457
"52","TC",4,"LGBM",0.143522180349838
"53","TC",4,"RE_boosting",0.13855433971541
"54","TC",4,"RE_RF",0.136208461405232
"55","TC",4,"RE_bag",0.138139566872707
"56","TC",4,"SRE_RF",0.145719504815606
"57","TC",4,"SRE_bag",0.138860917290897
"58","TC",4,"SRE_boosting",0.136831911732909
"59","TC",4,"SRE_PLTR",0.138449286324478
"60","TC",4,"PLTR",0.138785063385708
"61","TC",5,"LRR",0.147228364226627
"62","TC",5,"GAM",0.147455439846933
"63","TC",5,"LDA",0.148794463907026
"64","TC",5,"CTREE",0.142999442064188
"65","TC",5,"RF",0.142166629066031
"66","TC",5,"XGB",0.144616125984572
"67","TC",5,"LGBM",0.142946662951018
"68","TC",5,"RE_boosting",0.141301933702087
"69","TC",5,"RE_RF",0.141676504946421
"70","TC",5,"RE_bag",0.141019873700388
"71","TC",5,"SRE_RF",0.148744860309099
"72","TC",5,"SRE_bag",0.141690070139822
"73","TC",5,"SRE_boosting",0.14136371022515
"74","TC",5,"SRE_PLTR",0.1400788789819
"75","TC",5,"PLTR",0.140348317418392
"76","TC",6,"LRR",0.142489995594776
"77","TC",6,"GAM",0.142981354860737
"78","TC",6,"LDA",0.14353668086585
"79","TC",6,"CTREE",0.134760191984702
"80","TC",6,"RF",0.137839358618388
"81","TC",6,"XGB",0.139785911903809
"82","TC",6,"LGBM",0.13638101910529
"83","TC",6,"RE_boosting",0.136641651143996
"84","TC",6,"RE_RF",0.134054275186396
"85","TC",6,"RE_bag",0.135765359031803
"86","TC",6,"SRE_RF",0.143769287873862
"87","TC",6,"SRE_bag",0.136615997476876
"88","TC",6,"SRE_boosting",0.134783178863939
"89","TC",6,"SRE_PLTR",0.136286500473619
"90","TC",6,"PLTR",0.13663040477653
