"","dataset","nr_fold","algorithm","metric"
"1","TC",1,"GAM",0.14878112815029
"2","TC",1,"RE_boosting",0.138337617402619
"3","TC",1,"RE_RF",0.139698037635675
"4","TC",1,"RE_bag",0.141132396905098
"5","TC",1,"SRE_RF",0.139651776907396
"6","TC",1,"SRE_bag",0.14216209155609
"7","TC",1,"SRE_boosting",0.138623090905717
"8","TC",1,"SRE_PLTR",0.140775025520112
"9","TC",2,"GAM",0.141214970938587
"10","TC",2,"RE_boosting",0.135445075003219
"11","TC",2,"RE_RF",0.134983207827067
"12","TC",2,"RE_bag",0.136708048172262
"13","TC",2,"SRE_RF",0.1342329152787
"14","TC",2,"SRE_bag",0.137682757586645
"15","TC",2,"SRE_boosting",0.133781455638741
"16","TC",2,"SRE_PLTR",0.135738249810121
"17","TC",3,"GAM",0.145726590586306
"18","TC",3,"RE_boosting",0.138797542581985
"19","TC",3,"RE_RF",0.13979187649055
"20","TC",3,"RE_bag",0.139205121790478
"21","TC",3,"SRE_RF",0.138569709577686
"22","TC",3,"SRE_bag",0.140973294428127
"23","TC",3,"SRE_boosting",0.13708087724004
"24","TC",3,"SRE_PLTR",0.139942530447348
"25","TC",4,"GAM",0.146396973356595
"26","TC",4,"RE_boosting",0.138859409729725
"27","TC",4,"RE_RF",0.138838345212237
"28","TC",4,"RE_bag",0.138139566872707
"29","TC",4,"SRE_RF",0.137626677777883
"30","TC",4,"SRE_bag",0.138865553151696
"31","TC",4,"SRE_boosting",0.136581218606892
"32","TC",4,"SRE_PLTR",0.138412613292811
"33","TC",5,"GAM",0.147124323792879
"34","TC",5,"RE_boosting",0.14031922782708
"35","TC",5,"RE_RF",0.141451752063286
"36","TC",5,"RE_bag",0.141019873700388
"37","TC",5,"SRE_RF",0.141606476435556
"38","TC",5,"SRE_bag",0.141690022818931
"39","TC",5,"SRE_boosting",0.140936485456638
"40","TC",5,"SRE_PLTR",0.139901842998039
"41","TC",6,"GAM",0.142145290115354
"42","TC",6,"RE_boosting",0.13541062997311
"43","TC",6,"RE_RF",0.135240998917405
"44","TC",6,"RE_bag",0.135765359031803
"45","TC",6,"SRE_RF",0.13640833183552
"46","TC",6,"SRE_bag",0.136550440798309
"47","TC",6,"SRE_boosting",0.134842171827531
"48","TC",6,"SRE_PLTR",0.136214610093214
