"","dataset","nr_fold","algorithm","metric"
"1","TC",1,"RE_RF",0.0240812088264232
"2","TC",1,"SRE_RF",0.0242730750160456
"3","TC",2,"RE_RF",0.0217251499104792
"4","TC",2,"SRE_RF",0.0215709136337011
"5","TC",3,"RE_RF",0.023044847102958
"6","TC",3,"SRE_RF",0.023459582539129
"7","TC",4,"RE_RF",0.0229207521218497
"8","TC",4,"SRE_RF",0.0230642425811129
"9","TC",5,"RE_RF",0.0229474863876475
"10","TC",5,"SRE_RF",0.0232653680715454
"11","TC",6,"RE_RF",0.0223894229580969
"12","TC",6,"SRE_RF",0.0228561182633
