"","dataset","nr_fold","algorithm","metric"
"1","TC",1,"GAM",0.0228746734387771
"2","TC",1,"RE_boosting",0.0248305580671424
"3","TC",1,"RE_RF",0.0249627120973658
"4","TC",1,"RE_bag",0.0241078841798544
"5","TC",1,"SRE_RF",0.0242799855972965
"6","TC",1,"SRE_bag",0.0241022833695416
"7","TC",1,"SRE_boosting",0.0250389791701868
"8","TC",1,"SRE_PLTR",0.0245961153515568
"9","TC",2,"GAM",0.0198302296474519
"10","TC",2,"RE_boosting",0.0209659125443993
"11","TC",2,"RE_RF",0.0213298744548836
"12","TC",2,"RE_bag",0.021444479658331
"13","TC",2,"SRE_RF",0.0214556384352458
"14","TC",2,"SRE_bag",0.0209558152649087
"15","TC",2,"SRE_boosting",0.0214144939284153
"16","TC",2,"SRE_PLTR",0.0211635474525153
"17","TC",3,"GAM",0.0213898175271606
"18","TC",3,"RE_boosting",0.0225434199713832
"19","TC",3,"RE_RF",0.0230791131601769
"20","TC",3,"RE_bag",0.0225386067636609
"21","TC",3,"SRE_RF",0.0231565299191137
"22","TC",3,"SRE_bag",0.0224875422431554
"23","TC",3,"SRE_boosting",0.0227772734480752
"24","TC",3,"SRE_PLTR",0.0220610035518397
"25","TC",4,"GAM",0.0210161399224189
"26","TC",4,"RE_boosting",0.0224596106876217
"27","TC",4,"RE_RF",0.022724513567707
"28","TC",4,"RE_bag",0.0221375223131922
"29","TC",4,"SRE_RF",0.0224751722740674
"30","TC",4,"SRE_bag",0.0225123914303541
"31","TC",4,"SRE_boosting",0.0227689826995659
"32","TC",4,"SRE_PLTR",0.0231634814686133
"33","TC",5,"GAM",0.0211165670455051
"34","TC",5,"RE_boosting",0.0232084395542213
"35","TC",5,"RE_RF",0.0226615013934839
"36","TC",5,"RE_bag",0.0228078309729414
"37","TC",5,"SRE_RF",0.022703912421616
"38","TC",5,"SRE_bag",0.0228200274933614
"39","TC",5,"SRE_boosting",0.0231113688396715
"40","TC",5,"SRE_PLTR",0.0235129759121817
"41","TC",6,"GAM",0.0210948060432145
"42","TC",6,"RE_boosting",0.0229095767595172
"43","TC",6,"RE_RF",0.02261353712327
"44","TC",6,"RE_bag",0.0227359369688343
"45","TC",6,"SRE_RF",0.0231502480205469
"46","TC",6,"SRE_bag",0.0226528956209693
"47","TC",6,"SRE_boosting",0.0231824204513555
"48","TC",6,"SRE_PLTR",0.0234097645226678
