"","dataset","nr_fold","algorithm","metric"
"1","TC",1,"LRR",0.0225040393051075
"2","TC",1,"GAM",0.0226887297613639
"3","TC",1,"LDA",0.0227497486911484
"4","TC",1,"CTREE",0.023520490340791
"5","TC",1,"RF",0.0235273466205586
"6","TC",1,"XGB",0.0226892492061533
"7","TC",1,"LGBM",0.023283895657888
"8","TC",1,"RE_boosting",0.0248305580671424
"9","TC",1,"RE_RF",0.0245117417672999
"10","TC",1,"RE_bag",0.0241078841798544
"11","TC",1,"SRE_RF",0.0231197961233084
"12","TC",1,"SRE_bag",0.0237918692419723
"13","TC",1,"SRE_boosting",0.0252591165826488
"14","TC",1,"RE_bag",0.0246209340733365
"15","TC",1,"PLTR",0.0244123195841737
"16","TC",2,"LRR",0.0200157460726557
"17","TC",2,"GAM",0.0198173592545358
"18","TC",2,"LDA",0.019449455839827
"19","TC",2,"CTREE",0.0203612503456285
"20","TC",2,"RF",0.02129177860924
"21","TC",2,"XGB",0.0209705956019514
"22","TC",2,"LGBM",0.0202248059517229
"23","TC",2,"RE_boosting",0.0209659125443993
"24","TC",2,"RE_RF",0.0207811264814485
"25","TC",2,"RE_bag",0.021444479658331
"26","TC",2,"SRE_RF",0.0192899380013432
"27","TC",2,"SRE_bag",0.0205640810524328
"28","TC",2,"SRE_boosting",0.0212065267444643
"29","TC",2,"RE_bag",0.0212744564051537
"30","TC",2,"PLTR",0.0209986773493969
"31","TC",3,"LRR",0.0213927488699132
"32","TC",3,"GAM",0.0214621148112071
"33","TC",3,"LDA",0.0206636109404678
"34","TC",3,"CTREE",0.0212330335008891
"35","TC",3,"RF",0.0216742652834443
"36","TC",3,"XGB",0.0221481570511925
"37","TC",3,"LGBM",0.0214685108745185
"38","TC",3,"RE_boosting",0.0225434199713832
"39","TC",3,"RE_RF",0.0232266051568416
"40","TC",3,"RE_bag",0.0225386067636609
"41","TC",3,"SRE_RF",0.0207636514040481
"42","TC",3,"SRE_bag",0.0222128251379651
"43","TC",3,"SRE_boosting",0.0234728734918894
"44","TC",3,"RE_bag",0.0221323806850541
"45","TC",3,"PLTR",0.0220525369183973
"46","TC",4,"LRR",0.0220685116893403
"47","TC",4,"GAM",0.0209320020212188
"48","TC",4,"LDA",0.0216533963046587
"49","TC",4,"CTREE",0.0217266043117638
"50","TC",4,"RF",0.0230088436150732
"51","TC",4,"XGB",0.0218526652779428
"52","TC",4,"LGBM",0.0220717229450761
"53","TC",4,"RE_boosting",0.0224596106876217
"54","TC",4,"RE_RF",0.0228987666203448
"55","TC",4,"RE_bag",0.0221375223131922
"56","TC",4,"SRE_RF",0.021826299769883
"57","TC",4,"SRE_bag",0.0226919568518058
"58","TC",4,"SRE_boosting",0.0227564941693733
"59","TC",4,"RE_bag",0.0226343623337768
"60","TC",4,"PLTR",0.0232182434539061
"61","TC",5,"LRR",0.0210284965809532
"62","TC",5,"GAM",0.0211955414226029
"63","TC",5,"LDA",0.0202133633512662
"64","TC",5,"CTREE",0.0214824795822217
"65","TC",5,"RF",0.0220471553382157
"66","TC",5,"XGB",0.0213154626850684
"67","TC",5,"LGBM",0.0222601426106237
"68","TC",5,"RE_boosting",0.0232084395542213
"69","TC",5,"RE_RF",0.0231346363556818
"70","TC",5,"RE_bag",0.0228078309729414
"71","TC",5,"SRE_RF",0.0206899938616842
"72","TC",5,"SRE_bag",0.0227562808103543
"73","TC",5,"SRE_boosting",0.0231198381228046
"74","TC",5,"RE_bag",0.023432358542821
"75","TC",5,"PLTR",0.0218390709697389
"76","TC",6,"LRR",0.022256645775073
"77","TC",6,"GAM",0.0210948060432145
"78","TC",6,"LDA",0.0217166925943532
"79","TC",6,"CTREE",0.0228005184971406
"80","TC",6,"RF",0.0219960737046405
"81","TC",6,"XGB",0.0210154403875765
"82","TC",6,"LGBM",0.0212855708443909
"83","TC",6,"RE_boosting",0.0229095767595172
"84","TC",6,"RE_RF",0.0227373612736831
"85","TC",6,"RE_bag",0.0227359369688343
"86","TC",6,"SRE_RF",0.0212811281030662
"87","TC",6,"SRE_bag",0.0232510488386266
"88","TC",6,"SRE_boosting",0.0231839882922717
"89","TC",6,"RE_bag",0.0226384924887317
"90","TC",6,"PLTR",0.0232271621795658
