"","dataset","nr_fold","algorithm","metric"
"1","TC",1,"GAM",0.29673167636643
"2","TC",1,"RE_boosting",0.281402918765692
"3","TC",1,"RE_RF",0.30548190537487
"4","TC",1,"RE_bag",0.284129237483076
"5","TC",1,"SRE_RF",0.40779710481102
"6","TC",1,"SRE_bag",0.40779710481102
"7","TC",1,"SRE_boosting",0.431064167608443
"8","TC",1,"SRE_PLTR",0.408401505404766
"9","TC",2,"GAM",0.319965394946031
"10","TC",2,"RE_boosting",0.315745560318432
"11","TC",2,"RE_RF",0.294602290654383
"12","TC",2,"RE_bag",0.275676852883005
"13","TC",2,"SRE_RF",0.247293577981651
"14","TC",2,"SRE_bag",0.214265424671765
"15","TC",2,"SRE_boosting",0.253303039330913
"16","TC",2,"SRE_PLTR",0.250652782698206
"17","TC",3,"GAM",0.300992119440781
"18","TC",3,"RE_boosting",0.336143138531528
"19","TC",3,"RE_RF",0.334730309179422
"20","TC",3,"RE_bag",0.306103984047936
"21","TC",3,"SRE_RF",0.421044289779963
"22","TC",3,"SRE_bag",0.39264983813753
"23","TC",3,"SRE_boosting",0.434316966213747
"24","TC",3,"SRE_PLTR",0.392852858339885
"25","TC",4,"GAM",0.303640573651129
"26","TC",4,"RE_boosting",0.270812409067443
"27","TC",4,"RE_RF",0.311970756156847
"28","TC",4,"RE_bag",0.275797032401927
"29","TC",4,"SRE_RF",0.427807769332433
"30","TC",4,"SRE_bag",0.4092777210266
"31","TC",4,"SRE_boosting",0.495316815854933
"32","TC",4,"SRE_PLTR",0.410135337130853
"33","TC",5,"GAM",0.316434009165388
"34","TC",5,"RE_boosting",0.323797278613809
"35","TC",5,"RE_RF",0.343104269818046
"36","TC",5,"RE_bag",0.307198695506211
"37","TC",5,"SRE_RF",0.230829717507918
"38","TC",5,"SRE_bag",0.218385467259166
"39","TC",5,"SRE_boosting",0.411517316319314
"40","TC",5,"SRE_PLTR",0.232177518969472
"41","TC",6,"GAM",0.307626172722708
"42","TC",6,"RE_boosting",0.244048447053904
"43","TC",6,"RE_RF",0.277352016439359
"44","TC",6,"RE_bag",0.254540821566611
"45","TC",6,"SRE_RF",0.340896062350377
"46","TC",6,"SRE_bag",0.280232923562924
"47","TC",6,"SRE_boosting",0.262026515978585
"48","TC",6,"SRE_PLTR",0.416857311847157
