"","dataset","nr_fold","algorithm","metric"
"1","TH02",6,"LRR",0.601186153473735
"2","TH02",6,"GAM",0.60561464963618
"3","TH02",6,"CTREE",0.576252723311547
"4","TH02",6,"RF",0.62956555171088
"5","TH02",6,"XGB",0.594828199980065
"6","TH02",6,"LGBM",0.601093596479986
"7","TH02",6,"RE",0.579905164680251
"8","TH02",6,"SRE",0.607401711592408
"9","TH02",7,"LRR",0.650299068020587
"10","TH02",7,"GAM",0.636764501321463
"11","TH02",7,"CTREE",0.601738767561552
"12","TH02",7,"RF",0.655758798163862
"13","TH02",7,"XGB",0.6134858812074
"14","TH02",7,"LGBM",0.601690082069829
"15","TH02",7,"RE",0.645771317290305
"16","TH02",7,"SRE",0.649095840867993
"17","TH02",8,"LRR",0.614229543759745
"18","TH02",8,"GAM",0.595024066165006
"19","TH02",8,"CTREE",0.564775269473256
"20","TH02",8,"RF",0.623923801776151
"21","TH02",8,"XGB",0.586034845095248
"22","TH02",8,"LGBM",0.601430411497526
"23","TH02",8,"RE",0.602006643617382
"24","TH02",8,"SRE",0.620595213883804
"25","TH02",9,"LRR",0.635734583688548
"26","TH02",9,"GAM",0.622435350951975
"27","TH02",9,"CTREE",0.578559249786871
"28","TH02",9,"RF",0.642007672634271
"29","TH02",9,"XGB",0.622691105427678
"30","TH02",9,"LGBM",0.611224779766979
"31","TH02",9,"RE",0.599936061381074
"32","TH02",9,"SRE",0.611253196930946
"33","TH02",10,"LRR",0.61014772424807
"34","TH02",10,"GAM",0.602848017034868
"35","TH02",10,"CTREE",0.575259515570934
"36","TH02",10,"RF",0.613953952621773
"37","TH02",10,"XGB",0.582359595421879
"38","TH02",10,"LGBM",0.611857865318073
"39","TH02",10,"RE",0.583583976577056
"40","TH02",10,"SRE",0.605003992547245
