"","dataset","nr_fold","algorithm","metric"
"1","TH02",6,"LRR",0.179894432067064
"2","TH02",6,"GAM",0.455214436701864
"3","TH02",6,"CTREE",0.443712379325691
"4","TH02",6,"RF",0.187280268284685
"5","TH02",6,"XGB",0.186740422326425
"6","TH02",6,"LGBM",0.183344930872883
"7","TH02",6,"RE",0.419057627611458
"8","TH02",6,"SRE",0.438630666333498
"9","TH02",7,"LRR",0.183698157469207
"10","TH02",7,"GAM",0.451477394159044
"11","TH02",7,"CTREE",0.439649655355967
"12","TH02",7,"RF",0.179134532277264
"13","TH02",7,"XGB",0.187657644042958
"14","TH02",7,"LGBM",0.183161396903455
"15","TH02",7,"RE",0.447273377886955
"16","TH02",7,"SRE",0.491083817645472
"17","TH02",8,"LRR",0.190322932742449
"18","TH02",8,"GAM",0.476155046256891
"19","TH02",8,"CTREE",0.445557963379053
"20","TH02",8,"RF",0.1916471143429
"21","TH02",8,"XGB",0.194128896180822
"22","TH02",8,"LGBM",0.191451690032346
"23","TH02",8,"RE",0.434140922369801
"24","TH02",8,"SRE",0.45123299706247
"25","TH02",9,"LRR",0.17910281662748
"26","TH02",9,"GAM",0.46204100267039
"27","TH02",9,"CTREE",0.440602413053913
"28","TH02",9,"RF",0.178456101208242
"29","TH02",9,"XGB",0.178449417466493
"30","TH02",9,"LGBM",0.180211377985528
"31","TH02",9,"RE",0.424793197799831
"32","TH02",9,"SRE",0.433951445844581
"33","TH02",10,"LRR",0.192383060258849
"34","TH02",10,"GAM",0.453127384523695
"35","TH02",10,"CTREE",0.45528194875869
"36","TH02",10,"RF",0.19440176548423
"37","TH02",10,"XGB",0.202895615729682
"38","TH02",10,"LGBM",0.194114363537636
"39","TH02",10,"RE",0.431612319164606
"40","TH02",10,"SRE",0.446253234830397
