"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"LRR",0.342922185430464
"2","TH02",1,"GAM",0.290206265508685
"3","TH02",1,"LDA",0.203159041394336
"4","TH02",1,"CTREE",0
"5","TH02",1,"RF",0.222637287621359
"6","TH02",1,"XGB",0.109475719810915
"7","TH02",1,"LGBM",0.208018402891883
"8","TH02",1,"RE",0
"9","TH02",1,"SRE",0.0251931567328918
"10","TH02",2,"LRR",0.180018309262574
"11","TH02",2,"GAM",0.0836023391812866
"12","TH02",2,"LDA",0.128939075630252
"13","TH02",2,"CTREE",0.0629208754208754
"14","TH02",2,"RF",0.129915879619788
"15","TH02",2,"XGB",0.0875151854966825
"16","TH02",2,"LGBM",0.0931969687099645
"17","TH02",2,"RE",0.169756924043888
"18","TH02",2,"SRE",0
"19","TH02",3,"LRR",0.3223079004329
"20","TH02",3,"GAM",0.0391157811260905
"21","TH02",3,"LDA",0.199891333876664
"22","TH02",3,"CTREE",0
"23","TH02",3,"RF",0.275124503385373
"24","TH02",3,"XGB",0.140004482294935
"25","TH02",3,"LGBM",0.0747428844773979
"26","TH02",3,"RE",0
"27","TH02",3,"SRE",0.251423698038461
"28","TH02",4,"LRR",0.160525273108055
"29","TH02",4,"GAM",0.120860215053763
"30","TH02",4,"LDA",0.129444934596647
"31","TH02",4,"CTREE",0.140007354293069
"32","TH02",4,"RF",0.181147040878584
"33","TH02",4,"XGB",0.0652141359688529
"34","TH02",4,"LGBM",0.0990213720511746
"35","TH02",4,"RE",0.134993323383866
"36","TH02",4,"SRE",0.176336920760609
"37","TH02",5,"LRR",0.0737635041926934
"38","TH02",5,"GAM",-0.0202775700157899
"39","TH02",5,"LDA",-0.0216333673057324
"40","TH02",5,"CTREE",0.123530681528287
"41","TH02",5,"RF",0.0924907474663623
"42","TH02",5,"XGB",0.0740914120350669
"43","TH02",5,"LGBM",0.0598404255319149
"44","TH02",5,"RE",0.187996282034258
"45","TH02",5,"SRE",0.168763420139845
"46","TH02",6,"LRR",0.220328363734746
"47","TH02",6,"GAM",0.0612483311081442
"48","TH02",6,"LDA",0.0716647137596251
"49","TH02",6,"CTREE",0
"50","TH02",6,"RF",0.126144688644689
"51","TH02",6,"XGB",0.0904034582132565
"52","TH02",6,"LGBM",0.0520860666491734
"53","TH02",6,"RE",0.20322667919746
"54","TH02",6,"SRE",0
"55","TH02",7,"LRR",0.324787870357491
"56","TH02",7,"GAM",0.194595377816417
"57","TH02",7,"LDA",0.218509316770186
"58","TH02",7,"CTREE",0.203477535123105
"59","TH02",7,"RF",0.282324503690143
"60","TH02",7,"XGB",0.0886477688864777
"61","TH02",7,"LGBM",0.133905316378122
"62","TH02",7,"RE",0.205758798163861
"63","TH02",7,"SRE",0.207984420642648
"64","TH02",8,"LRR",0.18841221330439
"65","TH02",8,"GAM",0.20066788099575
"66","TH02",8,"LDA",0.223483204134367
"67","TH02",8,"CTREE",0
"68","TH02",8,"RF",0.232111436950147
"69","TH02",8,"XGB",0.117089990772668
"70","TH02",8,"LGBM",0.116813344248874
"71","TH02",8,"RE",0.217978442139516
"72","TH02",8,"SRE",0.212012744898651
"73","TH02",9,"LRR",0.204008833021913
"74","TH02",9,"GAM",0.0998888400589406
"75","TH02",9,"LDA",0.109661429105874
"76","TH02",9,"CTREE",0
"77","TH02",9,"RF",0.242719502719503
"78","TH02",9,"XGB",0.0484986616489544
"79","TH02",9,"LGBM",-0.0032370658109554
"80","TH02",9,"RE",0.155001420858198
"81","TH02",9,"SRE",0.153936017253774
"82","TH02",10,"LRR",0.201437317008251
"83","TH02",10,"GAM",0.039287843588742
"84","TH02",10,"LDA",0.0312907963446476
"85","TH02",10,"CTREE",0.142081447963801
"86","TH02",10,"RF",0.194252873563218
"87","TH02",10,"XGB",0.18527335245885
"88","TH02",10,"LGBM",0.162961613216715
"89","TH02",10,"RE",0.151530476443971
"90","TH02",10,"SRE",0.140524354538195
