"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"RE",0
"2","TH02",1,"SRE",0.215574814400646
"3","TH02",2,"RE",0.169756924043888
"4","TH02",1,"RE",0
"5","TH02",1,"SRE",0.215605877054018
"6","TH02",2,"RE",0.169756924043888
"7","TH02",2,"SRE",0.170645059915012
"8","TH02",3,"RE",0
"9","TH02",3,"SRE",0.199364791288566
"10","TH02",4,"RE",0.138729246487867
"11","TH02",4,"SRE",0.157579213639222
"12","TH02",5,"RE",0.156300624087107
"13","TH02",5,"SRE",0.149986457204767
"14","TH02",6,"RE",0.20322667919746
"15","TH02",6,"SRE",0.20237230694747
"16","TH02",7,"RE",0
"17","TH02",7,"SRE",0.243297101449275
"18","TH02",8,"RE",0.217978442139516
"19","TH02",8,"SRE",0.2220052877771
"20","TH02",9,"RE",0.218329070758738
"21","TH02",9,"SRE",0.195808249721293
"22","TH02",10,"RE",0.164705882352941
"23","TH02",10,"SRE",0.152603466308083
