"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"LRR",0.724794983116257
"2","TH02",1,"GAM",0.724590540509499
"3","TH02",1,"LDA",0.720294948659638
"4","TH02",1,"CTREE",0.680954678060322
"5","TH02",1,"RF",0.716871109273425
"6","TH02",1,"XGB",0.700712103461742
"7","TH02",1,"LGBM",0.71256747754577
"8","TH02",1,"RE_boosting",0.701087680610112
"9","TH02",1,"RE_RF",0.710676957710243
"10","TH02",1,"RE_bag",0.702276433969632
"11","TH02",1,"SRE_RF",0.725307238187122
"12","TH02",1,"SRE_bag",0.720665931592126
"13","TH02",1,"SRE_boosting",0.713480577952358
"14","TH02",1,"SRE_PLTR",0.715154021087451
"15","TH02",1,"PLTR",0.715126455792158
"16","TH02",2,"LRR",0.710275844645031
"17","TH02",2,"GAM",0.71076506120949
"18","TH02",2,"LDA",0.711116470291003
"19","TH02",2,"CTREE",0.656770940995429
"20","TH02",2,"RF",0.69546957899814
"21","TH02",2,"XGB",0.68060819035807
"22","TH02",2,"LGBM",0.684920416178598
"23","TH02",2,"RE_boosting",0.663926594547417
"24","TH02",2,"RE_RF",0.698215393095845
"25","TH02",2,"RE_bag",0.686556880038586
"26","TH02",2,"SRE_RF",0.710983256390822
"27","TH02",2,"SRE_bag",0.687485932152783
"28","TH02",2,"SRE_boosting",0.701062266014378
"29","TH02",2,"SRE_PLTR",0.690204184753899
"30","TH02",2,"PLTR",0.692987895909415
"31","TH02",3,"LRR",0.735469448584203
"32","TH02",3,"GAM",0.728877679697352
"33","TH02",3,"LDA",0.732557606328098
"34","TH02",3,"CTREE",0.678244869884214
"35","TH02",3,"RF",0.725338759601055
"36","TH02",3,"XGB",0.666415224120142
"37","TH02",3,"LGBM",0.651200275134701
"38","TH02",3,"RE_boosting",0.70642898085521
"39","TH02",3,"RE_RF",0.710663762467041
"40","TH02",3,"RE_bag",0.725064771294279
"41","TH02",3,"SRE_RF",0.735148458099278
"42","TH02",3,"SRE_bag",0.737558179525393
"43","TH02",3,"SRE_boosting",0.72243838129084
"44","TH02",3,"SRE_PLTR",0.732698612862547
"45","TH02",3,"PLTR",0.732984065115213
"46","TH02",4,"LRR",0.699819777679947
"47","TH02",4,"GAM",0.702341972998753
"48","TH02",4,"LDA",0.695064293051581
"49","TH02",4,"CTREE",0.661758703866755
"50","TH02",4,"RF",0.688905550664025
"51","TH02",4,"XGB",0.661621129576638
"52","TH02",4,"LGBM",0.676513546481767
"53","TH02",4,"RE_boosting",0.675544794188862
"54","TH02",4,"RE_RF",0.668068777973439
"55","TH02",4,"RE_bag",0.674085360261208
"56","TH02",4,"SRE_RF",0.699271773424316
"57","TH02",4,"SRE_bag",0.696479015334947
"58","TH02",4,"SRE_boosting",0.676398901240003
"59","TH02",4,"SRE_PLTR",0.687756805341551
"60","TH02",4,"PLTR",0.687607766527258
"61","TH02",5,"LRR",0.698717066952782
"62","TH02",5,"GAM",0.722683796894917
"63","TH02",5,"LDA",0.718188029015012
"64","TH02",5,"CTREE",0.64956394948967
"65","TH02",5,"RF",0.690986455381624
"66","TH02",5,"XGB",0.68513805973571
"67","TH02",5,"LGBM",0.689795455170706
"68","TH02",5,"RE_boosting",0.690665492860877
"69","TH02",5,"RE_RF",0.706271149137528
"70","TH02",5,"RE_bag",0.690307848909186
"71","TH02",5,"SRE_RF",0.699419745614276
"72","TH02",5,"SRE_bag",0.711662173191376
"73","TH02",5,"SRE_boosting",0.705452694709621
"74","TH02",5,"SRE_PLTR",0.699487377002577
"75","TH02",5,"PLTR",0.698992177684851
"76","TH02",6,"LRR",0.717904925218476
"77","TH02",6,"GAM",0.717535831858488
"78","TH02",6,"LDA",0.715921908098046
"79","TH02",6,"CTREE",0.68562874251497
"80","TH02",6,"RF",0.712641332954306
"81","TH02",6,"XGB",0.703120558270901
"82","TH02",6,"LGBM",0.689830904806008
"83","TH02",6,"RE_boosting",0.665512008142979
"84","TH02",6,"RE_RF",0.703960761478574
"85","TH02",6,"RE_bag",0.710915076432128
"86","TH02",6,"SRE_RF",0.717476226719608
"87","TH02",6,"SRE_bag",0.724624258374522
"88","TH02",6,"SRE_boosting",0.708611108563883
"89","TH02",6,"SRE_PLTR",0.695475052956873
"90","TH02",6,"PLTR",0.693634171167619
