"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"LRR",0.218593717787961
"2","TH02",1,"GAM",0.214431035815981
"3","TH02",1,"LDA",0.215651589898348
"4","TH02",1,"CTREE",0.232069694340502
"5","TH02",1,"RF",0.214745418629207
"6","TH02",1,"XGB",0.233366193541017
"7","TH02",1,"LGBM",0.226002871774078
"8","TH02",1,"RE_boosting",0.234612582110103
"9","TH02",1,"RE_RF",0.222701631776204
"10","TH02",1,"RE_bag",0.228746071119893
"11","TH02",1,"SRE_RF",0.215726332576411
"12","TH02",1,"SRE_bag",0.215337054820335
"13","TH02",1,"SRE_boosting",0.21501497416718
"14","TH02",1,"SRE_PLTR",0.217689886145413
"15","TH02",1,"PLTR",0.217275672673344
"16","TH02",2,"LRR",0.219486272921162
"17","TH02",2,"GAM",0.219887427154142
"18","TH02",2,"LDA",0.218709602458191
"19","TH02",2,"CTREE",0.239337374645535
"20","TH02",2,"RF",0.229930507191522
"21","TH02",2,"XGB",0.240879895108095
"22","TH02",2,"LGBM",0.236205927137838
"23","TH02",2,"RE_boosting",0.244268672958511
"24","TH02",2,"RE_RF",0.228058844157449
"25","TH02",2,"RE_bag",0.234774772951466
"26","TH02",2,"SRE_RF",0.218786543840632
"27","TH02",2,"SRE_bag",0.223998098516174
"28","TH02",2,"SRE_boosting",0.217208750732466
"29","TH02",2,"SRE_PLTR",0.229572459727298
"30","TH02",2,"PLTR",0.22952318679649
"31","TH02",3,"LRR",0.208940617167175
"32","TH02",3,"GAM",0.211906296742706
"33","TH02",3,"LDA",0.209461003203187
"34","TH02",3,"CTREE",0.223108877855642
"35","TH02",3,"RF",0.212286449659349
"36","TH02",3,"XGB",0.250104319992182
"37","TH02",3,"LGBM",0.22172637167202
"38","TH02",3,"RE_boosting",0.224955065920066
"39","TH02",3,"RE_RF",0.226946377295928
"40","TH02",3,"RE_bag",0.214835522620972
"41","TH02",3,"SRE_RF",0.209275317751557
"42","TH02",3,"SRE_bag",0.213865201757006
"43","TH02",3,"SRE_boosting",0.210762473506307
"44","TH02",3,"SRE_PLTR",0.211303238574065
"45","TH02",3,"PLTR",0.211337936231061
"46","TH02",4,"LRR",0.220909481450828
"47","TH02",4,"GAM",0.220933927920022
"48","TH02",4,"LDA",0.222865007293174
"49","TH02",4,"CTREE",0.235782316697221
"50","TH02",4,"RF",0.223871929409538
"51","TH02",4,"XGB",0.235181150204745
"52","TH02",4,"LGBM",0.233796500822544
"53","TH02",4,"RE_boosting",0.248491460277284
"54","TH02",4,"RE_RF",0.243564875662898
"55","TH02",4,"RE_bag",0.243654197818097
"56","TH02",4,"SRE_RF",0.221305787815401
"57","TH02",4,"SRE_bag",0.222710304564406
"58","TH02",4,"SRE_boosting",0.223798154128371
"59","TH02",4,"SRE_PLTR",0.223320480612473
"60","TH02",4,"PLTR",0.223363229049546
"61","TH02",5,"LRR",0.214713530531847
"62","TH02",5,"GAM",0.213260092289732
"63","TH02",5,"LDA",0.214785784840363
"64","TH02",5,"CTREE",0.237670474038906
"65","TH02",5,"RF",0.220282681470267
"66","TH02",5,"XGB",0.23865367324349
"67","TH02",5,"LGBM",0.226720613308524
"68","TH02",5,"RE_boosting",0.250297721721815
"69","TH02",5,"RE_RF",0.221105708319283
"70","TH02",5,"RE_bag",0.231434679446005
"71","TH02",5,"SRE_RF",0.215634730246569
"72","TH02",5,"SRE_bag",0.221892390318692
"73","TH02",5,"SRE_boosting",0.218437574614177
"74","TH02",5,"SRE_PLTR",0.220645858375296
"75","TH02",5,"PLTR",0.220762057630345
"76","TH02",6,"LRR",0.214332079304564
"77","TH02",6,"GAM",0.214807113307122
"78","TH02",6,"LDA",0.214925688613037
"79","TH02",6,"CTREE",0.222314387880322
"80","TH02",6,"RF",0.218248318824123
"81","TH02",6,"XGB",0.229844221966861
"82","TH02",6,"LGBM",0.228691231443169
"83","TH02",6,"RE_boosting",0.236856651712741
"84","TH02",6,"RE_RF",0.222158227770663
"85","TH02",6,"RE_bag",0.218596765574603
"86","TH02",6,"SRE_RF",0.21484075415186
"87","TH02",6,"SRE_bag",0.212476422794947
"88","TH02",6,"SRE_boosting",0.220469556970336
"89","TH02",6,"SRE_PLTR",0.218521612996381
"90","TH02",6,"PLTR",0.218507797109928
