"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"LRR",0.0965334500258539
"2","TH02",1,"GAM",0.097519378856535
"3","TH02",1,"LDA",0.0975648876034844
"4","TH02",1,"CTREE",0.0947772449760483
"5","TH02",1,"RF",0.0962261202291528
"6","TH02",1,"XGB",0.0966962272449865
"7","TH02",1,"LGBM",0.0962006595824599
"8","TH02",1,"RE_boosting",0.096172435867527
"9","TH02",1,"RE_RF",0.0963171864309715
"10","TH02",1,"RE_bag",0.095765586555324
"11","TH02",1,"SRE_RF",0.0964402050467376
"12","TH02",1,"SRE_bag",0.0957748214528432
"13","TH02",1,"SRE_boosting",0.0965334589549287
"14","TH02",1,"SRE_PLTR",0.0964034171805535
"15","TH02",1,"PLTR",0.096437948412152
"16","TH02",2,"LRR",0.0814971666159555
"17","TH02",2,"GAM",0.0827708363859269
"18","TH02",2,"LDA",0.0827145613031024
"19","TH02",2,"CTREE",0.0799048071150293
"20","TH02",2,"RF",0.0803401126866359
"21","TH02",2,"XGB",0.0798685567149779
"22","TH02",2,"LGBM",0.0805791243613223
"23","TH02",2,"RE_boosting",0.0796723417680312
"24","TH02",2,"RE_RF",0.0825339990796577
"25","TH02",2,"RE_bag",0.0804487240799668
"26","TH02",2,"SRE_RF",0.0824918411353024
"27","TH02",2,"SRE_bag",0.0800492518477732
"28","TH02",2,"SRE_boosting",0.0802990622732444
"29","TH02",2,"SRE_PLTR",0.0808016585048813
"30","TH02",2,"PLTR",0.0807018514565234
"31","TH02",3,"LRR",0.0867738111894579
"32","TH02",3,"GAM",0.0883080739916329
"33","TH02",3,"LDA",0.0888341689107984
"34","TH02",3,"CTREE",0.08478185847097
"35","TH02",3,"RF",0.0872724019296482
"36","TH02",3,"XGB",0.0865105562340442
"37","TH02",3,"LGBM",0.08590140944438
"38","TH02",3,"RE_boosting",0.0868589280524724
"39","TH02",3,"RE_RF",0.0881544451588816
"40","TH02",3,"RE_bag",0.087763493538367
"41","TH02",3,"SRE_RF",0.0886668874125898
"42","TH02",3,"SRE_bag",0.0875046053692451
"43","TH02",3,"SRE_boosting",0.0874543317730073
"44","TH02",3,"SRE_PLTR",0.0877093106138681
"45","TH02",3,"PLTR",0.0875553201837879
"46","TH02",4,"LRR",0.0900472842020732
"47","TH02",4,"GAM",0.0911557553396885
"48","TH02",4,"LDA",0.0913302875631313
"49","TH02",4,"CTREE",0.0894537602677213
"50","TH02",4,"RF",0.0909911872915428
"51","TH02",4,"XGB",0.0898044187561416
"52","TH02",4,"LGBM",0.0902060224489891
"53","TH02",4,"RE_boosting",0.0902348696114127
"54","TH02",4,"RE_RF",0.090350080893079
"55","TH02",4,"RE_bag",0.0900664809069441
"56","TH02",4,"SRE_RF",0.0914417308702699
"57","TH02",4,"SRE_bag",0.0906188516493683
"58","TH02",4,"SRE_boosting",0.0899301925383259
"59","TH02",4,"SRE_PLTR",0.0907433631819761
"60","TH02",4,"PLTR",0.0907680597829528
"61","TH02",5,"LRR",0.0907062528080883
"62","TH02",5,"GAM",0.09223510207516
"63","TH02",5,"LDA",0.0930740167594836
"64","TH02",5,"CTREE",0.0885489493760796
"65","TH02",5,"RF",0.0902351289578028
"66","TH02",5,"XGB",0.0910444305059432
"67","TH02",5,"LGBM",0.0900848239817776
"68","TH02",5,"RE_boosting",0.0911821873414721
"69","TH02",5,"RE_RF",0.0904709854402003
"70","TH02",5,"RE_bag",0.0896667993392354
"71","TH02",5,"SRE_RF",0.0924777647105957
"72","TH02",5,"SRE_bag",0.0916414057901467
"73","TH02",5,"SRE_boosting",0.0902752894495626
"74","TH02",5,"SRE_PLTR",0.089640215884621
"75","TH02",5,"PLTR",0.0898224222763267
"76","TH02",6,"LRR",0.0855295960091146
"77","TH02",6,"GAM",0.0868630493178136
"78","TH02",6,"LDA",0.087045326295083
"79","TH02",6,"CTREE",0.0850552602880211
"80","TH02",6,"RF",0.0861833716344705
"81","TH02",6,"XGB",0.0860812891595673
"82","TH02",6,"LGBM",0.0860652531303045
"83","TH02",6,"RE_boosting",0.0853222167840195
"84","TH02",6,"RE_RF",0.0859952841010106
"85","TH02",6,"RE_bag",0.086692330729508
"86","TH02",6,"SRE_RF",0.0867812851559954
"87","TH02",6,"SRE_bag",0.0877213612992067
"88","TH02",6,"SRE_boosting",0.0853932141919143
"89","TH02",6,"SRE_PLTR",0.0867113161270234
"90","TH02",6,"PLTR",0.0866482704204559
