"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"LRR",0.390525150268902
"2","TH02",1,"GAM",0.290206265508685
"3","TH02",1,"LDA",0.203159041394336
"4","TH02",1,"CTREE",0
"5","TH02",1,"RF",0.209466788146991
"6","TH02",1,"XGB",0.101628855295469
"7","TH02",1,"LGBM",0.100397507520412
"8","TH02",1,"RE_boosting",0.194491840574003
"9","TH02",1,"RE_RF",0
"10","TH02",1,"RE_bag",0.191261171797418
"11","TH02",1,"SRE_RF",0.290965732087227
"12","TH02",1,"SRE_bag",0.158246085870714
"13","TH02",1,"SRE_boosting",0.0986478627507996
"14","TH02",2,"LRR",0.147815570672714
"15","TH02",2,"GAM",0.0836023391812866
"16","TH02",2,"LDA",0.128939075630252
"17","TH02",2,"CTREE",0.0629208754208754
"18","TH02",2,"RF",0.129711375212224
"19","TH02",2,"XGB",0.145645919905018
"20","TH02",2,"LGBM",0.102404312668464
"21","TH02",2,"RE_boosting",0.127003068530515
"22","TH02",2,"RE_RF",0.132675515193853
"23","TH02",2,"RE_bag",0.17199345657948
"24","TH02",2,"SRE_RF",0.0932394924662967
"25","TH02",2,"SRE_bag",0.149534753439818
"26","TH02",2,"SRE_boosting",0.0617620345140781
"27","TH02",3,"LRR",0.326149891774892
"28","TH02",3,"GAM",0.0391157811260905
"29","TH02",3,"LDA",0.199891333876664
"30","TH02",3,"CTREE",0
"31","TH02",3,"RF",0.154879177377892
"32","TH02",3,"XGB",0.189728707734248
"33","TH02",3,"LGBM",0.122083415956111
"34","TH02",3,"RE_boosting",0.103551945690387
"35","TH02",3,"RE_RF",0
"36","TH02",3,"RE_bag",0.0947500000000001
"37","TH02",3,"SRE_RF",0.17588813303099
"38","TH02",3,"SRE_bag",0.235987933634992
"39","TH02",3,"SRE_boosting",0.199850434156407
"40","TH02",4,"LRR",0.137483146067416
"41","TH02",4,"GAM",0.120860215053763
"42","TH02",4,"LDA",0.129444934596647
"43","TH02",4,"CTREE",0.0444770642201835
"44","TH02",4,"RF",0.17688581011465
"45","TH02",4,"XGB",0.0801429179877904
"46","TH02",4,"LGBM",0.0607867324561404
"47","TH02",4,"RE_boosting",0.0402022756005056
"48","TH02",4,"RE_RF",0.194846993218822
"49","TH02",4,"RE_bag",0.0741241574436216
"50","TH02",4,"SRE_RF",0.0606304395524027
"51","TH02",4,"SRE_bag",0.0903508168923719
"52","TH02",4,"SRE_boosting",0.0530212084833934
"53","TH02",5,"LRR",0.153242835595777
"54","TH02",5,"GAM",-0.0202775700157899
"55","TH02",5,"LDA",-0.0216333673057324
"56","TH02",5,"CTREE",0.123530681528287
"57","TH02",5,"RF",0.0857987540914371
"58","TH02",5,"XGB",0.080007191657677
"59","TH02",5,"LGBM",0.0884542964738104
"60","TH02",5,"RE_boosting",0.12981018981019
"61","TH02",5,"RE_RF",0.217660337272607
"62","TH02",5,"RE_bag",0.068435939364476
"63","TH02",5,"SRE_RF",0.208166246182446
"64","TH02",5,"SRE_bag",0.214975845410628
"65","TH02",5,"SRE_boosting",0.141112817138261
"66","TH02",6,"LRR",0.208110840559899
"67","TH02",6,"GAM",0.0612483311081442
"68","TH02",6,"LDA",0.0716647137596251
"69","TH02",6,"CTREE",0.0598409090909091
"70","TH02",6,"RF",0.148858577247324
"71","TH02",6,"XGB",0.0518008903278024
"72","TH02",6,"LGBM",0.0387578662588954
"73","TH02",6,"RE_boosting",0.124015748031496
"74","TH02",6,"RE_RF",0.19839947598502
"75","TH02",6,"RE_bag",0.0117798483449454
"76","TH02",6,"SRE_RF",0.0649449375410913
"77","TH02",6,"SRE_bag",0.0879378019323671
"78","TH02",6,"SRE_boosting",0.158543010523018
"79","TH02",7,"LRR",0.327875921546808
"80","TH02",7,"GAM",0.194595377816417
"81","TH02",7,"LDA",0.218509316770186
"82","TH02",7,"CTREE",0.203477535123105
"83","TH02",7,"RF",0.213367609254499
"84","TH02",7,"XGB",0.159428353416208
"85","TH02",7,"LGBM",0.146510840108401
"86","TH02",7,"RE_boosting",0.101094319958312
"87","TH02",7,"RE_RF",0
"88","TH02",7,"RE_bag",0.120569450538735
"89","TH02",7,"SRE_RF",0.12221706864564
"90","TH02",7,"SRE_bag",0.0794914634783062
"91","TH02",7,"SRE_boosting",0.271456391709556
"92","TH02",8,"LRR",0.218859738322825
"93","TH02",8,"GAM",0.20066788099575
"94","TH02",8,"LDA",0.223483204134367
"95","TH02",8,"CTREE",0.0375979112271541
"96","TH02",8,"RF",0.186389286616693
"97","TH02",8,"XGB",0.187464387464388
"98","TH02",8,"LGBM",0.0736089030206677
"99","TH02",8,"RE_boosting",0.120280264694434
"100","TH02",8,"RE_RF",0.108971588635454
"101","TH02",8,"RE_bag",0.0967719149537332
"102","TH02",8,"SRE_RF",0.0789925876010782
"103","TH02",8,"SRE_bag",0.154009897634059
"104","TH02",8,"SRE_boosting",0.201559216324317
"105","TH02",9,"LRR",0.314075138190562
"106","TH02",9,"GAM",0.0998888400589406
"107","TH02",9,"LDA",0.109661429105874
"108","TH02",9,"CTREE",0
"109","TH02",9,"RF",0.148516093424651
"110","TH02",9,"XGB",0.0511495277134202
"111","TH02",9,"LGBM",0.0857560845857162
"112","TH02",9,"RE_boosting",0.122019334049409
"113","TH02",9,"RE_RF",0.0925754299248276
"114","TH02",9,"RE_bag",0.138515786923636
"115","TH02",9,"SRE_RF",-0.0355074672355989
"116","TH02",9,"SRE_bag",0.0218879921741257
"117","TH02",9,"SRE_boosting",0.164040645055126
"118","TH02",10,"LRR",0.0406281057443849
"119","TH02",10,"GAM",0.039287843588742
"120","TH02",10,"LDA",0.0312907963446476
"121","TH02",10,"CTREE",0.142081447963801
"122","TH02",10,"RF",0.129579792256846
"123","TH02",10,"XGB",0.167077116229659
"124","TH02",10,"LGBM",0.112488691504236
"125","TH02",10,"RE_boosting",0.155986842105263
"126","TH02",10,"RE_RF",0.137836039393133
"127","TH02",10,"RE_bag",0.107251748669815
"128","TH02",10,"SRE_RF",0.175812547241119
"129","TH02",10,"SRE_bag",0.201730103806228
"130","TH02",10,"SRE_boosting",0.16986498312289
