"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"LRR",0.639024558498896
"2","TH02",1,"GAM",0.648503035320088
"3","TH02",1,"LDA",0.649524006622517
"4","TH02",1,"CTREE",0.610251103752759
"5","TH02",1,"RF",0.622985651214128
"6","TH02",1,"XGB",0.61419701986755
"7","TH02",1,"LGBM",0.604766832229581
"8","TH02",1,"RE_boosting",0.619495033112583
"9","TH02",1,"RE_RF",0.64475027593819
"10","TH02",1,"RE_bag",0.635133830022075
"11","TH02",1,"SRE_RF",0.65807119205298
"12","TH02",1,"SRE_bag",0.564224613686534
"13","TH02",1,"SRE_boosting",0.595391832229581
"14","TH02",1,"SRE_PLTR",0.621943984547461
"15","TH02",1,"PLTR",0.641176876379691
"16","TH02",2,"LRR",0.596588191892003
"17","TH02",2,"GAM",0.595720551464058
"18","TH02",2,"LDA",0.605531036932789
"19","TH02",2,"CTREE",0.577035539098474
"20","TH02",2,"RF",0.612212551409403
"21","TH02",2,"XGB",0.569855302171151
"22","TH02",2,"LGBM",0.583006544878189
"23","TH02",2,"RE_boosting",0.588622296309454
"24","TH02",2,"RE_RF",0.59451132031645
"25","TH02",2,"RE_bag",0.59375982073319
"26","TH02",2,"SRE_RF",0.601493434626368
"27","TH02",2,"SRE_bag",0.585001434681023
"28","TH02",2,"SRE_boosting",0.587057810813396
"29","TH02",2,"SRE_PLTR",0.559026876357823
"30","TH02",2,"PLTR",0.564553814201976
"31","TH02",3,"LRR",0.663074945887446
"32","TH02",3,"GAM",0.566409632034632
"33","TH02",3,"LDA",0.622334956709957
"34","TH02",3,"CTREE",0.604809253246753
"35","TH02",3,"RF",0.618614718614719
"36","TH02",3,"XGB",0.584645562770563
"37","TH02",3,"LGBM",0.573119588744589
"38","TH02",3,"RE_boosting",0.57815882034632
"39","TH02",3,"RE_RF",0.625831980519481
"40","TH02",3,"RE_bag",0.60490395021645
"41","TH02",3,"SRE_RF",0.67009604978355
"42","TH02",3,"SRE_bag",0.600913149350649
"43","TH02",3,"SRE_boosting",0.550507305194805
"44","TH02",3,"SRE_PLTR",0.636803300865801
"45","TH02",3,"PLTR",0.636803300865801
"46","TH02",4,"LRR",0.578486588970055
"47","TH02",4,"GAM",0.562628952211008
"48","TH02",4,"LDA",0.571676518150895
"49","TH02",4,"CTREE",0.580731054480566
"50","TH02",4,"RF",0.573182122344281
"51","TH02",4,"XGB",0.583930463391513
"52","TH02",4,"LGBM",0.580201304856968
"53","TH02",4,"RE_boosting",0.57215050465622
"54","TH02",4,"RE_RF",0.597871242959906
"55","TH02",4,"RE_bag",0.598993475715162
"56","TH02",4,"SRE_RF",0.585066636926337
"57","TH02",4,"SRE_bag",0.588300897786204
"58","TH02",4,"SRE_boosting",0.527470306139519
"59","TH02",4,"SRE_PLTR",0.59012016951988
"60","TH02",4,"PLTR",0.592971058941616
"61","TH02",5,"LRR",0.589231177798433
"62","TH02",5,"GAM",0.558969592351613
"63","TH02",5,"LDA",0.562329039968132
"64","TH02",5,"CTREE",0.593978223343513
"65","TH02",5,"RF",0.598572566724207
"66","TH02",5,"XGB",0.625428229982738
"67","TH02",5,"LGBM",0.58514805470721
"68","TH02",5,"RE_boosting",0.601440711724871
"69","TH02",5,"RE_RF",0.593314300889656
"70","TH02",5,"RE_bag",0.617939184703227
"71","TH02",5,"SRE_RF",0.557814367281901
"72","TH02",5,"SRE_bag",0.625222414022042
"73","TH02",5,"SRE_boosting",0.606931350418271
"74","TH02",5,"SRE_PLTR",0.603717965741601
"75","TH02",5,"PLTR",0.594788208737219
"76","TH02",6,"LRR",0.604055420279949
"77","TH02",6,"GAM",0.567474048442907
"78","TH02",6,"LDA",0.59361071952383
"79","TH02",6,"CTREE",0.594999074430063
"80","TH02",6,"RF",0.617390747148533
"81","TH02",6,"XGB",0.590784171330115
"82","TH02",6,"LGBM",0.577277970011534
"83","TH02",6,"RE_boosting",0.575918094180301
"84","TH02",6,"RE_RF",0.590107793298874
"85","TH02",6,"RE_bag",0.56960997906788
"86","TH02",6,"SRE_RF",0.60159910006123
"87","TH02",6,"SRE_bag",0.595832087373802
"88","TH02",6,"SRE_boosting",0.584255343386447
"89","TH02",6,"SRE_PLTR",0.603720791148703
"90","TH02",6,"PLTR",0.61120366810486
